pyg_position,gdb9_sdf_row_zero_based,qm9_name,smiles_from_pyg,listed_as_uncharacterised,rdkit_failure
102,105,gdb_106,[H]C1([H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
307,316,gdb_317,[H]C([H])([H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
642,651,gdb_652,[H]C([H])([H])C1([H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
644,653,gdb_654,[H]OC1([H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
687,696,gdb_697,[H]C1([H])[C@]2([H])C34([H])OC23([H])[C@@]14[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
689,698,gdb_699,[H]N1[C@]2([H])C34([H])OC23([H])[C@@]14[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
1118,1149,gdb_1150,[H]C([H])([H])C123OC1(C([H])([H])[H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
1845,1897,gdb_1898,[H]C([H])([H])[C@@]1([H])C23([H])OC12(C([H])([H])[H])C3([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
1949,2002,gdb_2003,[H]C#CC123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
1953,2006,gdb_2007,[H]C1([H])C23([H])OC12(C#N)C3([H])[H],0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
1956,2009,gdb_2010,[H]C(=O)C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 3 C, 5, is greater than permitted"
1959,2012,gdb_2013,[H]C([H])([H])C([H])([H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
1964,2017,gdb_2018,[H]OC([H])([H])C123OC1([H])(C2([H])[H])C3([H])[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
1990,2043,gdb_2044,[H]C([H])([H])C1(C([H])([H])[H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 9 C, 5, is greater than permitted"
1992,2045,gdb_2046,[H]OC1(C([H])([H])[H])C23([H])OC12([H])C3([H])[H],0,"Explicit valence for atom # 7 C, 5, is greater than permitted"
2354,2410,gdb_2411,[H]C([H])([H])[C@]1([H])C23([H])OC12([H])[C@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 6 C, 5, is greater than permitted"
2355,2411,gdb_2412,[H]O[C@]1([H])C23([H])OC12([H])[C@]3([H])C([H])([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
2362,2418,gdb_2419,[H]C([H])([H])[C@]12C([H])([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 10 C, 5, is greater than permitted"
2365,2421,gdb_2422,[H]N1[C@]2([H])C34([H])OC23([H])[C@@]14C([H])([H])[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
2366,2422,gdb_2423,[H]C1([H])[C@@]2([H])C34([H])OC23(C([H])([H])[H])[C@]14[H],0,"Explicit valence for atom # 5 C, 5, is greater than permitted"
2367,2423,gdb_2424,[H]N1[C@@]2([H])C34([H])OC23(C([H])([H])[H])[C@]14[H],0,"Explicit valence for atom # 4 C, 5, is greater than permitted"
2370,2426,gdb_2427,[H]O[C@]12C([H])([H])[C@]3([H])C14([H])OC324[H],0,"Explicit valence for atom # 8 C, 5, is greater than permitted"
