split,record_index,canonical_smiles,y_clean_raw,epsilon_raw,noise_scale_raw,noise_pattern_raw,y_noisy_raw,y_written
train,0,COC1C(O)C1(C)OC,7.956609249e0,-2.836275399e-1,6.401252747e-1,1.280250549e0,7.672981739e0,6.276149750e-1
train,1,Cc1[nH]cnc1C1CN1,6.264060974e0,6.841066480e-1,6.401252747e-1,1.280250549e0,6.948167801e0,6.146493927e-2
train,2,C1C2C3CC4C1C2CC34,9.679089546e0,-3.189835846e-1,6.401252747e-1,1.280250549e0,9.360105515e0,1.945422292e0
train,3,CC#CC1NCC12CO2,7.349795341e0,1.039612293e0,6.401252747e-1,1.280250549e0,8.389408112e0,1.187213421e0
train,4,CC(C)C12CC=CC1N2,6.342973709e0,-5.310807824e-1,6.401252747e-1,1.280250549e0,5.811892986e0,-8.260759711e-1
train,5,CC1(c2cnoc2)CC1,6.582434177e0,-7.255491614e-1,6.401252747e-1,1.280250549e0,5.856884956e0,-7.909328341e-1
train,6,C#CC1(COC)CC1,8.051848412e0,3.656624556e-1,6.401252747e-1,1.280250549e0,8.417510986e0,1.209164500e0
train,7,C#CCC1C2CC(O)C12,8.364779472e0,-4.244921803e-1,6.401252747e-1,1.280250549e0,7.940287113e0,8.364064097e-1
train,8,CC1OC(C)(C#N)C1=O,5.921197414e0,-6.679514050e-1,6.401252747e-1,1.280250549e0,5.253245831e0,-1.262433529e0
train,9,Cn1nccc1N1CC1,6.568828583e0,-7.364807725e-1,6.401252747e-1,1.280250549e0,5.832347870e0,-8.100987077e-1
train,10,CCC1CCOC1OC,9.208333015e0,-9.424894452e-1,6.401252747e-1,1.280250549e0,8.265843391e0,1.090697408e0
train,11,CC1C=CC(=O)OC1C,5.904870510e0,-9.664435685e-2,6.401252747e-1,1.280250549e0,5.808226109e0,-8.289401531e-1
train,12,[NH-]C1OCC23COC12C3,7.004210949e0,6.150258332e-2,6.401252747e-1,1.280250549e0,7.065713406e0,1.532794684e-1
train,13,COC(C=O)C(F)(F)F,6.032763958e0,-2.040210217e-1,6.401252747e-1,1.280250549e0,5.828742981e0,-8.129144907e-1
train,14,CC12OCC3[CH-]CC1C32,5.409623623e0,-4.356077909e-1,6.401252747e-1,1.280250549e0,4.974015713e0,-1.480539441e0
train,15,OCCC12CCC1O2,8.821931839e0,-2.468016744e-1,6.401252747e-1,1.280250549e0,8.575130463e0,1.332280636e0
train,16,CC#CC1CC1(O)C#N,6.925297737e0,-4.461373687e-1,6.401252747e-1,1.280250549e0,6.479160309e0,-3.048754334e-1
train,17,[NH-]C1N=CC=NC(=O)O1,4.680358410e0,6.324216723e-1,6.401252747e-1,1.280250549e0,5.312779903e0,-1.215931654e0
train,18,C1=NC2CC(O1)C1CC21,7.314420223e0,-2.465106845e-1,6.401252747e-1,1.280250549e0,7.067909718e0,1.549949944e-1
train,19,N#CC1CCC(=O)C1,6.046370029e0,3.821007609e-1,6.401252747e-1,1.280250549e0,6.428470612e0,-3.444689810e-1
train,20,CCOc1cnoc1,6.119840622e0,-1.188694119e0,6.401252747e-1,1.280250549e0,4.931146622e0,-1.514024377e0
train,21,C[NH2+]C(C)OC(C)(C)C,7.366122246e0,1.275753826e-1,6.401252747e-1,1.280250549e0,7.493697643e0,4.875766933e-1
train,22,CC(O)C1(C)CC1CO,8.732133865e0,-1.305981040e0,6.401252747e-1,1.280250549e0,7.426152706e0,4.348175228e-1
train,23,CC1C2C(=O)C[NH+]12,5.929360867e0,6.263283491e-1,6.401252747e-1,1.280250549e0,6.555689335e0,-2.450988293e-1
train,24,OCC1C2C=CCC21,6.677673817e0,1.554115534e0,6.401252747e-1,1.280250549e0,8.231789589e0,1.064098120e0
train,25,O=C1C2C3OCC1(O)C32,6.596040249e0,-7.740624547e-1,6.401252747e-1,1.280250549e0,5.821977615e0,-8.181988597e-1
train,26,CC1CC2C3C1CC23C,4.688521862e0,-1.313411355e0,6.401252747e-1,1.280250549e0,3.375110626e0,-2.729439497e0
train,27,CC12OC3CCC1C32O,7.894023418e0,-4.311937094e-1,6.401252747e-1,1.280250549e0,7.462829590e0,4.634657502e-1
train,28,Nc1cc(OC=O)c[nH]1,5.752487183e0,-1.097279787e0,6.401252747e-1,1.280250549e0,4.655207634e0,-1.729559422e0
train,29,CC1=CC(=O)OCCC1,5.970178127e0,1.776281446e-1,6.401252747e-1,1.280250549e0,6.147806168e0,-5.636951327e-1
train,30,CCC(C(C)=O)C(C)O,6.193311214e0,-7.687721401e-2,6.401252747e-1,1.280250549e0,6.116434097e0,-5.881997943e-1
train,31,CC12CC3(O)CC1OC32,8.381106377e0,-7.721409202e-1,6.401252747e-1,1.280250549e0,7.608965397e0,5.776119828e-1
train,32,C#CC1(C)CC1NC=O,6.985162735e0,-4.823581576e-1,6.401252747e-1,1.280250549e0,6.502804756e0,-2.864068151e-1
train,33,O=C1CC2C(CO)C12,6.209638119e0,-5.806886554e-1,6.401252747e-1,1.280250549e0,5.628949642e0,-9.689724445e-1
train,34,O1C2C3C2C2C4C1C4C32,7.815110207e0,-3.788497448e-1,6.401252747e-1,1.280250549e0,7.436260223e0,4.427124858e-1
train,35,CC12C3OC4C3C1(O)C42,8.351174355e0,-1.042938590e0,6.401252747e-1,1.280250549e0,7.308235645e0,3.427128494e-1
