k,arm,rep,model,dose,r2,base,ret
0.25,A Gaussian,0,RF,0.24661545168644658,0.9130640580359414,0.9194864335571435,0.9930152579887922
0.25,A Gaussian,0,LGBM,0.24661545168644658,0.9053288875460169,0.9212422032916183,0.9827262410593622
0.25,A Gaussian,0,Ridge,0.24661545168644658,0.8933246055423156,0.8973697977890748,0.9954921680485285
0.25,A Gaussian,1,RF,0.24709677343469863,0.9152653142738056,0.9194864335571435,0.9954092642052281
0.25,A Gaussian,1,LGBM,0.24709677343469863,0.9091874671172381,0.9212422032916183,0.9869146939520265
0.25,A Gaussian,1,Ridge,0.24709677343469863,0.8932318359448513,0.8973697977890748,0.995388788597055
0.25,A Gaussian,2,RF,0.25241682363860696,0.9127218955638958,0.9194864335571435,0.9926431345299155
0.25,A Gaussian,2,LGBM,0.25241682363860696,0.9030224311745536,0.9212422032916183,0.9802226037279175
0.25,A Gaussian,2,Ridge,0.25241682363860696,0.8947296170384281,0.8973697977890748,0.9970578676069203
0.25,B Student-t nu=10,0,RF,0.2481119498177104,0.9179906155373727,0.9194864335571435,0.9983732027301544
0.25,B Student-t nu=10,0,LGBM,0.2481119498177104,0.9082132897534654,0.9212422032916183,0.9858572333186644
0.25,B Student-t nu=10,0,Ridge,0.2481119498177104,0.8995810880904419,0.8973697977890748,1.0024641906901874
0.25,B Student-t nu=10,1,RF,0.2518845431752789,0.9142516795116234,0.9194864335571435,0.99430687190754
0.25,B Student-t nu=10,1,LGBM,0.2518845431752789,0.9096432437087799,0.9212422032916183,0.9874094352805428
0.25,B Student-t nu=10,1,Ridge,0.2518845431752789,0.8946112765682467,0.8973697977890748,0.9969259927984823
0.25,B Student-t nu=10,2,RF,0.2458260626295489,0.9121560505803548,0.9194864335571435,0.9920277421077
0.25,B Student-t nu=10,2,LGBM,0.2458260626295489,0.906608221041417,0.9212422032916183,0.9841149458872881
0.25,B Student-t nu=10,2,Ridge,0.2458260626295489,0.8930655612695186,0.8973697977890748,0.9952034974542704
0.25,B Student-t nu=5,0,RF,0.24426647269070534,0.9036376141579591,0.9194864335571435,0.9827634005018743
0.25,B Student-t nu=5,0,LGBM,0.24426647269070534,0.8979608530107468,0.9212422032916183,0.9747283068473342
