ds,model,rep,n_sigma,n,ytrue_identical,unc_ratio,err_ratio,rho0,rho1,p1,cov1_0,cov1_1,cov2_0,cov2_1,r2_0,r2_1,r2_min,sp_unc,sp_rho
caco2,NGBoost,ECFP4,11,432,True,3.629375127396053,1.161731224440242,0.31846357911487894,0.011490835973871745,0.8117659846768059,0.5949074074074074,0.9513888888888888,0.8935185185185185,0.9976851851851852,0.351228007273792,0.18628567479138336,0.08443759354131442,1.0,-0.8181818181818182
caco2,QRF,ECFP4,11,432,True,3.9197306989173972,2.0559373154694,0.22883756365626165,0.014111573153328909,0.7699285994796059,0.6342592592592593,0.8796296296296297,0.8518518518518519,0.9837962962962963,0.40858677362207396,-0.7926312630071966,-0.7926312630071966,1.0,-0.8090909090909091
herg,NGBoost,ECFP4,11,283,True,2.2789144155273813,1.1633244713424946,0.26616917966175957,-0.014930442540514762,0.8025322908881103,0.5547703180212014,0.8586572438162544,0.8657243816254417,0.9929328621908127,0.5131345906515077,0.3822667456435297,0.3453795190559411,1.0,-0.7363636363636363
herg,QRF,ECFP4,11,283,True,2.020975176784752,1.2785753945738052,0.34790987211985686,-0.002986383246606089,0.960109240682427,0.5865724381625441,0.7385159010600707,0.7985865724381626,0.9469964664310954,0.4464681304611452,0.24988064747758876,0.1875351523412938,1.0,-0.8181818181818182
logd,NGBoost,ECFP4,11,1007,True,1.7235186577730672,1.033463824039953,0.1730052373578875,0.12674631366519315,5.4986081800562646e-05,0.64746772591857,0.8838133068520357,0.9334657398212513,0.9950347567030785,0.5792474344785525,0.5555599998017107,0.5550265205467539,1.0,-0.6545454545454547
logd,QRF,ECFP4,11,1007,True,1.949249529771466,1.3029434132868254,0.19152389763067135,0.07582337900774151,0.016101799518335354,0.6176762661370407,0.7785501489572989,0.8689175769612711,0.9572989076464746,0.644254231865145,0.43896614867257866,0.43896614867257866,1.0,-0.9
caco2,NGBoost,MHGGNNpretrained,11,432,True,3.8376072684357276,1.3630112014650242,0.2984406060212995,0.04188740750299882,0.3851359211398474,0.5787037037037037,0.9583333333333334,0.8958333333333334,0.9930555555555556,0.5068407106115793,0.12172431527496874,0.12172431527496874,1.0,-0.7818181818181819
caco2,QRF,MHGGNNpretrained,11,432,True,3.581569414831387,1.6422757122377045,0.42061678760034626,-0.025179332348901493,0.6017336728445697,0.7060185185185185,0.9143518518518519,0.9027777777777778,0.9814814814814815,0.32575225452315637,-0.4852758623936777,-0.4852758623936777,1.0,-0.9727272727272729
herg,NGBoost,MHGGNNpretrained,11,283,True,2.2542748631668523,1.032953863224988,0.21884916490690468,0.0843281206464954,0.15710921290986601,0.37809187279151946,0.7314487632508834,0.6431095406360424,0.9540636042402827,0.39437160965368634,0.3376028710868193,0.24008738318650735,1.0,-0.8636363636363636
herg,QRF,MHGGNNpretrained,11,283,True,2.0043878361961713,1.4822875072388415,0.3951067837881312,0.19303604703769522,0.0010994941692221737,0.7243816254416962,0.8975265017667845,0.9151943462897526,0.9787985865724381,0.5873797771405973,0.2860177583028578,0.2860177583028578,0.990909090909091,-0.8181818181818182
logd,NGBoost,MHGGNNpretrained,11,1007,True,1.9900966488573786,1.0718693530225698,0.17670173419029145,0.11880978814132111,0.00015750263871427384,0.634558093346574,0.8967229394240318,0.9086395233366436,0.9910625620655412,0.6470020111849207,0.5943107564240265,0.5943107564240265,1.0,-0.7454545454545456
logd,QRF,MHGGNNpretrained,11,1007,True,1.862713382196034,1.298571593875709,0.32298997376407745,0.06884511066893811,0.028921202722299345,0.7368421052631579,0.8579940417080437,0.9404170804369414,0.9851042701092354,0.715915862392226,0.5807171699810325,0.5807171699810325,1.0,-0.9545454545454546
caco2,GP,PDV,11,432,True,3.6396718091228477,1.3021021260954015,0.190511009447923,0.09523678753323397,0.04790359440315361,0.7592592592592593,0.9884259259259259,0.9444444444444444,1.0,0.5382739503876792,0.31093280090837294,0.26804666525475107,1.0,-0.6818181818181819
caco2,NGBoost,PDV,11,432,True,3.9877351537691132,1.203153309751908,0.28281242185695954,-0.06702496758262683,0.1643420160455842,0.5601851851851852,0.9583333333333334,0.8912037037037037,0.9976851851851852,0.4545171167199836,0.3282638490863462,0.30339058858976087,1.0,-0.9363636363636365
caco2,QRF,PDV,11,432,True,3.638830356843056,1.7134381384378186,0.3853648482321109,-0.03137790625373595,0.5154028099090657,0.6875,0.8865740740740741,0.9074074074074074,0.9814814814814815,0.44485269380272907,-0.2679816705099214,-0.2679816705099214,1.0,-0.9090909090909091
herg,GP,PDV,11,283,True,1.9733644375209782,1.10628554062126,0.20617093608920153,0.09582441425268226,0.10770709446447642,0.6749116607773852,0.9151943462897526,0.9151943462897526,0.9964664310954063,0.03258833725739263,0.028563232453993392,-0.07437354053139233,1.0,-0.11818181818181818
herg,NGBoost,PDV,11,283,True,2.1288085341357577,1.0530261614608618,0.29512275250256187,0.14506146489401553,0.014588217199597676,0.4204946996466431,0.7597173144876325,0.7879858657243817,0.9752650176678446,0.2746015459884483,0.18466481429610349,0.027750200345135423,1.0,-0.41818181818181827
herg,QRF,PDV,11,283,True,2.0241586911590326,1.2429563533923897,0.3378761173782085,0.017801547883573385,0.7655760266385977,0.6925795053003534,0.8657243816254417,0.9045936395759717,0.9681978798586572,0.43329518655679145,0.26012350247948723,0.26012350247948723,0.990909090909091,-0.8636363636363636
logd,GP,PDV,11,1007,True,2.409412170410249,1.2068672152466966,0.22881715732287153,0.1699067131194881,5.81219124297286e-08,0.7318768619662364,0.9493545183714002,0.9364448857994042,0.9980139026812314,0.7977673762178003,0.7327891027935918,0.7270237845122458,1.0,-0.7090909090909092
logd,NGBoost,PDV,11,1007,True,1.9304793848670332,0.9956848792948609,0.28871283746490967,0.1508140053336989,1.529072147134186e-06,0.6732869910625621,0.9314796425024826,0.9513406156901688,0.9950347567030785,0.6989702302782863,0.6978320052900078,0.6767340410500413,1.0,-0.8636363636363636
logd,QRF,PDV,11,1007,True,1.9097407536452695,1.368211943051104,0.30988222600332616,0.07903544615684556,0.01211204407174904,0.7159880834160874,0.8351539225422046,0.9285004965243296,0.974180734856008,0.7259809563268271,0.5650832521537414,0.5650832521537414,1.0,-0.9636363636363637
caco2,NGBoost,SNS,11,432,True,3.503267540629859,1.2068576746758026,0.36145414179421337,0.05162215694793326,0.2843711143847659,0.6435185185185185,0.9560185185185185,0.9097222222222222,1.0,0.36812007425203486,0.16019012987952197,0.15271203517465415,1.0,-0.9
caco2,QRF,SNS,11,432,True,3.674263825495872,2.082020897292646,0.37292841681942146,0.023991796287277344,0.6189867479892349,0.6597222222222222,0.8402777777777778,0.8726851851851852,0.9722222222222222,0.42065464606178216,-0.9097750504017763,-1.117793871094646,1.0,-0.9272727272727275
herg,NGBoost,SNS,11,283,True,2.1521425058227246,1.0486101982115592,0.1598191472983322,0.05514971249697859,0.3552993234804924,0.4911660777385159,0.8445229681978799,0.823321554770318,0.9823321554770318,0.3471248075170429,0.3484052936802259,0.2717029026581712,1.0,-0.45454545454545453
herg,QRF,SNS,11,283,True,1.8641402548362345,1.3907071314229777,0.38602434047594464,0.1109977189683752,0.062213314840286936,0.5865724381625441,0.7314487632508834,0.8904593639575972,0.9611307420494699,0.4419994038762801,0.03899585728451638,0.03899585728451638,0.990909090909091,-0.8909090909090911
logd,NGBoost,SNS,11,1007,True,1.7960889433247127,1.0445921818548134,0.17791651628605304,0.04159352786184533,0.18722603021865802,0.634558093346574,0.8857994041708044,0.9394240317775571,0.9960278053624627,0.6231592231344443,0.5947613046533959,0.5947613046533959,1.0,-0.7363636363636363
logd,QRF,SNS,11,1007,True,2.0099615301400546,1.3967391471919774,0.18741037170739278,0.16295938415142003,1.9971328275061654e-07,0.5749751737835154,0.7487586891757696,0.843098311817279,0.9513406156901688,0.711874198985043,0.4959443265117862,0.4959443265117862,1.0,-0.44545454545454555
