dataset,strategy,resp,model,rep,inter,resid,n
ChEMBL-hERG-Ki,hetero,cleanR2,17.481868394400387,0.8338263154276593,10.930983728172892,70.75332156199907,169
ChEMBL-hERG-Ki,hetero,R2@0.6,29.38694595482655,1.382640355187376,13.476246517210852,55.75416717277521,169
ChEMBL-hERG-Ki,hetero,retention,14.98085864040064,4.4781520849010095,46.41690592796253,34.12408334673582,169
ChEMBL-hERG-Ki,legacy,cleanR2,15.72785605146082,1.434547428970117,14.299341969751262,68.5382545498178,171
ChEMBL-hERG-Ki,legacy,R2@0.6,26.394056959196735,0.2925479000831701,11.678584661177316,61.63481047954278,171
ChEMBL-hERG-Ki,legacy,retention,45.905519399831235,1.9841109939044106,19.45903396660721,32.65133563965715,171
ChEMBL-hERG-Ki,outlier,cleanR2,14.85076587449564,1.7100517865498182,10.067515256433168,73.37166708252138,172
ChEMBL-hERG-Ki,outlier,R2@0.6,23.27569081175692,2.337242111655762,24.533900030870928,49.8531670457164,172
ChEMBL-hERG-Ki,outlier,retention,24.270261821089324,5.83494266404847,39.319672342319016,30.575123172543176,172
ChEMBL-hERG-Ki,quantile,cleanR2,16.117512597997795,1.6301022689327944,12.087051150599063,70.16533398247034,174
ChEMBL-hERG-Ki,quantile,R2@0.6,20.408834770241267,1.5540874619677252,23.59320662408664,54.443871143704364,174
ChEMBL-hERG-Ki,quantile,retention,45.79140591612858,1.599527381786987,19.42584441540148,33.18322228668295,174
ChEMBL-hERG-Ki,threshold,cleanR2,31.863772855014542,2.425836934296362,11.552167977370882,54.15822223331822,152
ChEMBL-hERG-Ki,threshold,R2@0.6,30.30912150186391,1.1646139864325398,16.881918030805842,51.6443464808977,152
ChEMBL-hERG-Ki,threshold,retention,69.84107356276326,1.8407225925269102,12.010350785598932,16.3078530591109,152
ChEMBL-hERG-Ki,valprop,cleanR2,29.686476214323648,2.888006620128694,16.26164766474906,51.16386950079859,160
ChEMBL-hERG-Ki,valprop,R2@0.6,33.70093814951791,1.1693165260754819,7.525567544022376,57.60417778038423,160
ChEMBL-hERG-Ki,valprop,retention,64.59017086714478,1.1369715326342154,13.22234932263189,21.05050827758911,160
OpenADMET-Caco2_Efflux,hetero,cleanR2,13.9388980959491,5.6400180184513395,15.919304715592117,64.50177917000744,191
OpenADMET-Caco2_Efflux,hetero,R2@0.6,10.233660335691736,5.914456084243403,14.860070380460591,68.99181319960427,191
OpenADMET-Caco2_Efflux,hetero,retention,10.294705877376877,2.938112036077986,43.85595507015586,42.91122701638927,191
OpenADMET-Caco2_Efflux,legacy,cleanR2,16.5700505831278,4.286543803518799,14.146874143711702,64.99653146964171,170
OpenADMET-Caco2_Efflux,legacy,R2@0.6,37.757299713830946,5.466545279704529,17.693638690970825,39.082516315493706,170
OpenADMET-Caco2_Efflux,legacy,retention,63.230548970798914,5.69315701181716,9.90259071944484,21.173703297939085,170
OpenADMET-Caco2_Efflux,outlier,cleanR2,15.560802972814432,5.525583639639414,12.40627890990456,66.50733447764159,176
