dataset,model,rep,strategy,ratio,n,mad_matched,mad_nominal
ChEMBL-hERG-Ki,DNN,ECFP4,valprop,1.2860976219548341,8,0.06662673253486122,0.08685898159225666
ChEMBL-hERG-Ki,DNN,ECFP4,quantile,0.9970486482951261,11,0.023294161960742975,0.023687104673375283
ChEMBL-hERG-Ki,DNN,ECFP4,threshold,2.0,6,0.01808079936336837,0.0479665176786802
ChEMBL-hERG-Ki,DNN,ECFP4,outlier,0.6743404053830346,11,0.017025328884975623,0.038202026869358634
ChEMBL-hERG-Ki,DNN,ECFP4,hetero,0.6207131428072957,11,0.013563278385104405,0.03787966793795515
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,valprop,1.2860976219548341,8,0.16952078229396458,0.20442165932584558
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,quantile,0.9970486482951261,11,0.11658457238726237,0.11882422201329289
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,threshold,2.0,6,0.14982384328519618,0.09084388153186641
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,outlier,0.6743404053830346,11,0.09912350621574205,0.17223043155576867
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,hetero,0.6207131428072957,11,0.05576584495844094,0.13341516839604045
ChEMBL-hERG-Ki,DNN,SNS,valprop,1.2860976219548341,8,0.06089649522575446,0.07401327181661281
ChEMBL-hERG-Ki,DNN,SNS,quantile,0.9970486482951261,11,0.028046832475039096,0.028279719707024423
ChEMBL-hERG-Ki,DNN,SNS,threshold,2.0,6,0.030158493410932807,0.04625862559866504
ChEMBL-hERG-Ki,DNN,SNS,outlier,0.6743404053830346,11,0.027729661285033583,0.04237994820424636
ChEMBL-hERG-Ki,DNN,SNS,hetero,0.6207131428072957,11,0.018771645153002888,0.03125432669597819
ChEMBL-hERG-Ki,LightGBM,ECFP4,valprop,1.2860976219548341,8,0.15865377615718718,0.19941099121195308
ChEMBL-hERG-Ki,LightGBM,ECFP4,quantile,0.9970486482951261,11,0.018793749073731155,0.019306680877511227
ChEMBL-hERG-Ki,LightGBM,ECFP4,threshold,2.0,6,0.020977144716753573,0.08834927588306112
ChEMBL-hERG-Ki,LightGBM,ECFP4,outlier,0.6743404053830346,11,0.022872329879406707,0.07773764457307752
ChEMBL-hERG-Ki,LightGBM,ECFP4,hetero,0.6207131428072957,11,0.015155650182621912,0.07231721415919125
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,valprop,1.2860976219548341,8,0.1662902080324921,0.20375435946555667
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,quantile,0.9970486482951261,11,0.03139171975783017,0.03156726178108511
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,threshold,2.0,6,0.01820148777568707,0.07568840110704879
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,outlier,0.6743404053830346,11,0.01326368479937019,0.0508689152022084
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,hetero,0.6207131428072957,11,0.009028808894595352,0.07203655891884658
ChEMBL-hERG-Ki,LightGBM,PDV,valprop,1.2860976219548341,8,0.14792964832422983,0.18410503071476997
ChEMBL-hERG-Ki,LightGBM,PDV,quantile,0.9970486482951261,11,0.022829409065983398,0.022763320946691243
ChEMBL-hERG-Ki,LightGBM,PDV,threshold,2.0,6,0.016408042717482932,0.07150860404767939
ChEMBL-hERG-Ki,LightGBM,PDV,outlier,0.6743404053830346,11,0.014031107043231376,0.05620818669722864
ChEMBL-hERG-Ki,LightGBM,PDV,hetero,0.6207131428072957,11,0.01356079929831584,0.05951763011466318
ChEMBL-hERG-Ki,LightGBM,SNS,valprop,1.2860976219548341,8,0.15907573243173287,0.19287763884466275
ChEMBL-hERG-Ki,LightGBM,SNS,quantile,0.9970486482951261,11,0.010857850793454348,0.010936669503005909
ChEMBL-hERG-Ki,LightGBM,SNS,threshold,2.0,6,0.007518783383845669,0.07988264406494183
ChEMBL-hERG-Ki,LightGBM,SNS,outlier,0.6743404053830346,11,0.00938452536384483,0.05926124663774696
ChEMBL-hERG-Ki,LightGBM,SNS,hetero,0.6207131428072957,11,0.006596708761101214,0.05954293978727782
ChEMBL-hERG-Ki,MLP,ECFP4,valprop,1.2860976219548341,8,0.06439254970213318,0.08654690804664283
ChEMBL-hERG-Ki,MLP,ECFP4,quantile,0.9970486482951261,11,0.02201409349849871,0.022261354269385494
ChEMBL-hERG-Ki,MLP,ECFP4,threshold,2.0,6,0.019825314644181292,0.0584658638321966
ChEMBL-hERG-Ki,MLP,ECFP4,outlier,0.6743404053830346,11,0.016319379864158035,0.03650176813896559
ChEMBL-hERG-Ki,MLP,ECFP4,hetero,0.6207131428072957,11,0.022199897910066203,0.03398502169640415
ChEMBL-hERG-Ki,MLP,SNS,valprop,1.2860976219548341,8,0.06398920770991504,0.08789792994133346
ChEMBL-hERG-Ki,MLP,SNS,quantile,0.9970486482951261,11,0.024908411752922962,0.025152283239945006
ChEMBL-hERG-Ki,MLP,SNS,threshold,2.0,6,0.031413310173137206,0.03730949809252249
ChEMBL-hERG-Ki,MLP,SNS,outlier,0.6743404053830346,11,0.030188844095907094,0.04897480002610759
