dataset,strategy,mean_auc,dose_labelSD
OpenADMET-LogD,hetero,0.9869175717519443,0.38367658346432587
OpenADMET-LogD,legacy,0.9530261873103151,0.840014019948162
OpenADMET-LogD,outlier,0.9701596640265281,0.5661451157949187
OpenADMET-LogD,quantile,0.9493817045217795,0.7748722285687085
OpenADMET-LogD,threshold,0.8689176175238131,1.5526463116645417
OpenADMET-LogD,valprop,0.9202667907773343,0.9323522017667799
OpenADMET-Caco2_Efflux,hetero,0.9222048797933816,0.7705490774621807
OpenADMET-Caco2_Efflux,legacy,0.3976976565375495,2.248019340392504
OpenADMET-Caco2_Efflux,outlier,0.48678056629462835,1.7180741711009324
OpenADMET-Caco2_Efflux,quantile,0.46092840174100796,2.036357246226352
OpenADMET-Caco2_Efflux,threshold,0.6741867710630686,1.3810728673537116
OpenADMET-Caco2_Efflux,valprop,0.343115298906919,2.2877688692593012
ChEMBL-hERG-Ki,hetero,0.943197081999735,0.6788618560469225
ChEMBL-hERG-Ki,legacy,0.8532512743574162,1.093680493015885
ChEMBL-hERG-Ki,outlier,0.9260941097887795,0.737512947019849
ChEMBL-hERG-Ki,quantile,0.8423059376951304,1.0904526572282351
ChEMBL-hERG-Ki,threshold,0.4391737481927105,2.18736098603177
ChEMBL-hERG-Ki,valprop,0.4883555893037587,1.40657988124612
QM9-HOMO-LUMO,legacy,0.8298179176924545,0.7733653093610193
QM9-HOMO-LUMO,valprop,0.6652807756998871,1.3056247389416067
QM9-HOMO-LUMO,quantile,0.8504882422311092,0.6956815658657763
QM9-HOMO-LUMO,threshold,0.6031721202179577,1.5467248568119445
QM9-HOMO-LUMO,outlier,0.9446264050516503,0.37922440641447613
QM9-HOMO-LUMO,hetero,0.9109566029132523,0.5139473391467986
