sigma,r2,rmse,mae,spearman,model,rep,strategy,fold,dataset
0.0,-0.37216910530516634,1.0817725818799966,0.7621909163621675,0.09160660082484948,GP,ECFP4,quantile,0,ChEMBL-hERG-Ki
0.6,-0.4250110340402167,1.102405230058663,0.7753101146359,0.0950989396306665,GP,ECFP4,quantile,0,ChEMBL-hERG-Ki
0.0,-0.5268207838706549,1.1380032442537371,0.8322734431611554,0.18323816353518954,GP,ECFP4,quantile,1,ChEMBL-hERG-Ki
0.6,-0.5569477077621683,1.1491758264699097,0.8405121930440158,0.22251175363600034,GP,ECFP4,quantile,1,ChEMBL-hERG-Ki
0.0,-1.0347684524969618,1.2634428479649153,0.9999762702121806,0.10851155096242526,GP,ECFP4,quantile,2,ChEMBL-hERG-Ki
0.6,-1.0612673279718545,1.2716431708179547,1.0072035261048362,0.11962838217492752,GP,ECFP4,quantile,2,ChEMBL-hERG-Ki
0.0,-0.9456492047038749,1.1770577022307094,0.9029640588326729,-0.029068945452042347,GP,ECFP4,quantile,3,ChEMBL-hERG-Ki
0.6,-0.9592947600420965,1.1811780603108233,0.9070344228985588,-0.029068945452042347,GP,ECFP4,quantile,3,ChEMBL-hERG-Ki
0.0,-0.43352539741215,1.159902476064718,0.8345902741801182,0.2487133824661764,GP,ECFP4,quantile,4,ChEMBL-hERG-Ki
0.6,-0.4462921466039387,1.165055980911084,0.8383571106714938,0.27698977689221677,GP,ECFP4,quantile,4,ChEMBL-hERG-Ki
