sigma,r2,rmse,mae,spearman,model,rep,strategy,fold,dataset
0.0,-0.03571890807218647,1.1610924657091797,0.9204348655093257,-0.10517977842988388,NGBoost,PDV,quantile,0,TINY
0.6,-0.006556115402227114,1.1446292782166005,0.9096529214227379,0.015987916813811155,NGBoost,PDV,quantile,0,TINY
0.0,-0.0725166686875578,0.9985585735552546,0.7958785503321755,-0.10148402871996264,NGBoost,PDV,quantile,1,TINY
0.6,-0.06571123748762853,0.9953854592073614,0.8137445165583217,-0.023946725051066348,NGBoost,PDV,quantile,1,TINY
0.0,-0.028329935151984786,1.2631890180844367,0.985284858918233,-0.08800092873266158,NGBoost,PDV,quantile,2,TINY
0.6,-0.03167461457444709,1.2652416338291648,0.9853696697909742,0.2029046991517782,NGBoost,PDV,quantile,2,TINY
0.0,-0.2013668768136907,1.2051261674708078,0.9668466011928005,0.367032967032967,NGBoost,PDV,quantile,3,TINY
0.6,-0.2680423130716534,1.2381166460254205,0.9963644960303276,-0.008810594060152407,NGBoost,PDV,quantile,3,TINY
0.0,-0.33323641448865304,1.068271429615925,0.8692446707901003,0.22074803727330547,NGBoost,PDV,quantile,4,TINY
0.6,-0.8109530270883938,1.245035179314995,1.0557984286943123,-0.6530015066392295,NGBoost,PDV,quantile,4,TINY
