sigma,r2,rmse,mae,spearman,model,rep,strategy,fold,dataset
0.0,-0.035617775021933085,1.1610357767328545,0.9203412280204347,-0.10466577360482648,NGBoost,PDV,quantile,0,TINY
0.6,-0.006611142581383067,1.1446605655231807,0.9099196911199984,0.01667982619686663,NGBoost,PDV,quantile,0,TINY
0.0,-0.07942868598423303,1.0017710967988656,0.7998839393154857,-0.11379166624557512,NGBoost,PDV,quantile,1,TINY
0.6,-0.06606357162567056,0.995549987497663,0.814132874001343,-0.023921458248232705,NGBoost,PDV,quantile,1,TINY
0.0,-0.02809036937723053,1.263041869551492,0.9858319780998692,-0.08984374124677853,NGBoost,PDV,quantile,2,TINY
0.6,-0.03167461457444709,1.2652416338291648,0.9853696697909742,0.2029046991517782,NGBoost,PDV,quantile,2,TINY
0.0,-0.1920359960589988,1.2004370053040228,0.9614325398795683,0.367032967032967,NGBoost,PDV,quantile,3,TINY
0.6,-0.264850754860984,1.2365575454914053,0.9923785019385678,0.22026485150381014,NGBoost,PDV,quantile,3,TINY
0.0,-0.33323641448865304,1.068271429615925,0.8692446707901003,0.22074803727330547,NGBoost,PDV,quantile,4,TINY
0.6,-0.8109530270883938,1.245035179314995,1.0557984286943123,-0.6530015066392295,NGBoost,PDV,quantile,4,TINY
