split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,noise_pattern,noise_pattern_pred,injected_noise,oof_folds_ok,dataset,model,rep
test,quantile,0.0,0,0,5.96,4.836605497143593,1.7003243186836854,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,1,5.75,4.8364652461315565,1.700324319307211,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,2,5.2,4.836685144711042,1.7003243153942356,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,3,4.64,4.836695890257097,1.700324315334131,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,4,5.48,4.8364950429062326,1.7003243192505015,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,5,4.71,4.836465292261206,1.7003243193065334,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,6,4.52,4.836473433232727,1.700324319294798,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,7,4.97,4.836718387293493,1.7003243138115913,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,8,4.86,4.836461675405862,1.7003243193080881,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,9,4.47,4.836607822977927,1.7003243182172196,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,10,4.82,4.836773000607227,1.7003243141189952,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,11,5.4,4.940023800092862,1.6986941533841262,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,12,5.2,4.853169914168475,1.7002662799246226,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,13,6.58,4.83654472655285,1.7003243190632125,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,14,6.02,4.836461707835497,1.7003243193080992,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,15,6.14,4.836498023917928,1.7003243192648527,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,16,5.4,4.836627813268456,1.7003243183772765,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,17,7.37,4.837358260956062,1.7003242927572102,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,18,5.66,4.836620820905242,1.7003243184909267,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,19,5.23,4.836640311979095,1.7003243183385288,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,20,5.38,4.836471946435899,1.7003243193036015,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,21,4.9,4.8370570067981395,1.7003238714574405,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,22,5.9,4.836922485584894,1.7003241939005107,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,23,4.25,4.836458224407319,1.70032431930866,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,24,4.6,4.836443411972094,1.700324169053815,0.0,2.0,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,25,5.16,4.840427590725047,1.7003232392928445,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,26,6.54,4.836701073489415,1.700324316899416,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,27,5.2,4.83878110760816,1.7003167920901041,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,28,5.01,4.836477359488056,1.7003243192967363,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,29,5.15,4.836473356592583,1.7003243193002175,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,30,4.97,4.83648443060971,1.700324319285726,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,31,4.77,4.836460215199984,1.7003243193085267,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,32,5.28,4.8364789676738775,1.7003243192922064,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,33,4.95,4.836471011766447,1.7003243193032025,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,34,5.85,4.83645937704453,1.7003243193086364,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,35,6.8,4.83645820617677,1.700324319308666,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,36,5.71,4.836505994678069,1.700324296382832,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,37,5.53,4.836515165706818,1.700324318911288,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,38,4.92,4.975859496462058,1.698351518178193,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,39,5.2,4.836462283375766,1.700324319307881,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,40,5.58,4.836463011731432,1.700324319307613,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
test,quantile,0.0,0,41,5.36,4.836460805596179,1.700324319308315,0.0,0.1,0.1,0.0,-1,ChEMBL-hERG-Ki,GP,ECFP4
