split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,noise_pattern,injected_noise,dataset,model,rep,oof_folds_ok,task_model,task_dataset,task_rep,task_strategy
test,legacy,0.0,0,0,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,1,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,2,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,3,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,4,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,5,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,6,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,7,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,8,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,9,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,10,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,11,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,12,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,13,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,14,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,15,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,16,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,17,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,18,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.0,0,19,1.0,1.0,0.3,0.0,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,0,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,1,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,2,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,3,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,4,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,5,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,6,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,7,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,8,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,9,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,10,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,11,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,12,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,13,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,14,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,15,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,16,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,17,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,18,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.1,0,19,1.0,1.0,0.3,0.1,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,0,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,1,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,2,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,3,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,4,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,5,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,6,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,7,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,8,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,9,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,10,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,11,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,12,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,13,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,14,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,15,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,16,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,17,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,18,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.2,0,19,1.0,1.0,0.3,0.2,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,0,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,1,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,2,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,3,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,4,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,5,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,6,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,7,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,8,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,9,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,10,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,11,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,12,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,13,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,14,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,15,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,16,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,17,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,18,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.3,0,19,1.0,1.0,0.3,0.3,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,0,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,1,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,2,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,3,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,4,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,5,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,6,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,7,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,8,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,9,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,10,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,11,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,12,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,13,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,14,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,15,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,16,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,17,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,18,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.4,0,19,1.0,1.0,0.3,0.4,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,0,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,1,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,2,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,3,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,4,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,5,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,6,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,7,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,8,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,9,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,10,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,11,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,12,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,13,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,14,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
test,legacy,0.5,0,15,1.0,1.0,0.3,0.5,1.0,0.0,logd,GP,PDV,,gp,logd,pdv,legacy
