split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,noise_pattern,injected_noise,dataset,model,rep,oof_folds_ok,task_model,task_dataset,task_rep,task_strategy
test,legacy,0.0,0,0,1.0,2.0,0.3,0.0,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
test,legacy,0.0,0,1,1.0,2.0,0.3,0.0,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
test,legacy,0.0,0,2,1.0,2.0,0.3,0.0,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
test,legacy,0.5,0,0,1.0,2.0,0.3,0.5,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
test,legacy,0.5,0,1,1.0,2.0,0.3,0.5,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
test,legacy,0.5,0,2,1.0,2.0,0.3,0.5,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
test,legacy,0.0,1,0,1.0,2.0,0.3,0.0,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
test,legacy,0.0,1,1,1.0,2.0,0.3,0.0,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
test,legacy,0.0,1,2,1.0,2.0,0.3,0.0,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
test,legacy,0.5,1,0,1.0,2.0,0.3,0.5,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
test,legacy,0.5,1,1,1.0,2.0,0.3,0.5,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
test,legacy,0.5,1,2,1.0,2.0,0.3,0.5,1.0,0.0,logd,BNN-Full,PDV,,bnn_full,logd,pdv,legacy
train_oof,legacy,0.0,0,0,1.0,2.0,0.3,0.0,1.0,0.9,logd,BNN-Full,PDV,5.0,bnn_full,logd,pdv,legacy
train_oof,legacy,0.0,0,1,1.0,2.0,0.3,0.0,1.0,0.9,logd,BNN-Full,PDV,5.0,bnn_full,logd,pdv,legacy
train_oof,legacy,0.0,0,2,1.0,2.0,0.3,0.0,1.0,0.9,logd,BNN-Full,PDV,5.0,bnn_full,logd,pdv,legacy
train_oof,legacy,0.5,0,0,1.0,2.0,0.3,0.5,1.0,0.9,logd,BNN-Full,PDV,5.0,bnn_full,logd,pdv,legacy
train_oof,legacy,0.5,0,1,1.0,2.0,0.3,0.5,1.0,0.9,logd,BNN-Full,PDV,5.0,bnn_full,logd,pdv,legacy
train_oof,legacy,0.5,0,2,1.0,2.0,0.3,0.5,1.0,0.9,logd,BNN-Full,PDV,5.0,bnn_full,logd,pdv,legacy
test,legacy,0.0,0,0,1.0,2.0,0.3,0.0,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
test,legacy,0.0,0,1,1.0,2.0,0.3,0.0,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
test,legacy,0.0,0,2,1.0,2.0,0.3,0.0,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
test,legacy,0.5,0,0,1.0,2.0,0.3,0.5,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
test,legacy,0.5,0,1,1.0,2.0,0.3,0.5,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
test,legacy,0.5,0,2,1.0,2.0,0.3,0.5,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
test,legacy,0.0,1,0,1.0,2.0,0.3,0.0,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
test,legacy,0.0,1,1,1.0,2.0,0.3,0.0,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
test,legacy,0.0,1,2,1.0,2.0,0.3,0.0,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
test,legacy,0.5,1,0,1.0,2.0,0.3,0.5,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
test,legacy,0.5,1,1,1.0,2.0,0.3,0.5,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
test,legacy,0.5,1,2,1.0,2.0,0.3,0.5,1.0,0.0,logd,QRF,PDV,qrf,logd,pdv,legacy
