split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,noise_pattern,injected_noise,oof_folds_ok,dataset,model,rep
test,valprop,0.0,0,0,4.440875155351001,-2.6280194236888224,40.0,0.0,1.22204375776755,0.0,,t4,GP,PDV
test,valprop,0.0,0,1,4.998931536970482,-2.551844947639871,40.0,0.0,1.249946576848524,0.0,,t4,GP,PDV
test,valprop,0.0,0,2,5.72059821910346,-2.5061402620105,40.0,0.0,1.286029910955173,0.0,,t4,GP,PDV
test,valprop,0.0,0,3,4.708701105592944,-2.429965785961549,40.0,0.0,1.2354350552796471,0.0,,t4,GP,PDV
test,valprop,0.0,0,4,5.148657086344446,-2.384261100332178,40.0,0.0,1.2574328543172224,0.0,,t4,GP,PDV
test,valprop,0.0,0,5,4.535432068056334,-2.3080866242832268,40.0,0.0,1.2267716034028167,0.0,,t4,GP,PDV
test,valprop,0.0,0,6,3.2591855610241103,-2.2623819386538555,40.0,0.0,1.1629592780512055,0.0,,t4,GP,PDV
test,valprop,0.0,0,7,4.108935769754519,-2.186207462604904,40.0,0.0,1.205446788487726,0.0,,t4,GP,PDV
test,valprop,0.0,0,8,5.642515227591309,-2.1405027769755334,40.0,0.0,1.2821257613795654,0.0,,t4,GP,PDV
test,valprop,0.0,0,9,7.1193930535152,-2.064328300926582,40.0,0.0,1.35596965267576,0.0,,t4,GP,PDV
test,valprop,0.0,0,10,4.78401631849718,-2.0186236152972112,40.0,0.0,1.239200815924859,0.0,,t4,GP,PDV
test,valprop,0.0,0,11,5.459746222109015,-1.94244913924826,40.0,0.0,1.2729873111054508,0.0,,t4,GP,PDV
test,valprop,0.0,0,12,4.370474456718977,-1.896744453618889,40.0,0.0,1.218523722835949,0.0,,t4,GP,PDV
test,valprop,0.0,0,13,4.841147362919783,-1.8205699775699378,40.0,0.0,1.2420573681459892,0.0,,t4,GP,PDV
test,valprop,0.0,0,14,5.601948947817249,-1.774865291940567,40.0,0.0,1.2800974473908624,0.0,,t4,GP,PDV
test,valprop,0.0,0,15,4.880467241726163,-1.6986908158916156,40.0,0.0,1.2440233620863081,0.0,,t4,GP,PDV
test,valprop,0.0,0,16,3.9321717667751006,-1.6529861302622448,40.0,0.0,1.196608588338755,0.0,,t4,GP,PDV
test,valprop,0.0,0,17,6.7971669387171,-1.5768116542132933,40.0,0.0,1.3398583469358551,0.0,,t4,GP,PDV
test,valprop,0.0,0,18,6.725887424880508,-1.5311069685839225,40.0,0.0,1.3362943712440254,0.0,,t4,GP,PDV
test,valprop,0.0,0,19,4.7685734475802635,-1.4549324925349711,40.0,0.0,1.2384286723790132,0.0,,t4,GP,PDV
test,valprop,0.0,0,20,6.073222765784639,-1.4092278069056003,40.0,0.0,1.303661138289232,0.0,,t4,GP,PDV
test,valprop,0.0,0,21,4.640346515206607,-1.333053330856649,40.0,0.0,1.2320173257603304,0.0,,t4,GP,PDV
test,valprop,0.0,0,22,5.803301832091593,-1.2873486452272782,40.0,0.0,1.2901650916045797,0.0,,t4,GP,PDV
test,valprop,0.0,0,23,4.191625775148712,-1.2111741691783269,40.0,0.0,1.2095812887574355,0.0,,t4,GP,PDV
test,valprop,0.0,0,24,6.04284719510459,-1.165469483548956,40.0,0.0,1.3021423597552295,0.0,,t4,GP,PDV
test,valprop,0.0,0,25,5.469854832203096,-1.0892950075000045,40.0,0.0,1.273492741610155,0.0,,t4,GP,PDV
test,valprop,0.0,0,26,4.316633275377804,-1.0435903218706337,40.0,0.0,1.2158316637688902,0.0,,t4,GP,PDV
test,valprop,0.0,0,27,4.654419360175062,-0.9674158458216824,40.0,0.0,1.2327209680087532,0.0,,t4,GP,PDV
test,valprop,0.0,0,28,5.679058986352887,-0.9217111601923116,40.0,0.0,1.2839529493176443,0.0,,t4,GP,PDV
test,valprop,0.0,0,29,4.222273648529168,-0.8455366841433603,40.0,0.0,1.2111136824264583,0.0,,t4,GP,PDV
test,valprop,0.0,0,30,3.9848928354466304,-0.7998319985139893,40.0,0.0,1.1992446417723315,0.0,,t4,GP,PDV
test,valprop,0.0,0,31,5.586350499071223,-0.723657522465038,40.0,0.0,1.279317524953561,0.0,,t4,GP,PDV
test,valprop,0.0,0,32,5.340363708601748,-0.6779528368356672,40.0,0.0,1.2670181854300875,0.0,,t4,GP,PDV
test,valprop,0.0,0,33,3.7064181268991536,-0.6017783607867159,40.0,0.0,1.1853209063449577,0.0,,t4,GP,PDV
test,valprop,0.0,0,34,3.396175340053167,-0.556073675157345,40.0,0.0,1.1698087670026585,0.0,,t4,GP,PDV
test,valprop,0.0,0,35,4.362975497690433,-0.4798991991083936,40.0,0.0,1.2181487748845217,0.0,,t4,GP,PDV
test,valprop,0.0,0,36,4.382087332755547,-0.4341945134790228,40.0,0.0,1.2191043666377774,0.0,,t4,GP,PDV
test,valprop,0.0,0,37,5.017386733971532,-0.35802003743007144,40.0,0.0,1.2508693366985766,0.0,,t4,GP,PDV
test,valprop,0.0,0,38,5.836752931735491,-0.31231535180070064,40.0,0.0,1.2918376465867745,0.0,,t4,GP,PDV
test,valprop,0.0,0,39,6.4475386329390165,-0.23614087575174925,40.0,0.0,1.322376931646951,0.0,,t4,GP,PDV
test,valprop,0.0,0,40,5.494156197339175,-0.19043619012237842,40.0,0.0,1.2747078098669586,0.0,,t4,GP,PDV
test,valprop,0.0,0,41,4.1640907812096755,-0.11426171407342706,40.0,0.0,1.2082045390604839,0.0,,t4,GP,PDV
test,valprop,0.0,0,42,4.025349702281913,-0.06855702844405623,40.0,0.0,1.2012674851140956,0.0,,t4,GP,PDV
test,valprop,0.0,0,43,3.8716650629132703,0.007617447604895137,40.0,0.0,1.1935832531456636,0.0,,t4,GP,PDV
test,valprop,0.0,0,44,5.672932606681934,0.05332213323426596,40.0,0.0,1.2836466303340968,0.0,,t4,GP,PDV
test,valprop,0.0,0,45,5.36081649802749,0.12949660928321732,40.0,0.0,1.2680408249013746,0.0,,t4,GP,PDV
test,valprop,0.0,0,46,2.7754329541907525,0.17520129491258815,40.0,0.0,1.1387716477095375,0.0,,t4,GP,PDV
test,valprop,0.0,0,47,5.328126581517229,0.2513757709615395,40.0,0.0,1.2664063290758616,0.0,,t4,GP,PDV
test,valprop,0.0,0,48,4.031122782165007,0.29708045659091037,40.0,0.0,1.2015561391082503,0.0,,t4,GP,PDV
test,valprop,0.0,0,49,6.126622122750407,0.3732549326398617,40.0,0.0,1.3063311061375205,0.0,,t4,GP,PDV
test,valprop,0.0,0,50,6.218017922553068,0.41895961826923256,40.0,0.0,1.3109008961276534,0.0,,t4,GP,PDV
test,valprop,0.0,0,51,5.360136686876952,0.4951340943181839,40.0,0.0,1.2680068343438475,0.0,,t4,GP,PDV
test,valprop,0.0,0,52,4.793380056132849,0.5408387799475547,40.0,0.0,1.2396690028066424,0.0,,t4,GP,PDV
test,valprop,0.0,0,53,5.570551465777538,0.6170132559965061,40.0,0.0,1.278527573288877,0.0,,t4,GP,PDV
test,valprop,0.0,0,54,5.0470023796731,0.6627179416258769,40.0,0.0,1.252350118983655,0.0,,t4,GP,PDV
test,valprop,0.0,0,55,4.7366065945867994,0.7388924176748283,40.0,0.0,1.23683032972934,0.0,,t4,GP,PDV
test,valprop,0.0,0,56,5.027333560903023,0.7845971033041991,40.0,0.0,1.2513666780451511,0.0,,t4,GP,PDV
test,valprop,0.0,0,57,4.84770902118717,0.8607715793531505,40.0,0.0,1.2423854510593586,0.0,,t4,GP,PDV
test,valprop,0.0,0,58,5.116423478667517,0.9064762649825213,40.0,0.0,1.2558211739333758,0.0,,t4,GP,PDV
test,valprop,0.0,0,59,4.369484336632498,0.9826507410314727,40.0,0.0,1.218474216831625,0.0,,t4,GP,PDV
test,valprop,0.0,0,60,2.7201664168611828,1.0283554266608435,40.0,0.0,1.1360083208430591,0.0,,t4,GP,PDV
test,valprop,0.0,0,61,6.545844270510072,1.1045299027097948,40.0,0.0,1.3272922135255036,0.0,,t4,GP,PDV
test,valprop,0.0,0,62,3.3182903963271477,1.1502345883391658,40.0,0.0,1.1659145198163574,0.0,,t4,GP,PDV
