sigma,r2,rmse,mae,spearman,model,rep,strategy,fold,dataset
0.0,-28.37102765368828,5.520327075921832,5.209630604412077,-0.14042674253200568,GP,PDV,valprop,0,t4
0.5,-28.37102765368828,5.520327075921832,5.209630604412077,-0.14042674253200568,GP,PDV,valprop,0,t4
0.0,-24.636204945622474,5.730679026323828,5.455557157137514,-0.03419630156472262,GP,PDV,valprop,1,t4
0.5,-24.636204945622474,5.730679026323828,5.455557157137514,-0.03419630156472262,GP,PDV,valprop,1,t4
0.0,-17.64618993349389,5.737863844192851,5.426412104762795,0.013677645256592626,GP,PDV,valprop,2,t4
0.5,-17.64618993349389,5.737863844192851,5.426412104762795,0.013677645256592626,GP,PDV,valprop,2,t4
0.0,-26.989030009284054,5.671494286796244,5.483950740624446,0.23799102746471168,GP,PDV,valprop,3,t4
0.5,-26.989030009284054,5.671494286796244,5.483950740624446,0.23799102746471168,GP,PDV,valprop,3,t4
0.0,-21.061031264886182,5.696142739870456,5.4446206173875975,0.11810440577563863,GP,PDV,valprop,4,t4
0.5,-21.061031264886182,5.696142739870456,5.4446206173875975,0.11810440577563863,GP,PDV,valprop,4,t4
