split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,noise_pattern,injected_noise,oof_folds_ok,dataset,model,rep
test,legacy,0.0,0,0,4.440875155351001,-2.6280194236888224,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,1,4.998931536970482,-2.551844947639871,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,2,5.72059821910346,-2.5061402620105,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,3,4.708701105592944,-2.429965785961549,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,4,5.148657086344446,-2.384261100332178,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,5,4.535432068056334,-2.3080866242832268,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,6,3.2591855610241103,-2.2623819386538555,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,7,4.108935769754519,-2.186207462604904,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,8,5.642515227591309,-2.1405027769755334,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,9,7.1193930535152,-2.064328300926582,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,10,4.78401631849718,-2.0186236152972112,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,11,5.459746222109015,-1.94244913924826,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,12,4.370474456718977,-1.896744453618889,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,13,4.841147362919783,-1.8205699775699378,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,14,5.601948947817249,-1.774865291940567,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,15,4.880467241726163,-1.6986908158916156,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,16,3.9321717667751006,-1.6529861302622448,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,17,6.7971669387171,-1.5768116542132933,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,18,6.725887424880508,-1.5311069685839225,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,19,4.7685734475802635,-1.4549324925349711,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,20,6.073222765784639,-1.4092278069056003,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,21,4.640346515206607,-1.333053330856649,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,22,5.803301832091593,-1.2873486452272782,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,23,4.191625775148712,-1.2111741691783269,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,24,6.04284719510459,-1.165469483548956,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,25,5.469854832203096,-1.0892950075000045,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,26,4.316633275377804,-1.0435903218706337,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,27,4.654419360175062,-0.9674158458216824,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,28,5.679058986352887,-0.9217111601923116,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,29,4.222273648529168,-0.8455366841433603,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,30,3.9848928354466304,-0.7998319985139893,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,31,5.586350499071223,-0.723657522465038,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,32,5.340363708601748,-0.6779528368356672,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,33,3.7064181268991536,-0.6017783607867159,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,34,3.396175340053167,-0.556073675157345,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,35,4.362975497690433,-0.4798991991083936,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,36,4.382087332755547,-0.4341945134790228,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,37,5.017386733971532,-0.35802003743007144,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,38,5.836752931735491,-0.31231535180070064,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,39,6.4475386329390165,-0.23614087575174925,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,40,5.494156197339175,-0.19043619012237842,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,41,4.1640907812096755,-0.11426171407342706,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,42,4.025349702281913,-0.06855702844405623,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,43,3.8716650629132703,0.007617447604895137,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,44,5.672932606681934,0.05332213323426596,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,45,5.36081649802749,0.12949660928321732,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,46,2.7754329541907525,0.17520129491258815,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,47,5.328126581517229,0.2513757709615395,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,48,4.031122782165007,0.29708045659091037,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,49,6.126622122750407,0.3732549326398617,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,50,6.218017922553068,0.41895961826923256,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,51,5.360136686876952,0.4951340943181839,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,52,4.793380056132849,0.5408387799475547,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,53,5.570551465777538,0.6170132559965061,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,54,5.0470023796731,0.6627179416258769,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,55,4.7366065945867994,0.7388924176748283,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,56,5.027333560903023,0.7845971033041991,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,57,4.84770902118717,0.8607715793531505,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,58,5.116423478667517,0.9064762649825213,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,59,4.369484336632498,0.9826507410314727,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,60,2.7201664168611828,1.0283554266608435,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,61,6.545844270510072,1.1045299027097948,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,62,3.3182903963271477,1.1502345883391658,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,63,5.072415017442203,1.2264090643881171,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,64,3.804780909542763,1.272113750017488,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,65,2.881471198810008,1.3482882260664393,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,66,5.075091639616017,1.39399291169581,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,67,4.984406634250859,1.4701673877447614,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,68,4.131338376085203,1.5158720733741322,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,69,2.233780071678551,1.5920465494230835,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,70,2.45318063356077,1.6377512350524546,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,71,5.566133310952138,1.713925711101406,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,72,6.062864967999765,1.7596303967307767,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,73,4.495680413831167,1.835804872779728,1.0,0.0,1.0,0.0,,t5,GP,PDV
test,legacy,0.0,0,74,5.010110719959839,1.8815095584090988,1.0,0.0,1.0,0.0,,t5,GP,PDV
train_oof,legacy,0.0,0,19,4.291076217364236,-1.3482882260664393,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,42,5.026693686248673,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,153,6.752446127505481,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,78,5.571605240308703,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,145,5.526205691306982,1.2111741691783269,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,15,5.785646844443733,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,24,4.985309376072268,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,68,2.8476215098395454,-0.34278514222028117,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,113,4.619761456132789,0.5713085703671352,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,118,4.766142196630051,0.6779528368356672,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,93,5.139871927682442,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,159,5.5994032981891175,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,69,4.767372419654923,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,142,4.799660315922095,1.165469483548956,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,45,4.531536222366124,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,16,5.4986031371576125,-1.39399291169581,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,51,6.1570405812696904,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,125,4.111645230312366,0.8150668937237797,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,96,4.690020400114867,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,56,2.8010888399257086,-0.5865434655769256,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,97,6.365574872112876,0.23614087575174925,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,120,5.213948289927153,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,143,4.724235280771074,1.1807043787587463,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,30,3.9626120100971054,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,9,5.130378045793676,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,172,5.590573351009782,1.774865291940567,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,60,4.1467361646517515,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,18,4.764767225230441,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,148,4.977072330055926,1.2873486452272782,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,173,4.963389380070311,1.7901001871503572,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,109,5.946205488940397,0.4798991991083936,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,55,5.251666468371921,-0.6170132559965061,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,140,4.294084632725232,1.119764797919585,1.0,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,126,4.940393284688446,,,0.0,1.0,0.0,3.0,t5,GP,PDV
train_oof,legacy,0.0,0,66,4.662670504623898,,,0.0,1.0,0.0,3.0,t5,GP,PDV
