dataset,model,rep,strategy,fold,baseline,auc_norm,r2_06
ChEMBL-hERG-Ki,BNN-Full,SNS,threshold,2,0.3134199614310587,0.12209271400066682,-0.0553943063975408
ChEMBL-hERG-Ki,DNN,ECFP4,hetero,0,0.4686427553834192,0.9262378709689315,0.4400947905657233
ChEMBL-hERG-Ki,DNN,ECFP4,hetero,1,0.5326687782161845,0.9414924364456454,0.466522973655417
ChEMBL-hERG-Ki,DNN,ECFP4,hetero,2,0.4824862717083995,0.8553448825992677,0.3334716651633114
ChEMBL-hERG-Ki,DNN,ECFP4,hetero,3,0.4853609184654952,0.8945800116743833,0.4208317379750891
ChEMBL-hERG-Ki,DNN,ECFP4,hetero,4,0.4171155242844977,1.0381493207468417,0.4231737694567015
ChEMBL-hERG-Ki,DNN,ECFP4,legacy,0,0.4067005050948892,1.0060960918969641,0.4592195725176624
ChEMBL-hERG-Ki,DNN,ECFP4,legacy,1,0.5296229458868336,0.8613662791209864,0.3905681399677587
ChEMBL-hERG-Ki,DNN,ECFP4,legacy,2,0.5421999546032952,0.7237897472312405,0.3053169287479872
ChEMBL-hERG-Ki,DNN,ECFP4,legacy,3,0.4507648125103277,0.8612834465548431,0.367114739908535
ChEMBL-hERG-Ki,DNN,ECFP4,legacy,4,0.4920509794310324,0.7851007676124978,0.4203805953986755
ChEMBL-hERG-Ki,DNN,ECFP4,outlier,0,0.3997284684950863,1.0607296206257413,0.431522736193752
ChEMBL-hERG-Ki,DNN,ECFP4,outlier,1,0.5565801788518892,0.8781328340061539,0.4537087858109364
ChEMBL-hERG-Ki,DNN,ECFP4,outlier,2,0.4713510510771749,0.891479694966539,0.439212361342929
ChEMBL-hERG-Ki,DNN,ECFP4,outlier,3,0.4791010810678,0.9077581286989882,0.4661622869550595
ChEMBL-hERG-Ki,DNN,ECFP4,outlier,4,0.4860895417539452,0.892146934781937,0.486559679169534
ChEMBL-hERG-Ki,DNN,ECFP4,quantile,0,0.4425556034084776,0.9027446805181638,0.4479868757535494
ChEMBL-hERG-Ki,DNN,ECFP4,quantile,1,0.5338161156294405,0.8667855762989849,0.4768218476177829
ChEMBL-hERG-Ki,DNN,ECFP4,quantile,2,0.469898166822102,0.89130117153186,0.3500649011934384
ChEMBL-hERG-Ki,DNN,ECFP4,quantile,3,0.4328409799888365,0.9811410672658466,0.3903259480767231
ChEMBL-hERG-Ki,DNN,ECFP4,quantile,4,0.477963755340186,0.8536372305910298,0.4568758898489251
ChEMBL-hERG-Ki,DNN,ECFP4,threshold,0,0.4757054324587564,0.7562919414171878,0.3495602214193866
ChEMBL-hERG-Ki,DNN,ECFP4,threshold,1,0.5482709091344888,0.6859523275516964,0.4083247506379209
ChEMBL-hERG-Ki,DNN,ECFP4,threshold,2,0.5012101637368687,0.5397331294060437,-0.0483576539610195
ChEMBL-hERG-Ki,DNN,ECFP4,threshold,3,0.4481557171525282,0.7026078852885661,0.2808412002901899
ChEMBL-hERG-Ki,DNN,ECFP4,threshold,4,0.4510389451376064,0.6703697999611445,0.3601171444718903
ChEMBL-hERG-Ki,DNN,ECFP4,valprop,0,0.4588895913942836,0.7851633570607129,0.332193318770124
ChEMBL-hERG-Ki,DNN,ECFP4,valprop,1,0.5485453351167356,0.6522885712701416,0.3510221788918921
ChEMBL-hERG-Ki,DNN,ECFP4,valprop,2,0.5002795141773062,0.5150820020991123,-0.073679667514021
ChEMBL-hERG-Ki,DNN,ECFP4,valprop,3,0.4886659965575888,0.5905160370955963,0.2664935765524659
ChEMBL-hERG-Ki,DNN,ECFP4,valprop,4,0.4236621533138792,0.748688310314382,0.320040051399076
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,hetero,0,0.4725378605171818,0.6650435572234424,0.4313373116633356
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,hetero,2,0.3322679949198265,0.8413628429818638,0.2471012367460123
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,hetero,3,0.3904978463268717,0.19234639549787427,-0.5626519991326917
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,legacy,0,0.4681510065689905,0.7100368442621597,0.4765899650540905
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,legacy,1,0.4600594972894042,0.6578687499938085,0.0574812440830238
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,legacy,2,0.3642154377639475,0.5291825400687475,0.2316636279007436
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,legacy,4,0.4458283414759242,0.7187861136826935,0.3412159906973363
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,outlier,0,0.4739182279609519,0.720632056353298,0.1317128492401872
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,outlier,1,0.5061517500496052,0.6135201480160124,-0.0515407377663361
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,outlier,2,0.4575732274381108,0.43910388449638516,0.1390351877233546
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,outlier,4,0.3697586789606626,0.9201472053320386,0.3424970589704663
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,quantile,0,0.3284020892525144,1.0796048203119006,0.3571307784634207
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,quantile,1,0.4278017736788772,0.7378285051614724,0.2455910392172885
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,quantile,3,0.3427514749071415,0.6515958644866489,0.2801905996004965
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,threshold,1,0.3605792276685164,0.3320832573907333,0.0462261348140671
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,threshold,4,0.4007214756582276,0.6098189893022617,0.1842042382444737
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,valprop,0,0.3475886217435152,0.5558731170757416,0.5020133968606559
ChEMBL-hERG-Ki,DNN,MHG-GNN-pretrained,valprop,4,0.3240514338845937,0.7910750595007963,0.3468350850712286
ChEMBL-hERG-Ki,DNN,PDV,hetero,1,0.4749369151191992,0.5130669977889909,0.230677086974525
ChEMBL-hERG-Ki,DNN,PDV,hetero,2,0.4744976502195748,-0.710527837190943,0.3666746784374136
ChEMBL-hERG-Ki,DNN,PDV,hetero,4,0.4800363050596236,0.7704720191226084,0.4746344039404122
ChEMBL-hERG-Ki,DNN,PDV,legacy,0,0.3320377095477549,-3.7531767984912587,-0.1802188418607833
