split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,injected_noise
test,legacy,0.0,0,0,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,0,1,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,0,2,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,1,0,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,1,1,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,1,2,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,2,0,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,2,1,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,2,2,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,3,0,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,3,1,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,3,2,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,4,0,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,4,1,1.0,1.0,0.1,0.0,0.0
test,legacy,0.0,4,2,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,0,0,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,0,1,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,0,2,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,1,0,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,1,1,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,1,2,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,2,0,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,2,1,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,2,2,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,3,0,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,3,1,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,3,2,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,4,0,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,4,1,1.0,1.0,0.1,0.0,0.0
train_oof,legacy,0.0,4,2,1.0,1.0,0.1,0.0,0.0
