split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,noise_pattern,noise_pattern_pred,injected_noise,dataset,model,rep
test,legacy,0.0,0,0,1.0,1.0,0.3,0.0,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.0,0,0,1.0,1.0,0.4,0.0,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.0,0,1,1.0,1.0,0.3,0.0,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.0,0,1,1.0,1.0,0.4,0.0,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.0,0,2,1.0,1.0,0.3,0.0,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.0,0,2,1.0,1.0,0.4,0.0,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.0,0,3,1.0,1.0,0.3,0.0,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.0,0,3,1.0,1.0,0.4,0.0,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.0,0,4,1.0,1.0,0.3,0.0,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.0,0,4,1.0,1.0,0.4,0.0,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.6,0,0,1.0,1.0,0.3,0.6,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.6,0,0,1.0,1.0,0.4,0.6,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.6,0,1,1.0,1.0,0.3,0.6,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.6,0,1,1.0,1.0,0.4,0.6,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.6,0,2,1.0,1.0,0.3,0.6,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.6,0,2,1.0,1.0,0.4,0.6,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.6,0,3,1.0,1.0,0.3,0.6,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.6,0,3,1.0,1.0,0.4,0.6,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.6,0,4,1.0,1.0,0.3,0.6,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.6,0,4,1.0,1.0,0.4,0.6,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.0,1,0,1.0,1.0,0.3,0.0,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.0,1,0,1.0,1.0,0.4,0.0,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.0,1,1,1.0,1.0,0.3,0.0,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.0,1,1,1.0,1.0,0.4,0.0,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.0,1,2,1.0,1.0,0.3,0.0,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.0,1,2,1.0,1.0,0.4,0.0,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.0,1,3,1.0,1.0,0.3,0.0,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.0,1,3,1.0,1.0,0.4,0.0,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.0,1,4,1.0,1.0,0.3,0.0,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.0,1,4,1.0,1.0,0.4,0.0,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.6,1,0,1.0,1.0,0.3,0.6,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.6,1,0,1.0,1.0,0.4,0.6,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.6,1,1,1.0,1.0,0.3,0.6,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.6,1,1,1.0,1.0,0.4,0.6,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.6,1,2,1.0,1.0,0.3,0.6,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.6,1,2,1.0,1.0,0.4,0.6,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.6,1,3,1.0,1.0,0.3,0.6,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.6,1,3,1.0,1.0,0.4,0.6,1.0,1.0,0.2,logd,QRF,ecfp4
test,legacy,0.6,1,4,1.0,1.0,0.3,0.6,1.0,1.0,0.0,logd,QRF,ecfp4
train_oof,legacy,0.6,1,4,1.0,1.0,0.4,0.6,1.0,1.0,0.2,logd,QRF,ecfp4
