split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,noise_pattern,injected_noise,dataset,model,rep
test,outlier,0.0,0,0,4.174485580926887,2.536096714619827,0.4134932981904242,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,1,1.827266544148307,1.7839814267980083,0.4992066087708424,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,2,2.8761373778477304,2.495401804969432,0.8606527908916284,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,3,4.74512820835557,5.263323452975836,0.6897427680574983,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,4,3.532635879294511,3.2092639021195204,0.6589173054911661,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,5,2.753810083481039,3.38033113430982,0.611285380598511,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,6,-0.0635877790008945,1.799280980016161,1.4244545557865709,0.0,3.0,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,7,2.1094019755122697,1.6815330911046262,0.6275116212530063,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,8,3.054910220761735,2.8774852163982287,0.4171563649084058,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,9,4.763230523880342,4.60383353932367,0.5183883778965979,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,10,1.9346571028438648,1.8569760054201925,0.901032690262224,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,11,3.187618762924776,3.988091623318765,0.8890320552497661,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,12,2.535207819110457,2.628060515552644,0.5633343963803155,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,13,1.29597847538523,2.4125642585081444,0.8635590807699701,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,14,2.388417381898016,3.0625980951131693,0.893290235102671,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,15,3.932988426998292,3.995572204619452,0.5851025455005208,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,16,1.9254401265675891,2.6537901960008985,0.5112402096228932,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,17,1.5832413790531057,1.715096854187349,0.5688995569919145,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,18,3.0798206668598014,2.990354084361806,0.4369553274989832,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,19,2.564710600815434,1.8503696908026983,0.6699115803594833,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,20,2.024224461546656,2.2844231538593904,1.0348501288807923,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,21,2.517862876550086,2.506110518288019,0.5306446187007969,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,22,1.9112419627401092,3.451710637386755,0.4325264019054735,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,23,3.154779492908893,3.8336989723872072,0.6164827941012627,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,24,3.4828099694130588,2.71361945561284,0.4855040305441747,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,25,2.3053804022827014,3.2679588566494604,0.662355529245517,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,26,1.6018201910599723,1.715096854187349,0.5387897973299398,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,27,1.1565075764673316,2.9528606181270054,0.8287151702520326,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,28,4.414535485391581,4.351963106527808,0.5113093097016841,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,29,4.265342072317364,4.33000553038978,0.6515045934969947,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,30,3.2499299736922325,3.0716290797957253,0.6657626338509661,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,31,3.8478878018303377,4.3075669127543605,0.536332372817717,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,32,3.152294511244344,3.843314314274422,0.6466706351442777,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,33,1.3826891266290644,2.168029375490546,0.4529848461923796,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,34,1.5922519138630082,1.5191923187108851,1.5591225311945882,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,35,2.103054226271091,3.5115104769337213,0.4741817207148515,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,36,5.241070752511884,4.684140412872873,0.5821348830584521,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,37,5.292077943718841,4.514574779968456,0.4840306658649842,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,38,4.1367023613284974,3.149220603960132,0.6060764997103891,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
test,outlier,0.0,0,39,4.106648005879832,3.069256244076784,0.6577108130018379,0.0,0.1,0.0,OpenADMET-LogD,QRF,ECFP4
