split,strategy,sigma,fold,sample_idx,y_true,y_pred,uncertainty,noise_scale,injected_noise,dataset,model,rep,_task_model,_task_dataset,_task_rep,_task_strategy,_source
test,legacy,0.0,2,0,0.7952920787353699,-1.0457327408581856,-0.37464046853681415,0.8591034596267061,-0.12125642707970248,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,3,1,-0.5419761165498335,0.08988663271585277,0.616933564217268,-0.8053044832398798,1.2730787552635845,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,1,2,-0.2083191890176232,1.2157914125263347,-0.922777072522422,1.0009812446143402,-3.1940563819869308,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,2,3,-1.0915583110280405,2.0085271465118684,1.194494373358598,-0.8962189654207378,0.5005674277006332,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,4,-3.118545671805632,0.1813775522750082,-1.0776352427065743,1.2526225216279914,0.6528005612871368,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,1,5,-0.27362231445440294,0.6426855747146195,-0.7385008617047509,-0.23421385154222815,0.9540894479944912,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,6,-0.7530219878200706,-1.5012834844612193,0.1287317399988467,-0.7492897499751778,-0.5760337420869595,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,7,-1.5038832422192434,-0.8468988681645435,2.0570758686910153,0.8666583875044782,0.02766765349982448,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,0,8,0.21247245474559,-3.3120461673703905,0.31330622305723943,0.09899537573768757,-1.085640603544211,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,0,9,1.8224529179431164,-0.5818386435271679,-0.6075034452658248,-2.023049389073571,0.6535856688158043,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,10,0.8880413414236025,-0.10267019265280175,0.45695788111127505,0.5000742297780675,-0.3251597500145754,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,4,11,-0.4108343818507395,1.0225748839454094,-0.5330936651336179,-0.7780133676420947,0.3655775166454644,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,1,12,0.04768584742983076,-0.9850776655638722,-0.6306671954479004,-0.20557601330242667,-0.29784659028026234,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,0,13,0.7616610567513781,-0.5721568607958841,0.13360188774493426,0.5094978892321551,-0.2248856291151215,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,14,-0.868896100689621,-0.3820841552190356,0.8213385602869802,-0.44064770280571747,-1.5821160804787118,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,4,15,-0.18218356974542563,1.4364086825775866,-0.7392547742843474,2.078772242264165,1.316365001058628,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.1,3,16,-1.0517017477539607,0.06687034595888922,0.6173782254197463,-1.6911231553369988,0.3766209063564487,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,3,17,-0.8255145310338559,-0.9374711961615517,0.25411715412637625,-0.5730568820818477,-0.09870089358263655,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,2,18,-0.833138519969016,0.9539745579894141,1.689570422076992,0.00042415965363636044,-0.864009632497137,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,1,19,0.8692775892033661,0.3151515971582106,0.1031994273788896,-0.23964263097739483,1.6317918652246413,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,0,20,-1.3970447584065293,-0.4140905573901609,-1.4939470201457836,0.2966289408383535,0.7226205925142815,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.1,3,21,-0.01166442772632316,-2.4642554871807,-0.6583589089195091,-1.0198952418488583,-0.380849324356774,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,1,22,0.4301346409345311,0.5537395199054386,-0.4892027072237579,1.1988097969965008,-1.0495962092172155,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
test,legacy,0.0,0,23,-0.6165533595481006,-0.39429759561334365,-1.1531478654750522,3.128889941638595,0.647717410900033,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
train_oof,legacy,0.0,4,24,-0.8990898323590186,-0.7691688119000931,0.9695318143174398,-1.5415562081063616,-1.6605386427609419,OpenADMET-LogD,QRF,ECFP4,qrf,logd,ecfp4,legacy,qrf__logd__ecfp4__legacy/logd/QRF_ECFP4_uncertainty_values.csv
