dataset,rep,strategy,n,rho,top_auc,top_r06,top_base,rho_auc_base
ChEMBL-hERG-Ki,ECFP4,hetero,10,0.4424242424242424,SVM,NGBoost,NGBoost,0.06666666666666665
ChEMBL-hERG-Ki,ECFP4,legacy,11,0.6181818181818182,SVM,NGBoost,NGBoost,0.08181818181818183
ChEMBL-hERG-Ki,ECFP4,outlier,10,0.6363636363636362,SVM,LightGBM,NGBoost,0.17575757575757575
ChEMBL-hERG-Ki,ECFP4,quantile,10,0.23636363636363633,SVM,RF,NGBoost,-0.49090909090909085
ChEMBL-hERG-Ki,ECFP4,threshold,10,0.8181818181818182,SVM,NGBoost,NGBoost,-0.309090909090909
ChEMBL-hERG-Ki,ECFP4,valprop,10,0.8424242424242423,NGBoost,NGBoost,NGBoost,0.0303030303030303
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,6,0.7714285714285715,RF,SVM,QRF,0.3714285714285715
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,7,0.8571428571428573,RF,SVM,QRF,0.6785714285714287
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier,7,0.8214285714285715,SVM,RF,QRF,0.6785714285714287
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile,8,0.880952380952381,SVM,SVM,QRF,0.7857142857142858
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold,5,0.9999999999999999,SVM,SVM,QRF,-0.49999999999999994
ChEMBL-hERG-Ki,MHG-GNN-pretrained,valprop,6,0.8285714285714287,SVM,SVM,QRF,0.14285714285714288
ChEMBL-hERG-Ki,PDV,hetero,6,0.48571428571428577,RF,RF,LightGBM,0.2571428571428572
ChEMBL-hERG-Ki,PDV,legacy,6,0.7142857142857143,NGBoost,RF,LightGBM,0.3142857142857143
ChEMBL-hERG-Ki,PDV,outlier,6,-0.08571428571428573,SVM,LightGBM,LightGBM,-0.08571428571428573
ChEMBL-hERG-Ki,PDV,quantile,6,0.5428571428571429,SVM,NGBoost,LightGBM,0.028571428571428574
ChEMBL-hERG-Ki,PDV,threshold,5,0.8999999999999998,NGBoost,NGBoost,LightGBM,-0.49999999999999994
ChEMBL-hERG-Ki,PDV,valprop,5,0.8999999999999998,NGBoost,NGBoost,LightGBM,-0.49999999999999994
ChEMBL-hERG-Ki,SNS,hetero,11,-0.02727272727272728,DNN,RF,RF,-0.29090909090909095
ChEMBL-hERG-Ki,SNS,legacy,11,0.3090909090909091,DNN,RF,RF,-0.41818181818181827
ChEMBL-hERG-Ki,SNS,outlier,11,0.41818181818181827,DNN,RF,RF,0.11818181818181818
ChEMBL-hERG-Ki,SNS,quantile,11,0.6363636363636364,DNN,RF,RF,-0.45454545454545453
ChEMBL-hERG-Ki,SNS,threshold,10,0.8060606060606059,VBLL-Full,MLP,QRF,-0.8060606060606059
ChEMBL-hERG-Ki,SNS,valprop,10,0.6121212121212121,DNN,SVM,RF,-0.6
OpenADMET-Caco2_Efflux,ECFP4,hetero,11,0.5,NGBoost,RF,LightGBM,0.08181818181818183
OpenADMET-Caco2_Efflux,ECFP4,legacy,8,0.9523809523809524,NGBoost,MLP,LightGBM,-0.30952380952380953
OpenADMET-Caco2_Efflux,ECFP4,outlier,8,0.9761904761904763,SVM,SVM,LightGBM,0.14285714285714288
OpenADMET-Caco2_Efflux,ECFP4,quantile,8,0.7619047619047621,SVM,DNN,LightGBM,-0.523809523809524
OpenADMET-Caco2_Efflux,ECFP4,threshold,10,0.9393939393939393,SVM,SVM,XGBoost,-0.22424242424242422
OpenADMET-Caco2_Efflux,ECFP4,valprop,9,0.9,NGBoost,DNN,LightGBM,-0.6
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,hetero,6,0.3142857142857143,RF,NGBoost,NGBoost,-0.08571428571428573
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,legacy,5,0.9999999999999999,NGBoost,NGBoost,LightGBM,0.3
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,outlier,6,0.6571428571428573,SVM,SVM,NGBoost,-0.4285714285714286
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,quantile,5,0.8999999999999998,SVM,SVM,LightGBM,-0.09999999999999999
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,threshold,6,0.48571428571428577,SVM,SVM,NGBoost,-0.08571428571428573
OpenADMET-Caco2_Efflux,MHG-GNN-pretrained,valprop,5,0.9999999999999999,NGBoost,NGBoost,LightGBM,0.0
OpenADMET-Caco2_Efflux,PDV,hetero,13,0.10989010989010989,MLP,GP,DNN,-0.016483516483516484
OpenADMET-Caco2_Efflux,PDV,legacy,12,0.7202797202797203,MLP-BNN-Full,MLP-VBLL-Full,LightGBM,-0.16783216783216784
OpenADMET-Caco2_Efflux,PDV,outlier,12,0.7552447552447553,SVM,SVM,SVM,0.17482517482517487
OpenADMET-Caco2_Efflux,PDV,quantile,11,0.7181818181818183,MLP-BNN-Full,MLP,DNN,0.08181818181818183
OpenADMET-Caco2_Efflux,PDV,threshold,12,0.7552447552447553,SVM,SVM,SVM,0.44755244755244755
OpenADMET-Caco2_Efflux,PDV,valprop,12,0.8671328671328673,MLP-VBLL-Full,MLP-VBLL-Full,LightGBM,-0.2517482517482518
OpenADMET-Caco2_Efflux,SNS,hetero,10,0.06666666666666665,NGBoost,LightGBM,XGBoost,-0.43030303030303024
OpenADMET-Caco2_Efflux,SNS,legacy,9,0.9500000000000001,NGBoost,NGBoost,LightGBM,-0.8833333333333333
OpenADMET-Caco2_Efflux,SNS,outlier,10,0.8181818181818182,SVM,SVM,LightGBM,0.04242424242424241
