dataset,model,rep,strategy,test_rows,oof_rows,oof_finite,folds,sigmas,status
logd,QRF,ecfp4,legacy,55,55,55,5,11,OK
logd,QRF,ecfp4,outlier,0,0,0,0,0,MISSING
logd,QRF,ecfp4,quantile,0,0,0,0,0,MISSING
logd,QRF,ecfp4,hetero,0,0,0,0,0,MISSING
logd,QRF,ecfp4,threshold,0,0,0,0,0,MISSING
logd,QRF,ecfp4,valprop,0,0,0,0,0,MISSING
logd,QRF,pdv,legacy,0,0,0,0,0,MISSING
logd,QRF,pdv,outlier,0,0,0,0,0,MISSING
logd,QRF,pdv,quantile,0,0,0,0,0,MISSING
logd,QRF,pdv,hetero,0,0,0,0,0,MISSING
logd,QRF,pdv,threshold,0,0,0,0,0,MISSING
logd,QRF,pdv,valprop,0,0,0,0,0,MISSING
logd,QRF,sns,legacy,0,0,0,0,0,MISSING
logd,QRF,sns,outlier,0,0,0,0,0,MISSING
logd,QRF,sns,quantile,0,0,0,0,0,MISSING
logd,QRF,sns,hetero,0,0,0,0,0,MISSING
logd,QRF,sns,threshold,0,0,0,0,0,MISSING
logd,QRF,sns,valprop,0,0,0,0,0,MISSING
logd,QRF,mhggnnpretrained,legacy,0,0,0,0,0,MISSING
logd,QRF,mhggnnpretrained,outlier,0,0,0,0,0,MISSING
logd,QRF,mhggnnpretrained,quantile,0,0,0,0,0,MISSING
logd,QRF,mhggnnpretrained,hetero,0,0,0,0,0,MISSING
logd,QRF,mhggnnpretrained,threshold,0,0,0,0,0,MISSING
logd,QRF,mhggnnpretrained,valprop,0,0,0,0,0,MISSING
logd,NGBoost,ecfp4,legacy,0,0,0,0,0,MISSING
logd,NGBoost,ecfp4,outlier,0,0,0,0,0,MISSING
logd,NGBoost,ecfp4,quantile,0,0,0,0,0,MISSING
logd,NGBoost,ecfp4,hetero,0,0,0,0,0,MISSING
logd,NGBoost,ecfp4,threshold,0,0,0,0,0,MISSING
logd,NGBoost,ecfp4,valprop,0,0,0,0,0,MISSING
logd,NGBoost,pdv,legacy,0,0,0,0,0,MISSING
logd,NGBoost,pdv,outlier,0,0,0,0,0,MISSING
logd,NGBoost,pdv,quantile,0,0,0,0,0,MISSING
logd,NGBoost,pdv,hetero,0,0,0,0,0,MISSING
logd,NGBoost,pdv,threshold,0,0,0,0,0,MISSING
logd,NGBoost,pdv,valprop,0,0,0,0,0,MISSING
logd,NGBoost,sns,legacy,0,0,0,0,0,MISSING
logd,NGBoost,sns,outlier,0,0,0,0,0,MISSING
logd,NGBoost,sns,quantile,0,0,0,0,0,MISSING
logd,NGBoost,sns,hetero,0,0,0,0,0,MISSING
logd,NGBoost,sns,threshold,0,0,0,0,0,MISSING
logd,NGBoost,sns,valprop,0,0,0,0,0,MISSING
logd,NGBoost,mhggnnpretrained,legacy,0,0,0,0,0,MISSING
logd,NGBoost,mhggnnpretrained,outlier,0,0,0,0,0,MISSING
logd,NGBoost,mhggnnpretrained,quantile,0,0,0,0,0,MISSING
logd,NGBoost,mhggnnpretrained,hetero,0,0,0,0,0,MISSING
logd,NGBoost,mhggnnpretrained,threshold,0,0,0,0,0,MISSING
logd,NGBoost,mhggnnpretrained,valprop,0,0,0,0,0,MISSING
logd,GP,ecfp4,legacy,0,0,0,0,0,MISSING
logd,GP,ecfp4,outlier,0,0,0,0,0,MISSING
logd,GP,ecfp4,quantile,0,0,0,0,0,MISSING
logd,GP,ecfp4,hetero,0,0,0,0,0,MISSING
logd,GP,ecfp4,threshold,0,0,0,0,0,MISSING
logd,GP,ecfp4,valprop,0,0,0,0,0,MISSING
logd,GP,pdv,legacy,0,0,0,0,0,MISSING
logd,GP,pdv,outlier,0,0,0,0,0,MISSING
logd,GP,pdv,quantile,0,0,0,0,0,MISSING
logd,GP,pdv,hetero,0,0,0,0,0,MISSING
logd,GP,pdv,threshold,0,0,0,0,0,MISSING
logd,GP,pdv,valprop,0,0,0,0,0,MISSING
logd,GP,sns,legacy,0,0,0,0,0,MISSING
logd,GP,sns,outlier,0,0,0,0,0,MISSING
