dataset,rep,strategy,sigma,rho_vs_clean,snr_drop,mean_drop
ChEMBL-hERG-Ki,ECFP4,hetero,0.0,1.0,,0.0
ChEMBL-hERG-Ki,ECFP4,hetero,0.1,0.9790209790209792,0.22553872119491003,0.0018737282029974382
ChEMBL-hERG-Ki,ECFP4,hetero,0.2,0.9580419580419581,0.5163675002231921,-0.002394060524927136
ChEMBL-hERG-Ki,ECFP4,hetero,0.3,0.8951048951048951,0.4882731820505658,0.007832811519931421
ChEMBL-hERG-Ki,ECFP4,hetero,0.4,0.8461538461538463,0.5935048496143969,0.020240389771749998
ChEMBL-hERG-Ki,ECFP4,hetero,0.5,0.8881118881118882,0.7398565818363395,0.02165762744379728
ChEMBL-hERG-Ki,ECFP4,hetero,0.6,0.7482517482517484,0.42472462716665194,0.03667108035194809
ChEMBL-hERG-Ki,ECFP4,hetero,0.7,0.9090909090909092,0.5379985679615651,0.04378832354949804
ChEMBL-hERG-Ki,ECFP4,hetero,0.8,0.7762237762237763,0.7253794793372949,0.051761546177170124
ChEMBL-hERG-Ki,ECFP4,hetero,0.9,0.7692307692307694,0.7794820203286198,0.08320823987724997
ChEMBL-hERG-Ki,ECFP4,hetero,1.0,0.7062937062937064,0.8336026861828436,0.07283574504022568
ChEMBL-hERG-Ki,ECFP4,legacy,0.0,1.0,,0.0
ChEMBL-hERG-Ki,ECFP4,legacy,0.1,0.9090909090909092,0.2800169272007293,0.004929947062034891
ChEMBL-hERG-Ki,ECFP4,legacy,0.2,0.8671328671328673,0.544319921698276,0.013242882528433092
ChEMBL-hERG-Ki,ECFP4,legacy,0.3,0.8881118881118882,0.6714853871219145,0.022626365727662894
ChEMBL-hERG-Ki,ECFP4,legacy,0.4,0.8461538461538463,0.4776796301535677,0.05147510662867774
ChEMBL-hERG-Ki,ECFP4,legacy,0.5,0.7972027972027973,0.49305557549869705,0.057255111100458
ChEMBL-hERG-Ki,ECFP4,legacy,0.6,0.7202797202797203,0.8164891429286996,0.07205595132388493
ChEMBL-hERG-Ki,ECFP4,legacy,0.7,0.49650349650349657,0.9697182482777911,0.10988963815481656
ChEMBL-hERG-Ki,ECFP4,legacy,0.8,0.39860139860139865,1.518144954781311,0.1302092684874747
ChEMBL-hERG-Ki,ECFP4,legacy,0.9,0.39860139860139865,1.6663504366752635,0.1800107911363336
ChEMBL-hERG-Ki,ECFP4,legacy,1.0,0.2027972027972028,1.6362601057230575,0.18252789018728247
ChEMBL-hERG-Ki,ECFP4,outlier,0.0,1.0,,0.0
ChEMBL-hERG-Ki,ECFP4,outlier,0.1,0.9300699300699302,0.44262380684030755,0.0017398626393497832
ChEMBL-hERG-Ki,ECFP4,outlier,0.2,0.9160839160839163,0.26973218917914593,0.015879158618449293
ChEMBL-hERG-Ki,ECFP4,outlier,0.3,0.9300699300699302,0.3550248088256986,0.009310656138392747
ChEMBL-hERG-Ki,ECFP4,outlier,0.4,0.9230769230769231,0.33586720679559096,0.020630349569884996
ChEMBL-hERG-Ki,ECFP4,outlier,0.5,0.8811188811188813,0.6363400199046715,0.018499136553002865
ChEMBL-hERG-Ki,ECFP4,outlier,0.6,0.8811188811188813,0.4769659816054479,0.05287449184848558
ChEMBL-hERG-Ki,ECFP4,outlier,0.7,0.8041958041958043,0.5565205711494933,0.05774422067486942
ChEMBL-hERG-Ki,ECFP4,outlier,0.8,0.41958041958041964,0.525402378879754,0.10394253501023244
ChEMBL-hERG-Ki,ECFP4,outlier,0.9,0.7132867132867133,0.7498956589304194,0.11935256214876816
ChEMBL-hERG-Ki,ECFP4,outlier,1.0,0.34965034965034975,0.8832460495188972,0.13856542577324257
ChEMBL-hERG-Ki,ECFP4,quantile,0.0,1.0,,0.0
ChEMBL-hERG-Ki,ECFP4,quantile,0.1,0.9860139860139862,0.29360029446360114,0.0002134233304928409
ChEMBL-hERG-Ki,ECFP4,quantile,0.2,0.8741258741258742,0.5952675893717148,0.001446474255695199
ChEMBL-hERG-Ki,ECFP4,quantile,0.3,0.8741258741258742,0.4644513142649931,0.024827132484217862
ChEMBL-hERG-Ki,ECFP4,quantile,0.4,0.8391608391608393,0.7752445494334277,0.04209048689311098
ChEMBL-hERG-Ki,ECFP4,quantile,0.5,0.7062937062937064,0.6828687133646545,0.03949041503576445
ChEMBL-hERG-Ki,ECFP4,quantile,0.6,0.7132867132867133,0.9467668066693392,0.07107267323164884
ChEMBL-hERG-Ki,ECFP4,quantile,0.7,0.6083916083916086,0.905179934726752,0.08836862736306207
ChEMBL-hERG-Ki,ECFP4,quantile,0.8,0.16783216783216784,0.9202773996974606,0.14357478467456006
