,hetero,legacy,outlier,quantile,threshold,valprop
0.1,0.09420795951467889,0.1,0.20145499696277125,0.0970042659958537,0.20559167492341154,0.25972594003237354
0.2,0.26948173204287634,0.2,0.24127132425832365,0.2388996102010305,0.26432833218588847,0.4503289225928996
0.3,0.25331635159475663,0.3,0.23683509948655473,0.4235717314418294,0.42687845626134363,0.5021222908808921
0.4,0.288852626942642,0.4,0.39398170790356757,0.47899707022765764,0.49873228534496306,0.5507030893975143
0.5,0.29824452120297573,0.5,0.42541739187609495,0.5192234940153162,0.569978824900781,0.6736518344824132
0.6,0.3327580432933587,0.6,0.5308379256923654,0.574442027752431,0.7609812224659568,0.8303379624482083
0.7,0.4673174840958142,0.7,0.5359982782644799,0.7096369018277942,0.843899027115493,0.8748156314445851
0.8,0.45445422753912745,0.8,0.7165181395267725,0.8351125348375865,0.9856603191257445,0.9769886088577602
0.9,0.517195553291598,0.9,0.8313211732430622,0.9474053639217085,,
1.0,0.516358212710587,1.0,0.9027825148071558,,,
