sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,conformal_dnn_split,continuous_pdv,10000,0.3318781554698944,0.20014742016792297,0.4473783858971318,0.8233745098114014,0.9198533,default,mse
0.0,2,conformal_dnn_split,continuous_pdv,10000,0.32142406702041626,0.19437237083911896,0.44087682048290877,0.8235902786254883,0.91343546,default,mse
0.0,3,conformal_dnn_split,continuous_pdv,10000,0.34278082847595215,0.2195039689540863,0.46851250672109734,0.7983603477478027,0.9161346,default,mse
0.0,4,conformal_dnn_split,continuous_pdv,10000,0.30410072207450867,0.17172494530677795,0.41439708650855395,0.8449923992156982,0.9195883,default,mse
0.0,5,conformal_dnn_split,continuous_pdv,10000,0.3159908950328827,0.18296954035758972,0.42774938966360865,0.84255051612854,0.92921746,default,mse
0.0,6,conformal_dnn_split,continuous_pdv,10000,0.2991792559623718,0.17835702002048492,0.4223233595486815,0.8338640928268433,0.915027,default,mse
0.0,7,conformal_dnn_split,continuous_pdv,10000,0.3167974352836609,0.19192104041576385,0.43808793685259567,0.8407843112945557,0.93097526,default,mse
0.0,8,conformal_dnn_split,continuous_pdv,10000,0.30686113238334656,0.17513242363929749,0.418488259858383,0.8299412727355957,0.9316728,default,mse
0.0,9,conformal_dnn_split,continuous_pdv,10000,0.31209704279899597,0.18811191618442535,0.4337187062883331,0.8273866772651672,0.91635895,default,mse
0.0,10,conformal_dnn_split,continuous_pdv,10000,0.3162456750869751,0.19507132470607758,0.44166879525961256,0.8162064552307129,0.90937805,default,mse
0.0,11,conformal_dnn_split,continuous_pdv,10000,0.3040710389614105,0.1803881675004959,0.42472128213746946,0.8318409323692322,0.9191483,default,mse
0.0,12,conformal_dnn_split,continuous_pdv,10000,0.31292644143104553,0.18079309165477753,0.4251977089011387,0.8470108509063721,0.9246733,default,mse
0.0,13,conformal_dnn_split,continuous_pdv,10000,0.30702561140060425,0.16662725806236267,0.4082000221244025,0.8494815230369568,0.9263677,default,mse
0.0,14,conformal_dnn_split,continuous_pdv,10000,0.30118706822395325,0.1639648824930191,0.40492577405373825,0.8484333753585815,0.9244875,default,mse
0.0,15,conformal_dnn_split,continuous_pdv,10000,0.3005261719226837,0.1693354994058609,0.4115039482263334,0.8534494638442993,0.9283512,default,mse
0.0,16,conformal_dnn_split,continuous_pdv,10000,0.29742929339408875,0.17412389814853668,0.41728155740283646,0.8399702310562134,0.91918194,default,mse
0.0,17,conformal_dnn_split,continuous_pdv,10000,0.3109056055545807,0.1836116909980774,0.4284993477218809,0.8368365168571472,0.923662,default,mse
0.0,18,conformal_dnn_split,continuous_pdv,10000,0.3136799931526184,0.17576852440834045,0.4192475693529307,0.830115795135498,0.9161526,default,mse
0.0,19,conformal_dnn_split,continuous_pdv,10000,0.30753856897354126,0.17957577109336853,0.42376381522419837,0.8335979580879211,0.92119837,default,mse
0.0,20,conformal_dnn_split,continuous_pdv,10000,0.30709967017173767,0.17185203731060028,0.4145504038239503,0.8384800553321838,0.92580414,default,mse
0.0,21,conformal_dnn_split,continuous_pdv,10000,0.3155485987663269,0.20335976779460907,0.45095428570378293,0.8100419044494629,0.91098785,default,mse
0.0,22,conformal_dnn_split,continuous_pdv,10000,0.3179011940956116,0.2026192545890808,0.4501324855962751,0.8071589469909668,0.91083384,default,mse
0.0,23,conformal_dnn_split,continuous_pdv,10000,0.311012327671051,0.19719929993152618,0.4440712779853322,0.8192518949508667,0.90832436,default,mse
0.0,24,conformal_dnn_split,continuous_pdv,10000,0.3080459237098694,0.1811109185218811,0.4255712848887729,0.8374738693237305,0.9256103,default,mse
