sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,1,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.4935910999774933,0.379092276096344,0.6157046987772173,0.6577247381210327,0.8508321,default,conformal_heteroscedastic
0.0,3,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.8051965236663818,0.9504811763763428,0.974926241505655,0.12687361240386963,0.4679675,default,conformal_heteroscedastic
0.0,4,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,5.294888496398926,30.277685165405273,5.502516257622986,-26.330163955688477,-0.16210103,default,conformal_heteroscedastic
0.0,6,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,1.005797028541565,1.4680664539337158,1.211637921960895,-0.3674739599227905,0.0057842946,default,conformal_heteroscedastic
0.0,9,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.4926748275756836,0.3924553394317627,0.6264625602793535,0.6398792266845703,0.82674956,default,conformal_heteroscedastic
0.1,0,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.5292240977287292,0.4605574309825897,0.6786438174643528,0.5915589928627014,0.79538286,default,conformal_heteroscedastic
0.1,1,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.493259996175766,0.3796013295650482,0.6161179510167255,0.6554562449455261,0.8494605,default,conformal_heteroscedastic
0.1,2,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.8373863697052002,1.0150469541549683,1.0074953866668415,0.08294957876205444,0.37854952,default,conformal_heteroscedastic
0.1,3,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.8094157576560974,0.9595658779144287,0.9795743350631583,0.1223108172416687,0.45647746,default,conformal_heteroscedastic
0.1,4,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,5.309022426605225,30.437652587890625,5.517032951495815,-26.20779037475586,-0.15754661,default,conformal_heteroscedastic
0.1,6,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,1.0043569803237915,1.484204888343811,1.2182794787501803,-0.38193440437316895,-0.008019969,default,conformal_heteroscedastic
0.1,7,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.8734505772590637,1.0808240175247192,1.0396268645647433,0.10543733835220337,0.38032937,default,conformal_heteroscedastic
0.1,9,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.49768656492233276,0.4037627577781677,0.6354232902390089,0.6303151845932007,0.82120824,default,conformal_heteroscedastic
0.2,0,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.5437804460525513,0.48245179653167725,0.6945875009901037,0.5694186687469482,0.7817451,default,conformal_heteroscedastic
0.2,1,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.4987720847129822,0.389309823513031,0.6239469717155706,0.6442945003509521,0.8423727,default,conformal_heteroscedastic
0.2,2,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.8373322486877441,1.0195332765579224,1.0097194048635107,0.08159029483795166,0.3770423,default,conformal_heteroscedastic
0.2,3,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,0.7888278961181641,0.9110432267189026,0.9544858441689444,0.16911840438842773,0.5382559,default,conformal_heteroscedastic
0.2,4,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,5.3239216804504395,30.609371185302734,5.532573649333801,-26.13422966003418,-0.1540991,default,conformal_heteroscedastic
0.2,5,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,6.146504878997803,39.60607147216797,6.293335480662696,-33.51105499267578,-0.06386413,default,conformal_heteroscedastic
0.2,6,conformal_hetero_uncertainty_weighted,continuous_pdv,10000,1.0192186832427979,1.5403492450714111,1.2411080714713811,-0.43436622619628906,-0.04747114,default,conformal_heteroscedastic
