model,rep,strategy,status,n_iterations,n_sigmas,missing_sigmas,problems
dnn,mol2vec,legacy,WARNING,9,11,,
dnn,mol2vec,valprop,WARNING,8,11,,
dnn_bnn_full,mhggnn,threshold,WARNING,9,11,,
dnn_bnn_full,mol2vec,hetero,WARNING,9,11,,
dnn_bnn_full,mol2vec,outlier,WARNING,9,11,,
dnn_bnn_full,mol2vec,threshold,WARNING,8,11,,
dnn_bnn_full_variational,mhggnn,hetero,WARNING,6,11,,
dnn_bnn_full_variational,mhggnn,legacy,UNUSABLE,2,11,,only 2 iterations (need >= 5)
dnn_bnn_full_variational,mhggnn,outlier,WARNING,5,11,,
dnn_bnn_full_variational,mhggnn,quantile,UNUSABLE,4,11,,only 4 iterations (need >= 5)
dnn_bnn_full_variational,mhggnn,threshold,UNUSABLE,3,11,,only 3 iterations (need >= 5)
dnn_bnn_full_variational,mhggnn,valprop,WARNING,6,11,,
dnn_bnn_full_variational,mol2vec,hetero,WARNING,7,11,,
dnn_bnn_full_variational,mol2vec,legacy,WARNING,6,11,,
dnn_bnn_full_variational,mol2vec,outlier,UNUSABLE,3,11,,only 3 iterations (need >= 5)
dnn_bnn_full_variational,mol2vec,quantile,UNUSABLE,2,11,,only 2 iterations (need >= 5)
dnn_bnn_full_variational,mol2vec,threshold,UNUSABLE,3,11,,only 3 iterations (need >= 5)
dnn_bnn_full_variational,mol2vec,valprop,UNUSABLE,3,11,,only 3 iterations (need >= 5)
dnn_bnn_variational,mol2vec,hetero,WARNING,8,11,,
dnn_bnn_variational,mol2vec,quantile,WARNING,9,11,,
dnn_bnn_variational,pdv,valprop,WARNING,9,11,,
flexible_dnn,mhggnn,hetero,WARNING,9,11,,
flexible_dnn,mol2vec,valprop,WARNING,9,11,,
flexible_dnn_256_128_64,mhggnn,hetero,WARNING,9,11,,
flexible_dnn_256_128_64,mol2vec,quantile,WARNING,9,11,,
flexible_dnn_256_128_64,pdv,outlier,WARNING,9,11,,
flexible_dnn_512_256,mol2vec,hetero,WARNING,9,11,,
flexible_dnn_512_256,mol2vec,outlier,WARNING,8,11,,
flexible_dnn_512_256,mol2vec,threshold,WARNING,9,11,,
gauche,mol2vec,outlier,WARNING,10,4,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","missing sigmas: [0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]"
mlp,mhggnn,outlier,WARNING,9,11,,
mlp,pdv,outlier,WARNING,9,11,,
mlp_bnn_full,mol2vec,outlier,WARNING,9,11,,
mlp_bnn_full,mol2vec,threshold,WARNING,8,11,,
mlp_bnn_full_variational,mhggnn,hetero,UNUSABLE,3,11,,only 3 iterations (need >= 5)
mlp_bnn_full_variational,mhggnn,legacy,UNUSABLE,2,11,,only 2 iterations (need >= 5)
mlp_bnn_full_variational,mhggnn,outlier,UNUSABLE,4,11,,only 4 iterations (need >= 5)
mlp_bnn_full_variational,mhggnn,quantile,UNUSABLE,3,11,,only 3 iterations (need >= 5)
mlp_bnn_full_variational,mhggnn,threshold,UNUSABLE,3,11,,only 3 iterations (need >= 5)
mlp_bnn_full_variational,mhggnn,valprop,WARNING,5,11,,
mlp_bnn_full_variational,mol2vec,hetero,UNUSABLE,3,11,,only 3 iterations (need >= 5)
mlp_bnn_full_variational,mol2vec,legacy,UNUSABLE,1,10,[0.4],missing sigmas: [0.4]; only 1 iterations (need >= 5)
mlp_bnn_full_variational,mol2vec,outlier,UNUSABLE,3,11,,only 3 iterations (need >= 5)
mlp_bnn_full_variational,mol2vec,quantile,UNUSABLE,2,11,,only 2 iterations (need >= 5)
mlp_bnn_full_variational,mol2vec,threshold,UNUSABLE,4,11,,only 4 iterations (need >= 5)
mlp_bnn_full_variational,mol2vec,valprop,UNUSABLE,3,11,,only 3 iterations (need >= 5)
mlp_bnn_variational,mhggnn,outlier,WARNING,9,11,,
mlp_bnn_variational,mhggnn,quantile,WARNING,9,11,,
mlp_bnn_variational,pdv,legacy,WARNING,9,11,,
mlp_bnn_variational,smiles,threshold,WARNING,9,11,,
xgboost,pdv,quantile,WARNING,9,11,,
