model,rep,strategy,n_iterations,n_sigmas
dnn,ecfp4,hetero,10,11
dnn,ecfp4,legacy,10,11
dnn,ecfp4,outlier,10,11
dnn,ecfp4,quantile,10,11
dnn,ecfp4,threshold,10,11
dnn,ecfp4,valprop,10,11
dnn,mhggnn,hetero,10,11
dnn,mhggnn,legacy,10,11
dnn,mhggnn,outlier,10,11
dnn,mhggnn,quantile,10,11
dnn,mhggnn,threshold,10,11
dnn,mhggnn,valprop,10,11
dnn,mol2vec,hetero,10,11
dnn,mol2vec,legacy,9,11
dnn,mol2vec,outlier,10,11
dnn,mol2vec,quantile,10,11
dnn,mol2vec,threshold,10,11
dnn,mol2vec,valprop,8,11
dnn,pdv,hetero,10,11
dnn,pdv,legacy,10,11
dnn,pdv,outlier,10,11
dnn,pdv,quantile,10,11
dnn,pdv,threshold,10,11
dnn,pdv,valprop,10,11
dnn,smiles,hetero,10,11
dnn,smiles,legacy,10,11
dnn,smiles,outlier,10,11
dnn,smiles,quantile,10,11
dnn,smiles,threshold,10,11
dnn,smiles,valprop,10,11
dnn_bnn_full,ecfp4,hetero,10,11
dnn_bnn_full,ecfp4,legacy,10,11
dnn_bnn_full,ecfp4,outlier,10,11
dnn_bnn_full,ecfp4,quantile,10,11
dnn_bnn_full,ecfp4,threshold,10,11
dnn_bnn_full,ecfp4,valprop,10,11
dnn_bnn_full,mhggnn,hetero,10,11
dnn_bnn_full,mhggnn,legacy,10,11
dnn_bnn_full,mhggnn,outlier,10,11
dnn_bnn_full,mhggnn,quantile,10,11
dnn_bnn_full,mhggnn,threshold,9,11
dnn_bnn_full,mhggnn,valprop,10,11
dnn_bnn_full,mol2vec,hetero,9,11
dnn_bnn_full,mol2vec,legacy,10,11
dnn_bnn_full,mol2vec,outlier,9,11
dnn_bnn_full,mol2vec,quantile,10,11
dnn_bnn_full,mol2vec,threshold,8,11
dnn_bnn_full,mol2vec,valprop,10,11
dnn_bnn_full,pdv,hetero,10,11
dnn_bnn_full,pdv,legacy,10,11
dnn_bnn_full,pdv,outlier,10,11
dnn_bnn_full,pdv,quantile,10,11
dnn_bnn_full,pdv,threshold,10,11
dnn_bnn_full,pdv,valprop,10,11
dnn_bnn_full,smiles,hetero,10,11
dnn_bnn_full,smiles,legacy,10,11
dnn_bnn_full,smiles,outlier,10,11
dnn_bnn_full,smiles,quantile,10,11
dnn_bnn_full,smiles,threshold,10,11
dnn_bnn_full,smiles,valprop,10,11
dnn_bnn_full_variational,ecfp4,hetero,10,11
dnn_bnn_full_variational,ecfp4,legacy,10,11
dnn_bnn_full_variational,ecfp4,outlier,10,11
dnn_bnn_full_variational,ecfp4,quantile,10,11
dnn_bnn_full_variational,ecfp4,threshold,10,11
dnn_bnn_full_variational,ecfp4,valprop,10,11
dnn_bnn_full_variational,mhggnn,hetero,6,11
dnn_bnn_full_variational,mhggnn,legacy,2,11
dnn_bnn_full_variational,mhggnn,outlier,5,11
dnn_bnn_full_variational,mhggnn,quantile,4,11
dnn_bnn_full_variational,mhggnn,threshold,3,11
dnn_bnn_full_variational,mhggnn,valprop,6,11
dnn_bnn_full_variational,mol2vec,hetero,7,11
dnn_bnn_full_variational,mol2vec,legacy,6,11
dnn_bnn_full_variational,mol2vec,outlier,3,11
dnn_bnn_full_variational,mol2vec,quantile,2,11
