rep,replicate,storage,kernel,r2,prediction_spread,collapsed,distance_label_rho,median_distance,n,n_train,n_test,seconds
mhggnn,0,retired,rbf,0.6798832396792776,0.923,False,0.0228,1062.2683,600,486,114,20.4
mhggnn,0,retired,tanimoto,0.7127554423535971,0.9383,False,0.0228,1062.2683,600,486,114,13.6
mhggnn,0,fixed,rbf,0.7329701113700077,0.9073,False,0.1179,37.1651,600,486,114,19.1
mhggnn,1,retired,rbf,0.6863479105722339,0.9358,False,0.0587,1051.1118,600,481,119,14.0
mhggnn,1,retired,tanimoto,0.7058694205972211,0.9618,False,0.0587,1051.1118,600,481,119,11.0
mhggnn,1,fixed,rbf,0.6263366220778409,0.922,False,0.1465,37.2819,600,481,119,10.7
mhggnn,2,retired,rbf,0.7547066009509784,1.1619,False,0.0287,1098.8656,600,480,120,8.2
mhggnn,2,retired,tanimoto,0.7555615147882742,1.1855,False,0.0287,1098.8656,600,480,120,8.9
mhggnn,2,fixed,rbf,0.7941110090698387,1.15,False,0.1088,37.0476,600,480,120,14.1
chemberta,0,retired,rbf,0.5618018178485398,0.8474,False,0.1007,1112.7291,600,486,114,15.5
chemberta,0,retired,tanimoto,0.5850720742235939,0.812,False,0.1007,1112.7291,600,486,114,10.8
chemberta,0,fixed,rbf,0.6382446252319774,0.8726,False,0.1699,38.4859,600,486,114,7.5
chemberta,1,retired,rbf,0.362307064077674,0.9147,False,0.1539,1134.8899,600,481,119,8.2
chemberta,1,retired,tanimoto,0.3312670770375573,0.8999,False,0.1539,1134.8899,600,481,119,11.9
chemberta,1,fixed,rbf,0.4839565647205524,0.8842,False,0.1917,38.7652,600,481,119,9.1
chemberta,2,retired,rbf,0.6297421200958585,1.0831,False,0.1012,1177.3368,600,480,120,6.4
chemberta,2,retired,tanimoto,0.6274945934695191,1.0712,False,0.1012,1177.3368,600,480,120,6.2
chemberta,2,fixed,rbf,0.6440016524023735,1.0988,False,0.1593,38.4419,600,480,120,13.0
mol2vec,0,retired,rbf,0.6829887273669604,1.0196,False,0.1402,624.904,600,486,114,18.8
mol2vec,0,retired,tanimoto,0.6606129755276254,1.0004,False,0.1402,624.904,600,486,114,8.6
mol2vec,0,fixed,rbf,0.6191102840808167,1.0487,False,0.1278,23.9078,600,486,114,10.2
mol2vec,1,retired,rbf,0.5900540155750992,1.0579,False,0.1704,627.7468,600,481,119,10.1
mol2vec,1,retired,tanimoto,0.6011484043382166,1.0378,False,0.1704,627.7468,600,481,119,18.8
mol2vec,1,fixed,rbf,0.49867637133836606,1.0776,False,0.1681,23.9699,600,481,119,14.1
mol2vec,2,retired,rbf,0.7543581863399944,1.1516,False,0.1024,661.1324,600,480,120,20.7
mol2vec,2,retired,tanimoto,0.7430973412095407,1.121,False,0.1024,661.1324,600,480,120,18.5
mol2vec,2,fixed,rbf,0.7761324326842548,1.1457,False,0.0915,23.9807,600,480,120,30.7
continuous_pdv,0,retired,rbf,0.7090419034245559,1.0132,False,0.1305,161.6694,600,486,114,10.9
continuous_pdv,0,retired,tanimoto,0.7260978716730018,0.9433,False,0.1305,161.6694,600,486,114,14.0
continuous_pdv,0,fixed,rbf,0.7082445478447987,0.9982,False,0.1752,16.8592,600,486,114,21.6
continuous_pdv,1,retired,rbf,0.6803776034439042,1.0313,False,0.1436,163.5848,600,481,119,27.0
continuous_pdv,1,retired,tanimoto,0.6964985094477301,1.0835,False,0.1436,163.5848,600,481,119,13.5
continuous_pdv,1,fixed,rbf,0.6674484015323767,0.9425,False,0.2067,16.92,600,481,119,15.5
continuous_pdv,2,retired,rbf,0.7525939341544999,1.1292,False,0.1231,176.8856,600,480,120,38.2
continuous_pdv,2,retired,tanimoto,0.712255550270291,1.1241,False,0.1231,176.8856,600,480,120,7.7
continuous_pdv,2,fixed,rbf,0.8023716296897492,1.1324,False,0.1463,17.0527,600,480,120,11.7
