rep,replicate,storage,kernel,r2,distance_label_rho,median_distance,n,n_train,n_test,seconds
mhggnn,0,retired,rbf,-2.2991908611735887,0.0228,1062.2683,600,486,114,54.2
mhggnn,0,retired,tanimoto,0.7006750713861499,0.0228,1062.2683,600,486,114,41.7
mhggnn,0,fixed,rbf,-2.2991908611735887,0.1179,37.1651,600,486,114,55.4
mhggnn,0,fixed,tanimoto,0.5935698415656734,0.1179,37.1651,600,486,114,42.1
mhggnn,1,retired,rbf,-1.6844194458765394,0.0587,1051.1118,600,481,119,54.7
mhggnn,1,retired,tanimoto,0.6858398411344329,0.0587,1051.1118,600,481,119,42.5
mhggnn,1,fixed,rbf,-1.6844194458765167,0.1465,37.2819,600,481,119,50.3
mhggnn,1,fixed,tanimoto,0.5586809369267138,0.1465,37.2819,600,481,119,42.0
mhggnn,2,retired,rbf,-1.6239468222768778,0.0287,1098.8656,600,480,120,47.1
mhggnn,2,retired,tanimoto,0.7545270734548806,0.0287,1098.8656,600,480,120,39.6
mhggnn,2,fixed,rbf,-1.6249205601810215,0.1088,37.0476,600,480,120,54.0
mhggnn,2,fixed,tanimoto,0.6844527744139147,0.1088,37.0476,600,480,120,30.5
chemberta,0,retired,rbf,-2.2991908611735887,0.1007,1112.7291,600,486,114,46.9
chemberta,0,retired,tanimoto,0.5500453718232245,0.1007,1112.7291,600,486,114,26.8
chemberta,0,fixed,rbf,-2.3039974490532495,0.1699,38.4859,600,486,114,52.5
chemberta,0,fixed,tanimoto,,0.1699,38.4859,600,486,114,4.1
chemberta,1,retired,rbf,-1.6844194458765394,0.1539,1134.8899,600,481,119,53.0
chemberta,1,retired,tanimoto,0.3201612393641461,0.1539,1134.8899,600,481,119,41.6
chemberta,1,fixed,rbf,-0.5327741717538914,0.1917,38.7652,600,481,119,58.1
chemberta,1,fixed,tanimoto,,0.1917,38.7652,600,481,119,3.8
chemberta,2,retired,rbf,-1.6239468222768778,0.1012,1177.3368,600,480,120,52.6
chemberta,2,retired,tanimoto,0.6135096452831175,0.1012,1177.3368,600,480,120,39.7
chemberta,2,fixed,rbf,0.36068861395970675,0.1593,38.4419,600,480,120,26.3
chemberta,2,fixed,tanimoto,0.6124035156861596,0.1593,38.4419,600,480,120,24.2
mol2vec,0,retired,rbf,-2.2991908611735887,0.1402,624.904,600,486,114,43.6
mol2vec,0,retired,tanimoto,0.6410902997369412,0.1402,624.904,600,486,114,22.8
mol2vec,0,fixed,rbf,-2.2991908611735887,0.1278,23.9078,600,486,114,63.4
mol2vec,0,fixed,tanimoto,0.5015033805369988,0.1278,23.9078,600,486,114,30.4
mol2vec,1,retired,rbf,-1.6844194458765394,0.1704,627.7468,600,481,119,49.7
mol2vec,1,retired,tanimoto,0.5981966065477353,0.1704,627.7468,600,481,119,35.5
mol2vec,1,fixed,rbf,-1.6844194458765394,0.1681,23.9699,600,481,119,56.6
mol2vec,1,fixed,tanimoto,,0.1681,23.9699,600,481,119,5.7
mol2vec,2,retired,rbf,-1.6239468222768778,0.1024,661.1324,600,480,120,32.8
mol2vec,2,retired,tanimoto,0.7293079105826294,0.1024,661.1324,600,480,120,5.6
mol2vec,2,fixed,rbf,0.6276183813522249,0.0915,23.9807,600,480,120,9.8
mol2vec,2,fixed,tanimoto,,0.0915,23.9807,600,480,120,4.8
continuous_pdv,0,retired,rbf,-2.2991908611735887,0.1305,161.6694,600,486,114,33.8
continuous_pdv,0,retired,tanimoto,0.6813455607450729,0.1305,161.6694,600,486,114,22.0
continuous_pdv,0,fixed,rbf,-1.2522236233467288,0.1752,16.8592,600,486,114,5.6
continuous_pdv,0,fixed,tanimoto,0.5873904597755697,0.1752,16.8592,600,486,114,8.9
continuous_pdv,1,retired,rbf,-1.6844194458765394,0.1436,163.5848,600,481,119,21.2
continuous_pdv,1,retired,tanimoto,0.6719945895816595,0.1436,163.5848,600,481,119,33.6
continuous_pdv,1,fixed,rbf,-1.079830582034241,0.2067,16.92,600,481,119,51.8
continuous_pdv,1,fixed,tanimoto,0.6017975567468902,0.2067,16.92,600,481,119,41.6
continuous_pdv,2,retired,rbf,-1.6239468222768778,0.1231,176.8856,600,480,120,46.6
continuous_pdv,2,retired,tanimoto,0.7007383632113734,0.1231,176.8856,600,480,120,36.8
continuous_pdv,2,fixed,rbf,0.5532439153237101,0.1463,17.0527,600,480,120,52.4
continuous_pdv,2,fixed,tanimoto,0.7797106891219625,0.1463,17.0527,600,480,120,39.5
