sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,1,gauche_rbf,continuous_pdv,10000,0.2585463734285639,0.1377477230697612,0.3711438037604309,0.8756301726563491,0.9360599658854938,default,mse
0.0,2,gauche_rbf,continuous_pdv,10000,0.24464602087070175,0.11792161421848525,0.34339716687603183,0.8929759330124739,0.9450469623177324,default,mse
0.0,3,gauche_rbf,continuous_pdv,10000,0.2607929756196254,0.14000484970361474,0.37417221931032607,0.871389422557407,0.9339125935317392,default,mse
0.0,4,gauche_rbf,continuous_pdv,10000,0.2561934998577527,0.12426406952198747,0.35251109134605607,0.8878329800121729,0.9426449935187422,default,mse
0.0,5,gauche_rbf,continuous_pdv,10000,0.2411558366122041,0.11052622246447001,0.33245484274480047,0.9048896636051895,0.9513890881346863,default,mse
0.0,6,gauche_rbf,continuous_pdv,10000,0.25004249710666854,0.13337726068546588,0.3652085167208808,0.8757617898601953,0.9366624989120772,default,mse
0.0,7,gauche_rbf,continuous_pdv,10000,0.24597915823571032,0.11445434682502702,0.338311020844765,0.9050498922755595,0.9515041392455312,default,mse
0.0,8,gauche_rbf,continuous_pdv,10000,0.25182208775055664,0.11836536647049886,0.3440426811756048,0.8850637487281083,0.9430195202559408,default,mse
0.0,9,gauche_rbf,continuous_pdv,10000,0.24335796706727547,0.11517287644300384,0.33937129584424763,0.894316272724844,0.946279936418913,default,mse
0.1,0,gauche_rbf,continuous_pdv,10000,0.25745467112475334,0.12032786087890082,0.3468830651370874,0.8934851815455602,0.9454118138661979,default,mse
0.1,1,gauche_rbf,continuous_pdv,10000,0.2610181424173801,0.13932704661114076,0.3732653836228867,0.8737959244446633,0.9351279526706928,default,mse
0.1,2,gauche_rbf,continuous_pdv,10000,0.2488235465294563,0.12145560858361358,0.3485048185945405,0.8901356099214834,0.943514361439761,default,mse
0.1,3,gauche_rbf,continuous_pdv,10000,0.2636074896650203,0.142298474720641,0.3772247005706824,0.8696952554285868,0.9329388546842835,default,mse
0.1,4,gauche_rbf,continuous_pdv,10000,0.2632534975115416,0.1280775845186398,0.35787928763570515,0.885186308065326,0.9411219943626458,default,mse
0.1,5,gauche_rbf,continuous_pdv,10000,0.24585703356255817,0.1121212648671777,0.33484513564807494,0.9031993315453013,0.9504971050179901,default,mse
0.1,6,gauche_rbf,continuous_pdv,10000,0.2516477101981902,0.13343870288677345,0.365292626378871,0.8757318059937669,0.9365604959481062,default,mse
0.1,7,gauche_rbf,continuous_pdv,10000,0.2501312752877334,0.11640570517092359,0.34118280315825356,0.9036067068894277,0.9508036438005797,default,mse
0.1,8,gauche_rbf,continuous_pdv,10000,0.2591819419490537,0.12354318369620981,0.35148710317195114,0.8797413940492669,0.9402869937095698,default,mse
0.1,9,gauche_rbf,continuous_pdv,10000,0.24878360939772273,0.11883203209011296,0.3447202229201428,0.8912096654553273,0.9445669962271352,default,mse
0.2,0,gauche_rbf,continuous_pdv,10000,0.2706014998591378,0.12968263837982122,0.36011475723694136,0.8847732810004734,0.9407836520712505,default,mse
0.2,1,gauche_rbf,continuous_pdv,10000,0.27254121823724825,0.14648507738733316,0.38273368990374124,0.8667896255777627,0.9314244217305591,default,mse
