sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,ecfp4,10000,0.30391802326141054,0.20986530375650522,0.45811058027129786,0.8147987156259849,0.9034367191378712,default,mse
0.0,1,gauche,ecfp4,10000,0.29528561543514475,0.1748853049467583,0.4181929039890064,0.8420993487481843,0.9191812118850784,default,mse
0.0,2,gauche,ecfp4,10000,0.3086924004599373,0.22419988569642044,0.47349750336873,0.7965192068952529,0.8934376911302657,default,mse
0.0,3,gauche,ecfp4,10000,0.2952850240336592,0.1814791521712095,0.4260036997154009,0.8332904995509677,0.9151202565878981,default,mse
0.0,4,gauche,ecfp4,10000,0.29074442397307565,0.1932086933185838,0.43955510839777967,0.8256000833655869,0.9098134926708819,default,mse
0.0,5,gauche,ecfp4,10000,0.2922964008238476,0.19013004927739627,0.43603904558811735,0.8363887542492627,0.9150197124301672,default,mse
0.0,6,gauche,ecfp4,10000,0.2880215621555145,0.20741757436102143,0.45543119607798216,0.8067947410396829,0.9002061217501252,default,mse
0.0,7,gauche,ecfp4,10000,0.3119152973859682,0.2330600949131655,0.48276298005663765,0.8066558262561806,0.8993156273951084,default,mse
0.0,8,gauche,ecfp4,10000,0.2888703212941933,0.1926696015298713,0.4389414556975353,0.812912151635066,0.9018070606519748,default,mse
0.0,9,gauche,ecfp4,10000,0.2778042387156544,0.16372089628585396,0.404624389138685,0.8497681477905875,0.922648078888573,default,mse
0.1,0,gauche,ecfp4,10000,0.3067036571035526,0.212429188001843,0.4609004100690766,0.8119566305827356,0.9017981458877153,default,mse
0.1,1,gauche,ecfp4,10000,0.29756810272777845,0.17788079904021611,0.421759171850733,0.8388734825868329,0.9173442064117365,default,mse
0.1,2,gauche,ecfp4,10000,0.31404068126472373,0.22831456364833036,0.477822732452455,0.7934748294147475,0.8917934722849853,default,mse
0.1,3,gauche,ecfp4,10000,0.29705814479788506,0.18378934372593161,0.4287065939846641,0.8317014744102431,0.9142347820229233,default,mse
0.1,4,gauche,ecfp4,10000,0.29686022985526506,0.1976050289944548,0.4445278720108052,0.8228592223301199,0.9084113227732854,default,mse
0.1,5,gauche,ecfp4,10000,0.2965958262065831,0.19032281059740466,0.4362600263574519,0.8356834868940277,0.9146846884409284,default,mse
0.1,6,gauche,ecfp4,10000,0.2889037478779556,0.2071615928780887,0.4551500773130646,0.8070754851667077,0.9004702387271563,default,mse
0.1,7,gauche,ecfp4,10000,0.31793255448381336,0.23665885624482913,0.48647595649202346,0.8040274188990628,0.8978695824949015,default,mse
0.1,8,gauche,ecfp4,10000,0.29447598674516523,0.1964378357036194,0.4432130816025396,0.8087847538737083,0.8995683317275267,default,mse
0.1,9,gauche,ecfp4,10000,0.28178841753943684,0.1676246495765903,0.40941989396778256,0.846540184623435,0.92093591431447,default,mse
0.2,0,gauche,ecfp4,10000,0.3173469012453788,0.220298718396484,0.4693599028426736,0.8042583121552428,0.8974492062612411,default,mse
0.2,1,gauche,ecfp4,10000,0.3061254087324927,0.18597896260115246,0.43125278271699585,0.8308747369723473,0.9128847158158593,default,mse
0.2,2,gauche,ecfp4,10000,0.3264865826675335,0.23729970305142983,0.4871341735614838,0.7859109108858016,0.8875932452095017,default,mse
0.2,3,gauche,ecfp4,10000,0.3064786770435794,0.19138847785417928,0.43747968850471136,0.8251944649698526,0.9106546265576566,default,mse
0.2,4,gauche,ecfp4,10000,0.3101286398277615,0.20739713771674587,0.4554087589372276,0.8152662130520623,0.9043356483064967,default,mse
0.2,5,gauche,ecfp4,10000,0.3056963962482719,0.1956561550865676,0.442330368713892,0.8303674440325485,0.9118205345762388,default,mse
0.2,6,gauche,ecfp4,10000,0.2983188570452902,0.21265620583410755,0.4611466207553814,0.8019622799346173,0.8977308803273927,default,mse
0.2,7,gauche,ecfp4,10000,0.3283022997513365,0.24486486831291976,0.4948382243854245,0.7973798131399459,0.8941643821561139,default,mse
0.2,8,gauche,ecfp4,10000,0.3075605769925557,0.20622185558006204,0.4541165660709396,0.7988682655693214,0.894097998600114,default,mse
0.2,9,gauche,ecfp4,10000,0.2920153972288846,0.17671078189218475,0.420369815629268,0.8384985052903366,0.9165834829972426,default,mse
0.3,0,gauche,ecfp4,10000,0.3322778174742869,0.2330519352824855,0.48275452901291926,0.7920266625438304,0.8905381619700392,default,mse
0.3,1,gauche,ecfp4,10000,0.3213515151816317,0.1988224019788049,0.4458950571365474,0.8183717917290045,0.9059196751010454,default,mse
0.3,2,gauche,ecfp4,10000,0.3440745707314709,0.2508127412738746,0.5008120817970295,0.7741473959772989,0.880983399295259,default,mse
0.3,3,gauche,ecfp4,10000,0.3212443078738431,0.20392079631958243,0.4515759031653288,0.8141157760864137,0.9045439736643008,default,mse
0.3,4,gauche,ecfp4,10000,0.3290924527903758,0.22221402425242184,0.47139582545077957,0.8032120654582273,0.897766620806921,default,mse
