sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,ecfp4,10000,0.3042115715344438,0.21472389400906844,0.46338309637822184,0.8105111219222358,0.9007281881826454,default,mse
0.0,1,gauche_rbf,ecfp4,10000,0.2982483487985226,0.17676217972598363,0.4204309452525868,0.8404047538246828,0.9176845892172333,default,mse
0.0,2,gauche_rbf,ecfp4,10000,0.3100795161603568,0.22474077818555338,0.4740683264947716,0.7960283001656117,0.8928304398962694,default,mse
0.0,3,gauche_rbf,ecfp4,10000,0.2972476482696743,0.18366960837960072,0.4285669240382425,0.8312783132701332,0.9133886741835505,default,mse
0.0,4,gauche_rbf,ecfp4,10000,0.29698537214193,0.19945089335988184,0.4465992536490425,0.8199655586031703,0.9065341156254295,default,mse
0.0,5,gauche_rbf,ecfp4,10000,0.28797623954510326,0.18576047994683192,0.430999396689638,0.8401488683621288,0.9171479196789343,default,mse
0.0,6,gauche_rbf,ecfp4,10000,0.2904253173904059,0.20902142655588996,0.4571886115772023,0.8053007852859418,0.8991807283967574,default,mse
0.0,7,gauche_rbf,ecfp4,10000,0.31689817435978923,0.24049704660047086,0.4904049822345516,0.8004862103050222,0.8952840358904645,default,mse
0.0,8,gauche_rbf,ecfp4,10000,0.29657053170861114,0.20159445728134254,0.44899271406264774,0.8042458542728883,0.8970170107018743,default,mse
0.0,9,gauche_rbf,ecfp4,10000,0.27604531076098526,0.16085312729745682,0.40106499136356544,0.8523996399006929,0.9239270289946112,default,mse
0.1,0,gauche_rbf,ecfp4,10000,0.30696767648210005,0.21708725546626575,0.46592623393222427,0.8078332861910251,0.8992192059622346,default,mse
0.1,1,gauche_rbf,ecfp4,10000,0.2998071939118199,0.179432632004038,0.423594891380949,0.8374678140581513,0.9160601338343048,default,mse
0.1,2,gauche_rbf,ecfp4,10000,0.3159756122181016,0.22873959589171733,0.478267284990012,0.7930903604822052,0.8912188860181879,default,mse
0.1,3,gauche_rbf,ecfp4,10000,0.2987301340432871,0.18595752774305155,0.4312279301518532,0.8297160373555643,0.912553130253641,default,mse
0.1,4,gauche_rbf,ecfp4,10000,0.3017464851745589,0.2036336643860635,0.45125786905722043,0.8174549207949211,0.9052296905184514,default,mse
0.1,5,gauche_rbf,ecfp4,10000,0.2912439645726928,0.18595553426383277,0.4312256187471157,0.8394540050817859,0.9168293162249346,default,mse
0.1,6,gauche_rbf,ecfp4,10000,0.2920083497208116,0.20922535078856733,0.45741157701633145,0.8051535579982543,0.8992336956610408,default,mse
0.1,7,gauche_rbf,ecfp4,10000,0.3215338151722838,0.24358109061823383,0.4935393506279249,0.7982952516830667,0.8941154179543411,default,mse
0.1,8,gauche_rbf,ecfp4,10000,0.3015332175701507,0.2048116079608273,0.4525611648836291,0.8006336107019654,0.8950463390738673,default,mse
0.1,9,gauche_rbf,ecfp4,10000,0.2796421945574145,0.16470044610986367,0.40583302737685567,0.8492172832796344,0.922219494872482,default,mse
0.2,0,gauche_rbf,ecfp4,10000,0.3178134337127285,0.2246943555779299,0.47401936202852507,0.8003526632830561,0.895029412712874,default,mse
0.2,1,gauche_rbf,ecfp4,10000,0.3077906950868885,0.18717022867486344,0.43263174718790975,0.8297914252620633,0.9118525440076642,default,mse
0.2,2,gauche_rbf,ecfp4,10000,0.3284093624689659,0.23779249828012972,0.48763972180302306,0.7854663166436868,0.8869719683258259,default,mse
0.2,3,gauche_rbf,ecfp4,10000,0.3077362013837845,0.19362360675177004,0.44002682503657664,0.8231529998451736,0.9090072136605403,default,mse
0.2,4,gauche_rbf,ecfp4,10000,0.3147362559994116,0.21330117686844993,0.46184540364547305,0.8100073385912546,0.901212891626732,default,mse
0.2,5,gauche_rbf,ecfp4,10000,0.30020463920881296,0.19125140746982214,0.43732300130432444,0.8341863302632908,0.9140091291642696,default,mse
0.2,6,gauche_rbf,ecfp4,10000,0.30173901517404045,0.21506350854182252,0.4637494027401248,0.7997204608545054,0.8963380274025278,default,mse
0.2,7,gauche_rbf,ecfp4,10000,0.33148138892592793,0.2513349500035255,0.5013331726541996,0.792025965647724,0.8906740547616219,default,mse
0.2,8,gauche_rbf,ecfp4,10000,0.3138276592358425,0.21383081874308968,0.46241844550481515,0.7914471124917577,0.8899402368532914,default,mse
0.2,9,gauche_rbf,ecfp4,10000,0.29034459201473756,0.17385483117849407,0.4169590281772228,0.841108647717071,0.9178299157873623,default,mse
0.3,0,gauche_rbf,ecfp4,10000,0.33334433952819914,0.23708791573637883,0.48691674415281594,0.7884249918523314,0.8883194871395179,default,mse
0.3,1,gauche_rbf,ecfp4,10000,0.32294398965237275,0.19959730998733471,0.44676314752599583,0.8176638978912714,0.9051808951590661,default,mse
0.3,2,gauche_rbf,ecfp4,10000,0.34617660674853984,0.2515073033085824,0.5015050381686932,0.7735219546883223,0.880259829966159,default,mse
0.3,3,gauche_rbf,ecfp4,10000,0.3221564167612547,0.20628394930954808,0.4541849285363266,0.8119616414054153,0.9029167311247108,default,mse
0.3,4,gauche_rbf,ecfp4,10000,0.33260326740266644,0.2280485251120059,0.4775442650812654,0.7980451576669553,0.8946804383330776,default,mse
0.3,5,gauche_rbf,ecfp4,10000,0.31388043532085336,0.20135895543593546,0.4487303816724866,0.8245403065321697,0.9087692599686441,default,mse
0.3,6,gauche_rbf,ecfp4,10000,0.3174345619407154,0.2260908305874971,0.47549009515183077,0.7894156724745338,0.8906844899178141,default,mse
