sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,mhggnn,10000,0.296997428012569,0.1529787262112332,0.3911249496148682,0.8649998066898518,0.9303259948801166,default,mse
0.0,1,gauche,mhggnn,10000,0.2855409466967355,0.14830405560799828,0.3851026559347498,0.86609905863207,0.9312527458780695,default,mse
0.0,2,gauche,mhggnn,10000,0.2738108681664174,0.13398565507670304,0.3660405101579647,0.8783964261400964,0.9373830440535782,default,mse
0.0,3,gauche,mhggnn,10000,0.2877658031619869,0.15617028910735875,0.3951838674684972,0.8565396048494488,0.9273793924468249,default,mse
0.0,4,gauche,mhggnn,10000,0.277666445216557,0.13857291911526198,0.37225383693826714,0.8749170902903444,0.9361489275488335,default,mse
0.0,5,gauche,mhggnn,10000,0.2704220480427876,0.1297861543952395,0.3602584549947988,0.8883160527096801,0.9429659834496052,default,mse
0.0,6,gauche,mhggnn,10000,0.27807523951416036,0.14788988470254374,0.38456453906014754,0.8622435752631386,0.9307168735686598,default,mse
0.0,7,gauche,mhggnn,10000,0.28586458924523495,0.14736822104275507,0.38388568746796886,0.8777448926028114,0.937031715520619,default,mse
0.0,8,gauche,mhggnn,10000,0.26464214220522003,0.1297499613719565,0.3602082194675137,0.874008972324837,0.9355644413419957,default,mse
0.0,9,gauche,mhggnn,10000,0.27660006744656973,0.1298960626145147,0.3604109635048783,0.8808061370051607,0.9391822699582382,default,mse
0.1,0,gauche,mhggnn,10000,0.3021071701893508,0.15818352849000514,0.3977229292987835,0.8599751570706266,0.9275708433104402,default,mse
0.1,1,gauche,mhggnn,10000,0.29188605495923936,0.15282273161903287,0.39092548090273277,0.8615713744248765,0.9288186098687466,default,mse
0.1,2,gauche,mhggnn,10000,0.2777066815657218,0.13756932927174675,0.37090339614480045,0.8755597157660597,0.9358650293842166,default,mse
0.1,3,gauche,mhggnn,10000,0.29218384525279967,0.15786057193620173,0.3973167148965693,0.8554448208638445,0.926642644647214,default,mse
0.1,4,gauche,mhggnn,10000,0.28342538788423616,0.14264638312948852,0.37768556118746255,0.8721262744782556,0.9346037454899444,default,mse
0.1,5,gauche,mhggnn,10000,0.2727677239857249,0.1311330270745807,0.36212294469500367,0.8867853953275951,0.9421198193439637,default,mse
0.1,6,gauche,mhggnn,10000,0.2800277656028284,0.14961239921525493,0.3867976204880983,0.8606696389487898,0.9298577987190133,default,mse
0.1,7,gauche,mhggnn,10000,0.29124612199632066,0.15147492280961194,0.3891977939423757,0.8745665720434518,0.9353797323621584,default,mse
0.1,8,gauche,mhggnn,10000,0.26859276701257706,0.13292076577099352,0.36458300258102205,0.8706131288244111,0.933714932773752,default,mse
0.1,9,gauche,mhggnn,10000,0.28154145801564445,0.13459815937149955,0.366876218051129,0.8767758277833833,0.9369817681705697,default,mse
0.2,0,gauche,mhggnn,10000,0.31522678277395905,0.16984995782617157,0.412128569534037,0.849083473261884,0.9216564324020335,default,mse
0.2,1,gauche,mhggnn,10000,0.30494858110993667,0.16320921116804665,0.4039915978928852,0.8515810585172037,0.923406013858456,default,mse
0.2,2,gauche,mhggnn,10000,0.2893270798930554,0.14732995498899257,0.38383584380434377,0.8670805927810484,0.9313343163879781,default,mse
0.2,3,gauche,mhggnn,10000,0.3033549287444722,0.165630308851106,0.40697703725284795,0.8487208055545236,0.9228626528785773,default,mse
0.2,4,gauche,mhggnn,10000,0.29666525779771347,0.1536246696923612,0.3919498305808553,0.8631626872321849,0.9297890812330616,default,mse
0.2,5,gauche,mhggnn,10000,0.28336179025277486,0.13865233161587867,0.3723604861097357,0.8797893713466779,0.9383911406210762,default,mse
