sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,1,gauche,mol2vec,10000,0.287058284093604,0.14503541399890849,0.3808351533129636,0.8690502536392274,0.932369286415121,default,mse
0.0,2,gauche,mol2vec,10000,0.2834808705785872,0.1426273428956273,0.3776603538837871,0.8705533468017806,0.9333615014492589,default,mse
0.0,3,gauche,mol2vec,10000,0.29438250484898165,0.15339468669181924,0.3916563374845596,0.8590893153071172,0.9279140310957708,default,mse
0.0,4,gauche,mol2vec,10000,0.2912595150501511,0.15271278358311832,0.3907848302878687,0.86215373507035,0.9293903499525091,default,mse
0.0,5,gauche,mol2vec,10000,0.28079415848574807,0.13955883469439362,0.37357574157644874,0.8799064383212911,0.9382125341460849,default,mse
0.0,6,gauche,mol2vec,10000,0.2764696812672246,0.15048167319658115,0.3879196736395064,0.8598293769064974,0.9288961885291509,default,mse
0.0,7,gauche,mol2vec,10000,0.2892555749928915,0.1466568181419525,0.38295798482594995,0.8783350648762153,0.9372108933120371,default,mse
0.0,8,gauche,mol2vec,10000,0.2765124802916216,0.13940733732069308,0.37337291990809013,0.8646313763120054,0.9310960320266803,default,mse
0.0,9,gauche,mol2vec,10000,0.2818398302420201,0.1403340597647099,0.37461187883556213,0.8712281315043083,0.9342960192496523,default,mse
0.1,0,gauche,mol2vec,10000,0.3031785661390422,0.1606145161747723,0.40076740907260944,0.8578232347309737,0.9267260701542396,default,mse
0.1,2,gauche,mol2vec,10000,0.2907110605251146,0.14626080891636234,0.3824405952777011,0.8676977148163204,0.9318211668003045,default,mse
0.1,3,gauche,mol2vec,10000,0.29583965905355036,0.15477259878798658,0.3934114878698722,0.858272521955592,0.9273259540153045,default,mse
0.1,4,gauche,mol2vec,10000,0.2985115816081616,0.15951397445435556,0.39939200599705993,0.8570055143442181,0.9266571968121309,default,mse
0.1,5,gauche,mol2vec,10000,0.2835110659310758,0.14102361293718593,0.3755311078155656,0.8782462897079524,0.93734701604038,default,mse
0.1,6,gauche,mol2vec,10000,0.2790117042024431,0.1517767886739327,0.38958540613571846,0.8586539960855326,0.9281264945643288,default,mse
0.1,7,gauche,mol2vec,10000,0.2931007974288368,0.14984640184432607,0.3870999894656755,0.8759151184786373,0.9359308723514093,default,mse
0.1,8,gauche,mol2vec,10000,0.2834524541214814,0.1444771954222419,0.3801015593525524,0.8593639438993711,0.928186864102584,default,mse
0.1,9,gauche,mol2vec,10000,0.2859841846607801,0.14325301458810297,0.3784877997876589,0.8688523362980574,0.9329492390942948,default,mse
0.2,0,gauche,mol2vec,10000,0.31548342288668574,0.17118680544897638,0.41374727243690246,0.8478956460607829,0.9213481552805032,default,mse
0.2,1,gauche,mol2vec,10000,0.3038835079166438,0.1587617038358803,0.3984491232715669,0.8556255258959318,0.9252176392534237,default,mse
0.2,2,gauche,mol2vec,10000,0.30384726564695663,0.15651554638356327,0.3956204574886937,0.8587934568539856,0.927042235225616,default,mse
0.2,3,gauche,mol2vec,10000,0.3055715978044609,0.1631049215164386,0.4038625032315313,0.8510273795402953,0.9232802387655263,default,mse
0.2,4,gauche,mol2vec,10000,0.31283564306289374,0.1725729743856553,0.415419034693471,0.8462849611421736,0.9209084061282449,default,mse
0.2,5,gauche,mol2vec,10000,0.2935520390160864,0.14834397389259726,0.3851544805563052,0.8713867833974533,0.9336885983154306,default,mse
0.2,6,gauche,mol2vec,10000,0.29103637130355126,0.1601693854696985,0.4002116758288025,0.8508410333087721,0.923799320694534,default,mse
0.2,7,gauche,mol2vec,10000,0.3040782617642508,0.15875880558267294,0.39844548633743226,0.8686306489188472,0.9320545508231202,default,mse
0.2,8,gauche,mol2vec,10000,0.29774378984708894,0.15651092514300258,0.3956146169481135,0.8473521938651118,0.9215856099708999,default,mse
0.2,9,gauche,mol2vec,10000,0.2970610712244197,0.15220156256408834,0.3901301866865577,0.8608982452115237,0.9285977765293463,default,mse
0.3,0,gauche,mol2vec,10000,0.33305862536571657,0.187538002524133,0.43305658120404195,0.8326428646149987,0.9130112553228771,default,mse
0.3,1,gauche,mol2vec,10000,0.3209298137849328,0.17518368745967192,0.4185495041923618,0.8399662263661909,0.9167836555222642,default,mse
0.3,2,gauche,mol2vec,10000,0.3206898504514393,0.17277352172581806,0.4156603441823842,0.8444203847469637,0.9192837467970884,default,mse
0.3,3,gauche,mol2vec,10000,0.32230268545862056,0.17781739867132113,0.42168400333818823,0.8379103566340027,0.9160355352528777,default,mse
0.3,4,gauche,mol2vec,10000,0.3328292377360194,0.1911831806663618,0.43724498929817573,0.8306923095019288,0.9124787947280344,default,mse
0.3,5,gauche,mol2vec,10000,0.30750176752900643,0.16110814931060616,0.40138279648062414,0.8596139593989791,0.9273624486882441,default,mse
0.3,6,gauche,mol2vec,10000,0.3091720357299455,0.17505738314335434,0.4183985936201917,0.8369489766045835,0.9161760359616195,default,mse
0.3,7,gauche,mol2vec,10000,0.3201450343617707,0.1728534938780501,0.41575653197280027,0.8569186397968662,0.9257878040978862,default,mse
0.3,8,gauche,mol2vec,10000,0.3181455650281332,0.17488030799290322,0.41818692948596947,0.8291912347683288,0.9115827018187115,default,mse
0.3,9,gauche,mol2vec,10000,0.3146944861232869,0.16678025367974095,0.40838738188115087,0.8477438666075285,0.921409929496128,default,mse
0.4,0,gauche,mol2vec,10000,0.35470431173818545,0.20884619504386626,0.45699693110989953,0.8127237646397385,0.9020197751920371,default,mse
0.4,1,gauche,mol2vec,10000,0.34195364876695294,0.1966628765311509,0.44346688324062133,0.819433337188221,0.9056077135127271,default,mse
0.4,2,gauche,mol2vec,10000,0.3407239863208852,0.1941512081997844,0.4406259277434595,0.8253738035863125,0.9089025618007701,default,mse
0.4,3,gauche,mol2vec,10000,0.34406855651651497,0.19801385922932407,0.44498748210407457,0.8197464572351969,0.9059689136903141,default,mse
0.4,4,gauche,mol2vec,10000,0.35628121050200207,0.21453493535661433,0.46317916118561975,0.8109858178636442,0.9017144081111819,default,mse
0.4,5,gauche,mol2vec,10000,0.3257253020132962,0.17875354131900892,0.42279255116310754,0.8433337342297442,0.9185374211325218,default,mse
0.4,6,gauche,mol2vec,10000,0.33052675096754863,0.1955782164568147,0.442242259917361,0.8177714915894079,0.905612090643958,default,mse
0.4,7,gauche,mol2vec,10000,0.33887618443264544,0.19149152916835513,0.43759745105331127,0.8412732002850654,0.9173486173229851,default,mse
0.4,8,gauche,mol2vec,10000,0.3422811508561845,0.198829721960298,0.4459032652496481,0.8056211657337076,0.8985004323458441,default,mse
0.4,9,gauche,mol2vec,10000,0.3354974932200653,0.1862587405582451,0.43157703896088484,0.8300496629038389,0.9116854766511924,default,mse
0.5,0,gauche,mol2vec,10000,0.377549115886648,0.2341780434660029,0.4839194596893195,0.7889039532271507,0.888714358594892,default,mse
0.5,1,gauche,mol2vec,10000,0.3652547411328687,0.2220732326854136,0.47124646702698325,0.7949823388683416,0.8921241149022696,default,mse
0.5,2,gauche,mol2vec,10000,0.3637473263165448,0.2196567665557707,0.4686755450797179,0.8025221679479109,0.8962892657582526,default,mse
0.5,3,gauche,mol2vec,10000,0.36935603389504285,0.2226652803665197,0.4718742209175234,0.7974620742813567,0.8935000293253622,default,mse
0.5,4,gauche,mol2vec,10000,0.38143665214059186,0.2417191440285408,0.49164941170364557,0.7879784758200411,0.8889836063604382,default,mse
0.5,5,gauche,mol2vec,10000,0.34662806116617684,0.20056898067263348,0.44784928343431957,0.8230842152185548,0.9074484653411794,default,mse
0.5,6,gauche,mol2vec,10000,0.3555259734295605,0.22082194499957436,0.46991695542890805,0.7941450690232618,0.892467068245145,default,mse
0.5,7,gauche,mol2vec,10000,0.3604622764255055,0.21409843434241901,0.4627077202105223,0.8221208475995976,0.9069060051360116,default,mse
0.5,8,gauche,mol2vec,10000,0.369187156905723,0.22752682572451005,0.4769977208797858,0.7774781639023892,0.8826785874494967,default,mse
0.5,9,gauche,mol2vec,10000,0.35786475050618377,0.20975825171780133,0.45799372453975973,0.8085980804273365,0.8997782423935041,default,mse
0.6,0,gauche,mol2vec,10000,0.4017903314776449,0.2625448143214976,0.5123912707311646,0.7620173809927725,0.8734721102468987,default,mse
0.6,1,gauche,mol2vec,10000,0.3902695083329436,0.25058328626533594,0.5005829464387854,0.7673183319958239,0.8766256334976453,default,mse
0.6,2,gauche,mol2vec,10000,0.3883173661765013,0.24838678230606923,0.49838417140401764,0.7766444854964587,0.8817880776514022,default,mse
0.6,3,gauche,mol2vec,10000,0.3951569256825842,0.2506708275096564,0.5006703781028556,0.7720329951467072,0.8790806494328929,default,mse
0.6,4,gauche,mol2vec,10000,0.4075249032391039,0.2718007704253209,0.5213451547922172,0.7624784337791117,0.8746572609204787,default,mse
0.6,5,gauche,mol2vec,10000,0.3693049484744886,0.22584861313679253,0.4752353239572923,0.7994043453009975,0.894312769841372,default,mse
0.6,6,gauche,mol2vec,10000,0.38211274525893807,0.24988917456424464,0.4998891622792443,0.7668932727007953,0.8770873245094355,default,mse
0.6,7,gauche,mol2vec,10000,0.3836394260405523,0.24009630519539873,0.48999622977671853,0.7998845129590375,0.8946167911334689,default,mse
0.6,8,gauche,mol2vec,10000,0.39805985904427416,0.26010238032360905,0.510002333645258,0.7456405739513474,0.8644688623204255,default,mse
0.6,9,gauche,mol2vec,10000,0.3811632898793682,0.23638828807957737,0.48619778699576305,0.7841716065033371,0.8860427618103295,default,mse
0.7,0,gauche,mol2vec,10000,0.426327443059231,0.2929825039391014,0.5412785825608671,0.7328954691541004,0.8566728017545706,default,mse
0.7,1,gauche,mol2vec,10000,0.41551618558037806,0.2811281355782799,0.5302151785627038,0.7373847510316182,0.8595501456347512,default,mse
0.7,2,gauche,mol2vec,10000,0.4133288397926899,0.27953191746868,0.5287077807907502,0.7484282032397198,0.8657004138002192,default,mse
