sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,mol2vec,10000,0.8763693549137704,1.1233914700711012,1.0599016322617403,0.008632968919085937,0.19714632410006916,default,mse
0.0,1,gauche_rbf,mol2vec,10000,0.8737288830904699,1.1122964236145116,1.0546546466092641,-0.00427151227638034,0.16100069368033257,default,mse
0.0,2,gauche_rbf,mol2vec,10000,0.8556962962470159,1.0789367211493803,1.0387187882913163,0.02077158047000538,0.20980785960063106,default,mse
0.0,3,gauche_rbf,mol2vec,10000,0.8587844800848752,1.0996253826311468,1.048630241138957,-0.010132547051851848,0.1379199479567474,default,mse
0.0,4,gauche_rbf,mol2vec,10000,0.8596190572449097,1.0851710213952255,1.0417154224620204,0.020469874234148144,0.21172647945531575,default,mse
0.0,5,gauche_rbf,mol2vec,10000,0.887248791819189,1.1469190635189113,1.0709430720252646,0.013049975683634307,0.15042752523510539,default,mse
0.0,6,gauche_rbf,mol2vec,10000,0.8531465633885832,1.0591781134203568,1.0291637932906292,0.013397093670108218,0.18339615296392192,default,mse
0.0,7,gauche_rbf,mol2vec,10000,0.9130917253021746,1.1951100104290449,1.0932108718948257,0.00854945766042381,0.16683967151134566,default,mse
0.0,8,gauche_rbf,mol2vec,10000,0.8445139063660073,1.024749976843516,1.012299351399336,0.004937640617139749,0.15117176806610527,default,mse
0.0,9,gauche_rbf,mol2vec,10000,0.867994305090421,1.0775842514998277,1.0380675563275388,0.011198437786098525,0.15185317623754552,default,mse
0.1,0,gauche_rbf,mol2vec,10000,0.8746490199134753,1.120304192331246,1.0584442320364573,0.00830117989046364,0.1951647624776628,default,mse
0.1,1,gauche_rbf,mol2vec,10000,0.871531479629672,1.1089154018017604,1.0530505219607273,-0.004468597859989654,0.15882343577337535,default,mse
0.1,2,gauche_rbf,mol2vec,10000,0.857607938779211,1.083530129059563,1.0409275330490413,0.01987748322982008,0.20816017497658323,default,mse
0.1,3,gauche_rbf,mol2vec,10000,0.8600161152307348,1.1028899618699792,1.0501856797109639,-0.0099320815207391,0.13811607984085225,default,mse
0.1,4,gauche_rbf,mol2vec,10000,0.8644998523578021,1.092844576090277,1.0453920681209883,0.020331926439106307,0.21101324117415446,default,mse
0.1,5,gauche_rbf,mol2vec,10000,0.8864792766287337,1.1435276015621825,1.0693585000186712,0.012727546743702467,0.14934940958059767,default,mse
0.1,6,gauche_rbf,mol2vec,10000,0.8521116973879272,1.0586957818605565,1.028929434830473,0.014062562302762815,0.18356492465563065,default,mse
0.1,7,gauche_rbf,mol2vec,10000,0.9130990996678943,1.1973788409749095,1.094248071040068,0.008473945387671433,0.16565322953662032,default,mse
0.1,8,gauche_rbf,mol2vec,10000,0.8422949133117411,1.022808423405874,1.0113399148683266,0.004384447013152215,0.15038724496168376,default,mse
0.1,9,gauche_rbf,mol2vec,10000,0.8683481711781347,1.0804724626590387,1.0394577733891064,0.010831014066592703,0.15087100819027285,default,mse
0.2,0,gauche_rbf,mol2vec,10000,0.873028804987937,1.1165850260160677,1.0566858691286014,0.007882391665989918,0.19266500148776888,default,mse
0.2,1,gauche_rbf,mol2vec,10000,0.8695250313405043,1.104886368109419,1.0511357515132949,-0.004759866431341742,0.1556818516342608,default,mse
0.2,2,gauche_rbf,mol2vec,10000,0.8591415908383833,1.0876030625415651,1.0428820942664445,0.018776905393462773,0.20570111438206934,default,mse
0.2,3,gauche_rbf,mol2vec,10000,0.8603748468311839,1.1055332317823037,1.0514434039844007,-0.00974379566650363,0.1377400530160132,default,mse
0.2,4,gauche_rbf,mol2vec,10000,0.869054580466991,1.1003032167180544,1.0489533911085156,0.019932568727482503,0.20929227335396877,default,mse
0.2,5,gauche_rbf,mol2vec,10000,0.8851866115635576,1.1392284447094592,1.0673464501788814,0.012296685369356353,0.14771800806395555,default,mse
0.2,6,gauche_rbf,mol2vec,10000,0.8505583106475958,1.0581661699304585,1.0286720419698683,0.014574651506662373,0.18291750426612108,default,mse
0.2,7,gauche_rbf,mol2vec,10000,0.9125650576473732,1.198497789181648,1.0947592379978568,0.008269958575619962,0.16383661639991937,default,mse
0.2,8,gauche_rbf,mol2vec,10000,0.8402757862973135,1.0215039563409278,1.0106947889154905,0.003709563718449216,0.14877789821644832,default,mse
0.2,9,gauche_rbf,mol2vec,10000,0.8683806567485294,1.0829134788558632,1.0406312886204523,0.010291598487923936,0.14908446098519296,default,mse
0.3,0,gauche_rbf,mol2vec,10000,0.8710878973248241,1.112298980866452,1.054655858973178,0.0073949352984534755,0.18970218754725138,default,mse
