sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,pdv,10000,0.2899437073557043,0.1542918264165913,0.39279998270950994,0.8638410260806175,0.9300889254691606,default,mse
0.0,2,gauche,pdv,10000,0.2725250460898751,0.143413361806297,0.37869956668353477,0.8698399666372834,0.9330699817906816,default,mse
0.0,3,gauche,pdv,10000,0.2912808393943982,0.15952933748223105,0.3994112385527366,0.8534539320883661,0.9249011870436269,default,mse
0.0,4,gauche,pdv,10000,0.2833868505946693,0.1480964528678008,0.3848330194614293,0.8663206681315903,0.9317022127021337,default,mse
0.0,5,gauche,pdv,10000,0.2881871271521703,0.1538761010470182,0.39227044375917264,0.8675861039364805,0.9324541408181938,default,mse
0.0,6,gauche,pdv,10000,0.2721534828039428,0.14739514174419893,0.38392074930146575,0.8627044182832166,0.9306052622365788,default,mse
0.0,7,gauche,pdv,10000,0.27227143077546617,0.14258146663019808,0.37759961153343113,0.8817159331070008,0.9393923985497447,default,mse
0.0,8,gauche,pdv,10000,0.26850268051468956,0.13733210685188266,0.3705834681308418,0.8666464861175389,0.9315876850991358,default,mse
0.0,9,gauche,pdv,10000,0.2792902265318537,0.15460484117891632,0.39319822123061077,0.8581331266944847,0.9289886348544039,default,mse
0.1,0,gauche,pdv,10000,0.2941492884061207,0.1576723388801222,0.3970797638763806,0.8604276646453043,0.928239513413752,default,mse
0.1,1,gauche,pdv,10000,0.2869988497847916,0.15243117720712424,0.39042435529449776,0.8619260490109422,0.9295385355591361,default,mse
0.1,2,gauche,pdv,10000,0.2775343318675787,0.14626765254747057,0.38244954248563373,0.8676915243129226,0.9319408978931689,default,mse
0.1,3,gauche,pdv,10000,0.29370689498299013,0.16038497955142578,0.40048093531580975,0.8531331847753926,0.9245769627064706,default,mse
0.1,4,gauche,pdv,10000,0.2874320133963363,0.15146620696670085,0.3891865965917902,0.8642198438505261,0.9305485117057537,default,mse
0.1,5,gauche,pdv,10000,0.29168970667837596,0.15589892675210887,0.39484038135949173,0.8654035847807134,0.9312168126089563,default,mse
0.1,6,gauche,pdv,10000,0.2773373479442665,0.1496404832851352,0.38683392209724216,0.8606434849427266,0.9295181548423088,default,mse
0.1,7,gauche,pdv,10000,0.2772202549855746,0.14601854074948897,0.38212372440021175,0.8790848955609496,0.9380353865155645,default,mse
0.1,8,gauche,pdv,10000,0.2754639768251819,0.14027932952890654,0.3745388224589095,0.8634502033367352,0.9298568671307159,default,mse
0.1,9,gauche,pdv,10000,0.2828091528101004,0.15814183365103787,0.3976705089028326,0.855221671414674,0.9273150186850367,default,mse
0.2,0,gauche,pdv,10000,0.30684436604226906,0.16695350547956786,0.40859944380721797,0.8516570536949111,0.9235004968845009,default,mse
0.2,1,gauche,pdv,10000,0.29729111763912375,0.16056503223720392,0.40070566783763356,0.8539856178873406,0.9253629222955576,default,mse
0.2,2,gauche,pdv,10000,0.28938780617066956,0.15479064429133962,0.39343442184351335,0.8603496438739723,0.9280314687592719,default,mse
0.2,3,gauche,pdv,10000,0.3030821488758565,0.1669932198784304,0.4086480391222138,0.8474759845809671,0.9214033641830428,default,mse
0.2,4,gauche,pdv,10000,0.29949572668275,0.16096670947716457,0.40120656709127356,0.8566229498553772,0.9264762335265917,default,mse
0.2,5,gauche,pdv,10000,0.3004051408226966,0.16313629347487546,0.4039013412640214,0.858561942909716,0.9275193827074099,default,mse
0.2,6,gauche,pdv,10000,0.2911509931738509,0.15804437034757474,0.3975479472309909,0.8528199699132282,0.925338372416568,default,mse
0.2,7,gauche,pdv,10000,0.2885546225290474,0.15497990402417924,0.39367487095848425,0.8717576052077717,0.9341916347279275,default,mse
0.2,8,gauche,pdv,10000,0.28793060452012437,0.14945454511411807,0.38659351406111053,0.8542344030762521,0.9248803001051074,default,mse
0.2,9,gauche,pdv,10000,0.2930702364565931,0.16681297761759475,0.4084274447409169,0.8475444173030245,0.9230624763960549,default,mse
0.3,0,gauche,pdv,10000,0.3242009925854651,0.1815863579693487,0.4261295084470784,0.8379540557875199,0.9160533177568648,default,mse
0.3,1,gauche,pdv,10000,0.3125426330286127,0.17374590238068555,0.41682838480684775,0.8412796715573565,0.9185767276295446,default,mse
0.3,2,gauche,pdv,10000,0.3063823340614414,0.16863957173462188,0.410657487128412,0.848142936343303,0.921486510228074,default,mse
0.3,3,gauche,pdv,10000,0.3174166582258665,0.17894370508432353,0.42301738153925017,0.8368836707969106,0.9155667753470553,default,mse
0.3,4,gauche,pdv,10000,0.31762552871134875,0.17613867373083925,0.419688781993085,0.8440153995094156,0.9197044231413285,default,mse
0.3,5,gauche,pdv,10000,0.31411567027423015,0.17527372145195677,0.41865704514788327,0.8472703964303651,0.921438390202105,default,mse
0.3,6,gauche,pdv,10000,0.31004666215248883,0.17206220943538156,0.4148038204204266,0.8397387254832815,0.9182901715413183,default,mse
0.3,7,gauche,pdv,10000,0.3050054492453721,0.16924217392138713,0.4113905369857055,0.8599079491821461,0.9279198151430085,default,mse
0.3,8,gauche,pdv,10000,0.3061386835891321,0.16446116555149592,0.4055381184938056,0.839367799960917,0.9168159233708562,default,mse
0.3,9,gauche,pdv,10000,0.3084297885293315,0.18024832921074682,0.4245566266244667,0.8354486634324191,0.9163840567724917,default,mse
0.4,0,gauche,pdv,10000,0.34353299431257367,0.2008333191838823,0.4481443062049124,0.8199090582245784,0.906152766780228,default,mse
0.4,1,gauche,pdv,10000,0.3311431047035518,0.19138539308225344,0.4374761628731941,0.8242788758644584,0.9093768039314487,default,mse
0.4,2,gauche,pdv,10000,0.3278925248632026,0.18726618394628355,0.43274263014669995,0.8315664284417172,0.9125202123954833,default,mse
0.4,3,gauche,pdv,10000,0.33615986945916904,0.1956758714043201,0.44235265502121734,0.8218747455784379,0.90729563596943,default,mse
0.4,4,gauche,pdv,10000,0.3399073046968544,0.19632496446190786,0.44308573037495563,0.827029558010993,0.9105104890928146,default,mse
0.4,5,gauche,pdv,10000,0.3310354211218454,0.19185301139673577,0.43801028686177657,0.8318528704353639,0.9130928684093294,default,mse
0.4,6,gauche,pdv,10000,0.3322548710526329,0.19097743600097555,0.43700965206843606,0.8220582336161064,0.9086594310049312,default,mse
0.4,7,gauche,pdv,10000,0.3260602318075199,0.1883099737675023,0.4339469711468238,0.8439103827708199,0.919368615398468,default,mse
0.4,8,gauche,pdv,10000,0.3287397336575413,0.18470469744931728,0.42977284401101623,0.8194299955774443,0.9059035654315378,default,mse
0.4,9,gauche,pdv,10000,0.3280998495228506,0.1979283857109314,0.4448914313750394,0.8194017860764347,0.9074824089074145,default,mse
0.5,0,gauche,pdv,10000,0.3648477970212328,0.2238979592157827,0.4731785701146901,0.7981707705324561,0.8940770923432135,default,mse
0.5,1,gauche,pdv,10000,0.352631476778501,0.21279057865062356,0.46129229199133986,0.8035520705568199,0.8980031464981075,default,mse
0.5,2,gauche,pdv,10000,0.3513732521829803,0.2099832179076571,0.4582392583658204,0.8112189699869906,0.9013905135560074,default,mse
0.5,3,gauche,pdv,10000,0.35674823559863034,0.21652931838109526,0.4653271090116019,0.803043389027736,0.8968460707360959,default,mse
0.5,4,gauche,pdv,10000,0.36472319225918415,0.22076420121991105,0.46985551100302214,0.8063588938512458,0.8991963796391066,default,mse
0.5,5,gauche,pdv,10000,0.35057273462664923,0.2122900719066947,0.46074946761411967,0.812745397883917,0.9026496367022587,default,mse
0.5,6,gauche,pdv,10000,0.35651269709445477,0.21399168938467472,0.462592357680793,0.8005123791117648,0.8967626431084685,default,mse
0.5,7,gauche,pdv,10000,0.3501195098129887,0.21149083941239838,0.4598813318807346,0.8242873126528347,0.9087528167994358,default,mse
0.5,8,gauche,pdv,10000,0.3544728684524887,0.20945194942021567,0.4576592066376636,0.7951554406351939,0.8924468107076687,default,mse
0.5,9,gauche,pdv,10000,0.3497364697023507,0.21924602518452332,0.46823714630999036,0.7999405995457533,0.8965898323182635,default,mse
0.6,0,gauche,pdv,10000,0.3876070125262485,0.25000421067929735,0.5000042106615676,0.7733847572878069,0.8801032759221035,default,mse
0.6,1,gauche,pdv,10000,0.3758126941853758,0.23722917920592398,0.48706178171349473,0.779718424402626,0.8847192182695348,default,mse
0.6,2,gauche,pdv,10000,0.37636956044301006,0.23604803849828665,0.4858477523857517,0.7877397879353732,0.8883739340025416,default,mse
0.6,3,gauche,pdv,10000,0.379020820039544,0.24078281838362342,0.49069625878299034,0.7810254249671933,0.8844929441465481,default,mse
0.6,4,gauche,pdv,10000,0.39040512819089707,0.24864594787584043,0.4986441094366206,0.7827129964292219,0.8860731928286082,default,mse
0.6,5,gauche,pdv,10000,0.371180903616294,0.23589853424879909,0.485693868860622,0.7904781425799065,0.8903205561851517,default,mse
0.6,6,gauche,pdv,10000,0.38065318961692846,0.2403049170515892,0.49020905443656304,0.775833855686288,0.8829173283829399,default,mse
0.6,7,gauche,pdv,10000,0.3748320951475363,0.23801021675590106,0.48786290774755675,0.8016232261130816,0.896317249315017,default,mse
0.6,8,gauche,pdv,10000,0.3816799742589764,0.23790191886571893,0.48775190298523585,0.7673508582917618,0.8767832191135553,default,mse
0.6,9,gauche,pdv,10000,0.37277549754543615,0.24356450270128985,0.49352254528166173,0.7776195438534732,0.8839465120258454,default,mse
0.7,0,gauche,pdv,10000,0.4112197802159714,0.27841241498506114,0.5276480029196179,0.7461786404087938,0.8645027853410088,default,mse
0.7,1,gauche,pdv,10000,0.3994166324566096,0.26397829478560286,0.5137881808543311,0.7534052382741088,0.8697961411691347,default,mse
0.7,2,gauche,pdv,10000,0.4013083566527798,0.2646740622507456,0.5144648309172801,0.761799904643366,0.8737661562254675,default,mse
0.7,3,gauche,pdv,10000,0.4019401495827779,0.26768857742927477,0.5173862942031561,0.7564765451246644,0.8705250848069125,default,mse
0.7,4,gauche,pdv,10000,0.41571302894055134,0.27916067528739413,0.5283565796764474,0.7567823545244967,0.8714491639124256,default,mse
0.7,5,gauche,pdv,10000,0.39237920926434755,0.26195893431268913,0.5118192398813171,0.7656325279804739,0.8763473428783324,default,mse
0.7,6,gauche,pdv,10000,0.40494252447533985,0.26914369102689273,0.5187906042199422,0.7487346526948415,0.8674381993942339,default,mse
0.7,7,gauche,pdv,10000,0.4001718897082867,0.26707472554867673,0.5167927297753682,0.7765198852088109,0.882319008070926,default,mse
0.7,8,gauche,pdv,10000,0.40903612499820047,0.2692259204329584,0.5188698492232502,0.7368585123428636,0.859276783342415,default,mse
0.7,9,gauche,pdv,10000,0.39676044558104695,0.2702411426780995,0.5198472301341035,0.7529991113207987,0.869798835565281,default,mse
0.8,0,gauche,pdv,10000,0.43486773045800703,0.30843723094893905,0.5553712550618182,0.7171536135375024,0.8475419207883342,default,mse
0.8,1,gauche,pdv,10000,0.423124011659513,0.29236402931603744,0.5407069717657037,0.7252169575940759,0.8535013286343813,default,mse
0.8,2,gauche,pdv,10000,0.426008966384049,0.2951119590651658,0.5432420814564772,0.7340395311509497,0.8578555013001412,default,mse
0.8,3,gauche,pdv,10000,0.4252187515721962,0.2965064026225321,0.5445240147344579,0.730044524641333,0.8552359560025092,default,mse
0.8,4,gauche,pdv,10000,0.44085636759221997,0.31153134533682064,0.5581499308759437,0.7292144043858411,0.8556209475782607,default,mse
0.8,5,gauche,pdv,10000,0.41407208363334747,0.2897719339940756,0.5383046850939304,0.7387924034373068,0.8609814366712865,default,mse
0.8,6,gauche,pdv,10000,0.42963957437337047,0.29977901138306096,0.5475207862566142,0.7198858724494929,0.8506306401049448,default,mse
0.8,7,gauche,pdv,10000,0.42497389242807687,0.29791337232153836,0.545814411976762,0.7495711103647322,0.8670190468758752,default,mse
0.8,8,gauche,pdv,10000,0.4355433251429413,0.3026623383027848,0.5501475604806266,0.7044521410849193,0.8402699601550876,default,mse
0.8,9,gauche,pdv,10000,0.42053010380720424,0.29865217088844714,0.5464907784111706,0.7266209828436598,0.8543900088384992,default,mse
0.9,0,gauche,pdv,10000,0.4578488235793333,0.339455581854096,0.5826281677486045,0.6868731085248535,0.8294781112990913,default,mse
0.9,1,gauche,pdv,10000,0.4465177073754756,0.32176736069994694,0.5672454148778524,0.6957262469804764,0.8360963794232981,default,mse
0.9,2,gauche,pdv,10000,0.44987491011776204,0.3266832533457981,0.5715621167867917,0.7050371553872445,0.8409091429066683,default,mse
0.9,3,gauche,pdv,10000,0.44767276077145085,0.3265528796115018,0.57144805504219,0.7023269638595684,0.8389058833386076,default,mse
0.9,4,gauche,pdv,10000,0.46538831582180545,0.34505072065214804,0.5874101809231331,0.7005899785088128,0.8388639672240112,default,mse
0.9,5,gauche,pdv,10000,0.4354835776219892,0.31869241948888105,0.5645284930708822,0.7105182761961331,0.8444729439783915,default,mse
0.9,6,gauche,pdv,10000,0.4536213373156796,0.33154016373028916,0.5757952446228513,0.6899086319280521,0.832788580259955,default,mse
0.9,7,gauche,pdv,10000,0.44872880226894135,0.32982934900820693,0.5743077128231928,0.7213240003246253,0.8506662171323137,default,mse
0.9,8,gauche,pdv,10000,0.4614046876997966,0.33744509721317834,0.5809002472139071,0.6709042998683967,0.8201255588374907,default,mse
0.9,9,gauche,pdv,10000,0.4432725615331682,0.32821582209626055,0.5729012324094447,0.6989962728713157,0.8379565424477473,default,mse
1.0,0,gauche,pdv,10000,0.47961005486820674,0.370904506565173,0.6090192990088024,0.6558666755204792,0.8105647624416121,default,mse
1.0,1,gauche,pdv,10000,0.468677965999911,0.3516467564473473,0.5929981082999737,0.6654512685177898,0.8178274614900942,default,mse
1.0,2,gauche,pdv,10000,0.47253484688452113,0.35875546154708965,0.5989619867296168,0.675343567965045,0.8231926758535473,default,mse
1.0,3,gauche,pdv,10000,0.46889161122482914,0.35721895175820956,0.5976779665992461,0.6738617006652892,0.8217970989998317,default,mse
1.0,4,gauche,pdv,10000,0.48928674642320324,0.37908274467435843,0.6156969584741818,0.6714268124720328,0.8214336042058176,default,mse
1.0,5,gauche,pdv,10000,0.45642557563798314,0.34816333492230583,0.5900536712217845,0.6813166189785081,0.8270576168171953,default,mse
1.0,6,gauche,pdv,10000,0.47645170482673627,0.36386362112227205,0.6032110916770944,0.6593289485059142,0.8141697185251913,default,mse
1.0,7,gauche,pdv,10000,0.472080049068758,0.3621768456225908,0.601811304000341,0.6923045315768932,0.8335111168444301,default,mse
1.0,8,gauche,pdv,10000,0.4860343165118564,0.3729215157291685,0.6106730022926906,0.6368713691780327,0.7991663384660754,default,mse
1.0,9,gauche,pdv,10000,0.46496932490781573,0.3584077898347156,0.5986716878512927,0.670591116181191,0.8207219633298551,default,mse
