sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,smiles,10000,0.3718933935850892,0.24934865064486156,0.4993482258352998,0.7799555737429775,0.8833666316050335,default,mse
0.0,1,gauche,smiles,10000,0.33755076652780724,0.19557367074776927,0.4422371204995904,0.8234202125319656,0.9074306060147441,default,mse
0.0,2,gauche,smiles,10000,0.33010708747619816,0.2082878914859647,0.45638568282316294,0.8109607182803471,0.9011937409962814,default,mse
0.0,3,gauche,smiles,10000,0.3497082965251328,0.23221795747045604,0.48188998482066014,0.7866810637914369,0.8880549103238884,default,mse
0.0,4,gauche,smiles,10000,0.3361479907870905,0.21038242387543216,0.45867463836082345,0.8100982075132536,0.9003957364365702,default,mse
0.0,5,gauche,smiles,10000,0.33196047538950374,0.2041576573793029,0.45183808757042926,0.8243176773985561,0.907926904030065,default,mse
0.0,6,gauche,smiles,10000,0.3436820495165124,0.23587502691088805,0.48566966851028287,0.7802872018102532,0.885046113749335,default,mse
0.0,7,gauche,smiles,10000,0.33953042876926504,0.21573764897485725,0.4644756710257893,0.8210263430038549,0.9062766420993283,default,mse
0.0,8,gauche,smiles,10000,0.3178070688577858,0.18297239186451936,0.42775272280199383,0.8223284273580065,0.9072905729987252,default,mse
0.0,9,gauche,smiles,10000,0.34469257746143267,0.21486452512235324,0.4635348154371506,0.8028382673469641,0.8975568206308775,default,mse
0.1,0,gauche,smiles,10000,0.3749464945493254,0.2534803552705324,0.5034683259853915,0.7756179339830521,0.8809678144452986,default,mse
0.1,1,gauche,smiles,10000,0.3428938123985787,0.19980617876432177,0.4469968442442539,0.819013216065837,0.9049972477940798,default,mse
0.1,2,gauche,smiles,10000,0.3335735997002539,0.2118763738393623,0.4603003083198645,0.8083442267066302,0.8997592751486512,default,mse
0.1,3,gauche,smiles,10000,0.3520151375901396,0.23262176213487404,0.48230878297505014,0.7869849318044732,0.8881691863816074,default,mse
0.1,4,gauche,smiles,10000,0.34283629944445626,0.21565777484794843,0.4643896799541829,0.8066760439169112,0.8984587471849643,default,mse
0.1,5,gauche,smiles,10000,0.33238530199643174,0.20411893238326376,0.45179523280271977,0.8237725098591572,0.9076258160761945,default,mse
0.1,6,gauche,smiles,10000,0.3455053031735116,0.2358407528883269,0.48563438190507774,0.780367286248496,0.8850980641949526,default,mse
0.1,7,gauche,smiles,10000,0.3433897178691985,0.2203506821297218,0.4694152555357802,0.8175318996740175,0.9043677805133685,default,mse
0.1,8,gauche,smiles,10000,0.3230164979703788,0.18610193216427967,0.43139533164404975,0.8188458621736102,0.9053184186181122,default,mse
