sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,smiles,10000,0.3791641311172527,0.25625077500872784,0.506212183781394,0.7738646083751132,0.880240125181901,default,mse
0.0,1,gauche_rbf,smiles,10000,0.34276075560155744,0.19848349080569233,0.4455148603646037,0.820792990751888,0.906149330600952,default,mse
0.0,2,gauche_rbf,smiles,10000,0.3327510415449152,0.21090360874205627,0.45924242916139213,0.8085867285695407,0.9001519951176271,default,mse
0.0,3,gauche_rbf,smiles,10000,0.35545796793289924,0.23767984078353266,0.48752419507500616,0.7816636949766714,0.8853316880507075,default,mse
0.0,4,gauche_rbf,smiles,10000,0.34209571108539355,0.21263442365195576,0.4611230027356646,0.8080654388704946,0.8994028951975203,default,mse
0.0,5,gauche_rbf,smiles,10000,0.33773333767661573,0.21103685643773418,0.45938747962665916,0.8183979696406565,0.9048687176782674,default,mse
0.0,6,gauche_rbf,smiles,10000,0.3495390667272154,0.24035867685999995,0.4902638849232115,0.7761107729219383,0.8835013274804613,default,mse
0.0,7,gauche_rbf,smiles,10000,0.3442171096137631,0.21915246274749042,0.4681372264064143,0.8181934498498176,0.9047188653414034,default,mse
0.0,8,gauche_rbf,smiles,10000,0.3239051990241602,0.18602964048548234,0.4313115353030595,0.8193597490513564,0.9061263354297746,default,mse
0.0,9,gauche_rbf,smiles,10000,0.3485239287319773,0.21788387716410976,0.4667803307382497,0.8000676811848081,0.8964888335234056,default,mse
0.1,0,gauche_rbf,smiles,10000,0.38220679959307813,0.26032829145437913,0.5102237660618909,0.769556106954114,0.877913739046358,default,mse
0.1,1,gauche_rbf,smiles,10000,0.34626005457476444,0.20249502580414702,0.449994473081778,0.8165776268301164,0.9038502835409428,default,mse
0.1,2,gauche_rbf,smiles,10000,0.3364467700833858,0.21493880313577807,0.46361492980250113,0.8055740629345911,0.8984954046068839,default,mse
0.1,3,gauche_rbf,smiles,10000,0.35786193106759107,0.23760732997913553,0.48744982303734147,0.7824195761619386,0.8857075200197613,default,mse
0.1,4,gauche_rbf,smiles,10000,0.34707255180710056,0.21725581851095382,0.46610708910180054,0.8052434958757216,0.8977339274424058,default,mse
0.1,5,gauche_rbf,smiles,10000,0.33879278802310125,0.21095764329644426,0.4593012554919094,0.8178682615566739,0.9045987892168964,default,mse
0.1,6,gauche_rbf,smiles,10000,0.3511530349572354,0.24050748252884926,0.4904156222316427,0.7760212752951734,0.8834990743704865,default,mse
0.1,7,gauche_rbf,smiles,10000,0.3488690259858489,0.22396271755625355,0.47324699423900574,0.8145408436163767,0.9026849975884887,default,mse
0.1,8,gauche_rbf,smiles,10000,0.329468690727842,0.18911316743548656,0.4348714378244294,0.8159146850331904,0.9041720609194372,default,mse
0.1,9,gauche_rbf,smiles,10000,0.3534719079038264,0.22144414599290219,0.4705785226642863,0.797268612664484,0.8947059424102944,default,mse
0.2,0,gauche_rbf,smiles,10000,0.39024639733044275,0.2701203631838358,0.5197310488934019,0.7599903612889709,0.8726177255409988,default,mse
0.2,1,gauche_rbf,smiles,10000,0.35665485411752645,0.21244477282192145,0.4609173166869753,0.8068072991706496,0.8984842150389408,default,mse
0.2,2,gauche_rbf,smiles,10000,0.348154604043162,0.22481249597627545,0.4741439612356942,0.7971767268726035,0.8938393238034901,default,mse
0.2,3,gauche_rbf,smiles,10000,0.36656178525327493,0.2439824566209163,0.4939458033235188,0.7771575157200212,0.8827224625888108,default,mse
0.2,4,gauche_rbf,smiles,10000,0.3587129191550691,0.2285512811041607,0.47807037254379264,0.7964236915948276,0.892749029481693,default,mse
0.2,5,gauche_rbf,smiles,10000,0.34483322308702746,0.21676480137640028,0.46558006978005434,0.8120663912413756,0.901421116474246,default,mse
0.2,6,gauche_rbf,smiles,10000,0.35887946308286817,0.24640086430047833,0.4963878164303374,0.7705373083432485,0.8804704958797183,default,mse
0.2,7,gauche_rbf,smiles,10000,0.3583392819646795,0.23460144549530498,0.48435673371524934,0.8058725653401974,0.8978714901257654,default,mse
0.2,8,gauche_rbf,smiles,10000,0.34174937324124927,0.1995002427615593,0.4466545004380447,0.80542397054324,0.8983307934898765,default,mse
0.2,9,gauche_rbf,smiles,10000,0.3620423155606999,0.2300486335886474,0.4796338536724106,0.7897513791594775,0.8902606981794793,default,mse
0.3,0,gauche_rbf,smiles,10000,0.40174100351677094,0.2850587677821462,0.5339089508353894,0.7456162583033843,0.8645583860595836,default,mse
0.3,1,gauche_rbf,smiles,10000,0.3706334950705499,0.22781721502210564,0.47730201657033217,0.791884454840435,0.890229692035011,default,mse
0.3,2,gauche_rbf,smiles,10000,0.3646004493156253,0.23991762962812835,0.48981387243332375,0.7839582585507552,0.8864394511691436,default,mse
0.3,3,gauche_rbf,smiles,10000,0.3798275565310225,0.25621497739203913,0.5061768242344162,0.7664469583920377,0.8766542826583386,default,mse
0.3,4,gauche_rbf,smiles,10000,0.3757113219296806,0.24592612357429164,0.4959093904881129,0.7822131430684346,0.8847181622792677,default,mse
0.3,5,gauche_rbf,smiles,10000,0.35526955351633094,0.22813777847482186,0.4776377062950766,0.8012058386329896,0.895428280950767,default,mse
0.3,6,gauche_rbf,smiles,10000,0.3716557525575366,0.25753499149021064,0.5074790552231793,0.7601281181712738,0.8746113170323915,default,mse
0.3,7,gauche_rbf,smiles,10000,0.37201977892506377,0.25043048597824435,0.5004303008194492,0.7927034405484519,0.8905236011489999,default,mse
0.3,8,gauche_rbf,smiles,10000,0.3584808562834785,0.21631949844254172,0.46510160012898444,0.7887168266766525,0.8889932767001616,default,mse
0.3,9,gauche_rbf,smiles,10000,0.37447583656496763,0.24361743531381358,0.49357616971832585,0.7775980794519115,0.8831886085971038,default,mse
0.4,0,gauche_rbf,smiles,10000,0.4178362340506149,0.30444431850456466,0.5517647311169541,0.7269991639810351,0.8539862449257841,default,mse
0.4,1,gauche_rbf,smiles,10000,0.38765177275169593,0.24775857231947412,0.4977535256725703,0.7725196571115339,0.8794106742938129,default,mse
0.4,2,gauche_rbf,smiles,10000,0.3831525871945029,0.2594359652154196,0.5093485694643891,0.7666544739095125,0.8766349262497282,default,mse
0.4,3,gauche_rbf,smiles,10000,0.3969448099621627,0.2734563579262844,0.5229305478993214,0.7510705690014995,0.8678745554163567,default,mse
0.4,4,gauche_rbf,smiles,10000,0.3964091660814879,0.2684988071776502,0.5181687053244823,0.7634414070654253,0.874021081939044,default,mse
0.4,5,gauche_rbf,smiles,10000,0.3710865114355008,0.24450846081929214,0.4944779679816808,0.785703672088773,0.8868003317182862,default,mse
0.4,6,gauche_rbf,smiles,10000,0.38826644227082224,0.27320718334897204,0.5226922453499497,0.745441294993425,0.8661933756494674,default,mse
0.4,7,gauche_rbf,smiles,10000,0.3888054228260865,0.2706162343300115,0.5202078760745664,0.7756869506831015,0.8809480207237189,default,mse
0.4,8,gauche_rbf,smiles,10000,0.3781982271413981,0.23842180601888283,0.48828455435215523,0.7669153672765863,0.8766717412143081,default,mse
0.4,9,gauche_rbf,smiles,10000,0.38980797492069374,0.26175733659478645,0.5116222596748371,0.7611615569913827,0.8736472229281329,default,mse
0.5,0,gauche_rbf,smiles,10000,0.43684256478836603,0.3274678500272096,0.5722480668619244,0.7048093511978467,0.8411927371487715,default,mse
0.5,1,gauche_rbf,smiles,10000,0.4075816319252074,0.2711799059250988,0.5207493695868471,0.7496471349276727,0.8664540081813354,default,mse
0.5,2,gauche_rbf,smiles,10000,0.40374576654675065,0.28250050424358886,0.5315077649889876,0.7460238170378353,0.8647807823082512,default,mse
0.5,3,gauche_rbf,smiles,10000,0.41586438085992755,0.2948034385946836,0.5429580449672733,0.731844691505535,0.8567683439079992,default,mse
0.5,4,gauche_rbf,smiles,10000,0.418853544116904,0.2952920465414671,0.5434078086865031,0.7409875413982568,0.8610622552057416,default,mse
0.5,5,gauche_rbf,smiles,10000,0.3897806114977418,0.26515878852521213,0.5149357130023243,0.7661115143213375,0.8757736947160337,default,mse
0.5,6,gauche_rbf,smiles,10000,0.4073284071675799,0.29267618064818,0.540995545867228,0.7271610166916037,0.8555398619158354,default,mse
0.5,7,gauche_rbf,smiles,10000,0.4086990539368709,0.29431845225531444,0.5425112462016934,0.7554717437155914,0.8694411465747309,default,mse
0.5,8,gauche_rbf,smiles,10000,0.4004688594584089,0.2646609935100672,0.5144521294640224,0.741160849795419,0.861884687677937,default,mse
0.5,9,gauche_rbf,smiles,10000,0.40796200453908316,0.28381572560108714,0.5327435833504587,0.7410215129079174,0.861896414644543,default,mse
0.6,0,gauche_rbf,smiles,10000,0.45705916768654614,0.35328152863763174,0.5943749057940045,0.679769476120343,0.8264898780801646,default,mse
0.6,1,gauche_rbf,smiles,10000,0.42814646763307146,0.29701014192074954,0.5449863685641592,0.7242082013279225,0.8517938823420553,default,mse
