sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,sns,10000,0.304807828164511,0.1716326028040662,0.4142856536305188,0.8485381913503511,0.9223145413018505,default,mse
0.0,1,gauche,sns,10000,0.2990474150962468,0.1762985701888731,0.41987923286210893,0.8408233381526147,0.9186226182190611,default,mse
0.0,2,gauche,sns,10000,0.2901545532321295,0.15379713113155327,0.3921697733527576,0.8604157976143745,0.9279834998180653,default,mse
0.0,3,gauche,sns,10000,0.2990601429554446,0.17579692039463674,0.41928143340080865,0.8385102838048328,0.9171995441293199,default,mse
0.0,4,gauche,sns,10000,0.28248108560296964,0.14450097983546248,0.38013284498377997,0.8695661235318146,0.9340848453153159,default,mse
0.0,5,gauche,sns,10000,0.29087284884990544,0.1696884367769636,0.41193256338503226,0.8539792282383064,0.9250206891622192,default,mse
0.0,6,gauche,sns,10000,0.2755038503317261,0.1556440417723282,0.3945174796790735,0.8550207353986674,0.9263928593265516,default,mse
0.0,7,gauche,sns,10000,0.29628598538133294,0.16812111409607483,0.4100257480891594,0.8605285134466846,0.9290114497465009,default,mse
0.0,8,gauche,sns,10000,0.2797803787481482,0.14826688455687212,0.3850543916862553,0.8560284954385156,0.9259401014785743,default,mse
0.0,9,gauche,sns,10000,0.28518223033012624,0.1520410046833221,0.3899243576430204,0.8604857274573263,0.9288467807556273,default,mse
0.1,0,gauche,sns,10000,0.30835580932420464,0.1754104703765795,0.4188203318567277,0.8447257827846468,0.9201785182283403,default,mse
0.1,1,gauche,sns,10000,0.302064110430973,0.17935582094727956,0.42350421597344173,0.8375373904156957,0.9168956840701079,default,mse
0.1,2,gauche,sns,10000,0.29527998231531627,0.1584270261557389,0.39802892628016234,0.8566925907866083,0.9260358259124748,default,mse
0.1,3,gauche,sns,10000,0.3047263883843984,0.1775208161479413,0.4213321921571402,0.8374416545948337,0.9165287769034393,default,mse
0.1,4,gauche,sns,10000,0.28744954610635015,0.14789281415322775,0.38456834783069155,0.8674231711399158,0.9332157625528517,default,mse
0.1,5,gauche,sns,10000,0.2928684946114462,0.17084032347196962,0.4133283482559231,0.8525038267210561,0.9242031110097507,default,mse
0.1,6,gauche,sns,10000,0.27849120835248786,0.15687404552380133,0.3960732830219697,0.853907045692463,0.925964913964469,default,mse
