sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,morgan,10000,0.35331470338364557,0.22483793839444383,0.4741707903218458,0.8015857113047637,0.9000898916321012,default,mse
0.0,1,gauche,morgan,10000,0.3444833769763461,0.21151509740974775,0.4599077053167817,0.8090269983475276,0.9043287775218579,default,mse
0.0,2,gauche,morgan,10000,0.340403005596089,0.22612212794836176,0.47552300464684333,0.7947746057472662,0.8948614674401084,default,mse
0.0,3,gauche,morgan,10000,0.35354362723230054,0.23873261291274042,0.4886027148028758,0.78069660253852,0.8890184109799358,default,mse
0.0,4,gauche,morgan,10000,0.336654460803053,0.20081150116169139,0.44811996291360573,0.8187374053398155,0.9097992569291316,default,mse
0.0,5,gauche,morgan,10000,0.3274955060626024,0.20668833386015684,0.4546298866772364,0.8221399725423368,0.9108991269549033,default,mse
0.0,6,gauche,morgan,10000,0.3403329623770619,0.22822676009861026,0.4777308448264674,0.7874114070499294,0.8895881151560086,default,mse
0.0,7,gauche,morgan,10000,0.35830770871409723,0.23796019017465359,0.4878116339066275,0.802590759390266,0.9024086379362555,default,mse
0.0,8,gauche,morgan,10000,0.32595629498792233,0.19821334237050564,0.44521157034662256,0.807529016270008,0.9030039778392511,default,mse
0.0,9,gauche,morgan,10000,0.33328371494305953,0.20623618401775612,0.4541323419640536,0.8107557152417947,0.9029881826705725,default,mse
0.1,0,gauche,morgan,10000,0.35769242956824165,0.2289051848193692,0.47844036704626963,0.7973719965914364,0.8975788037350094,default,mse
0.1,1,gauche,morgan,10000,0.3476850575049618,0.21545440383297948,0.4641706624001343,0.8048388699721916,0.9018988958073415,default,mse
0.1,2,gauche,morgan,10000,0.3443736936270919,0.2313603482273325,0.48099932248115745,0.7907197218574685,0.8929062809264074,default,mse
0.1,3,gauche,morgan,10000,0.3563164102863939,0.24117186866146959,0.4910925255605807,0.7791554772077628,0.8879935175810734,default,mse
0.1,4,gauche,morgan,10000,0.3416300608149326,0.20524093278203506,0.45303524452523014,0.8160141033469269,0.9086882643399294,default,mse
0.1,5,gauche,morgan,10000,0.32837082897202924,0.20644600069001912,0.4543632915300477,0.8217634193632507,0.9104880965806246,default,mse
0.1,6,gauche,morgan,10000,0.34083843240781575,0.22708690493030223,0.4765363626527384,0.7885195303337216,0.890278060701505,default,mse
