sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,1,gauche_rbf,continuous_pdv,10000,0.2585463734285639,0.1377477230697612,0.3711438037604309,0.8756301726563491,0.9360599658854938,default,mse
0.0,2,gauche_rbf,continuous_pdv,10000,0.24464602087070175,0.11792161421848525,0.34339716687603183,0.8929759330124739,0.9450469623177324,default,mse
0.0,3,gauche_rbf,continuous_pdv,10000,0.2607929756196254,0.14000484970361474,0.37417221931032607,0.871389422557407,0.9339125935317392,default,mse
0.0,4,gauche_rbf,continuous_pdv,10000,0.2561934998577527,0.12426406952198747,0.35251109134605607,0.8878329800121729,0.9426449935187422,default,mse
0.0,5,gauche_rbf,continuous_pdv,10000,0.2411558366122041,0.11052622246447001,0.33245484274480047,0.9048896636051895,0.9513890881346863,default,mse
0.0,6,gauche_rbf,continuous_pdv,10000,0.25004249710666854,0.13337726068546588,0.3652085167208808,0.8757617898601953,0.9366624989120772,default,mse
0.0,7,gauche_rbf,continuous_pdv,10000,0.24597915823571032,0.11445434682502702,0.338311020844765,0.9050498922755595,0.9515041392455312,default,mse
0.0,8,gauche_rbf,continuous_pdv,10000,0.25182208775055664,0.11836536647049886,0.3440426811756048,0.8850637487281083,0.9430195202559408,default,mse
0.0,9,gauche_rbf,continuous_pdv,10000,0.24335796706727547,0.11517287644300384,0.33937129584424763,0.894316272724844,0.946279936418913,default,mse
0.1,0,gauche_rbf,continuous_pdv,10000,0.2630035663712296,0.12418814883706723,0.35240338936659965,0.8898649081169897,0.9434965366774565,default,mse
0.1,1,gauche_rbf,continuous_pdv,10000,0.2660591053389322,0.1422102530622573,0.37710774728485397,0.8709233843791497,0.9336127772719527,default,mse
0.1,2,gauche_rbf,continuous_pdv,10000,0.25371061136057665,0.1253542392560945,0.354054006129142,0.886747952704643,0.9417057023974085,default,mse
0.1,3,gauche_rbf,continuous_pdv,10000,0.26845511929962357,0.14580804330053446,0.3818481940516865,0.8666332883046561,0.9312662834257948,default,mse
0.1,4,gauche_rbf,continuous_pdv,10000,0.2697256384938696,0.13207987400953208,0.3634279488557974,0.8819356591942973,0.9393503666410518,default,mse
0.1,5,gauche_rbf,continuous_pdv,10000,0.2509839596279314,0.1150949625872799,0.3392564849598013,0.9004392492317721,0.9490428458081409,default,mse
0.1,6,gauche_rbf,continuous_pdv,10000,0.25714506152056943,0.1359825600694911,0.36875813220794346,0.8733874442724188,0.9352653399507338,default,mse
0.1,7,gauche_rbf,continuous_pdv,10000,0.25560119211744153,0.11958168493706765,0.3458058486160517,0.9010261477982382,0.9494720801187563,default,mse
0.1,8,gauche_rbf,continuous_pdv,10000,0.266527667591253,0.12854977632686745,0.3585383889165391,0.8747113791733796,0.9375931267910493,default,mse
0.1,9,gauche_rbf,continuous_pdv,10000,0.2545011754958291,0.12311739703980917,0.35088088725350824,0.8872738224912908,0.9424612288902765,default,mse
0.2,0,gauche_rbf,continuous_pdv,10000,0.28876171713799237,0.14482644591389215,0.3805606993817046,0.8707444663058789,0.9332961688154584,default,mse
0.2,1,gauche_rbf,continuous_pdv,10000,0.29112911626857224,0.15910666150927133,0.3988817638214002,0.854627084390488,0.9249208115905814,default,mse
