sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,ecfp4,10000,0.303918023261411,0.20986530375650533,0.458110580271298,0.8147987156259848,0.9034367191378712,default,mse
0.0,1,gauche,ecfp4,10000,0.29528561543514525,0.17488530494675814,0.41819290398900616,0.8420993487481844,0.9191812118850784,default,mse
0.0,2,gauche,ecfp4,10000,0.3086924004599371,0.22419988569642077,0.4734975033687303,0.7965192068952526,0.8934376911302657,default,mse
0.0,3,gauche,ecfp4,10000,0.29528502403365914,0.18147915217120902,0.42600369971540036,0.8332904995509681,0.9151202565878986,default,mse
0.0,4,gauche,ecfp4,10000,0.2907444239730754,0.1932086933185818,0.43955510839777734,0.8256000833655887,0.9098134926708823,default,mse
0.0,5,gauche,ecfp4,10000,0.29229640082384745,0.19013004927739596,0.43603904558811696,0.836388754249263,0.9150197124301671,default,mse
0.0,6,gauche,ecfp4,10000,0.28802156215551417,0.20741757436102215,0.45543119607798294,0.8067947410396822,0.9002061217501247,default,mse
0.0,7,gauche,ecfp4,10000,0.31191529738596946,0.23306009491316668,0.48276298005663887,0.8066558262561796,0.8993156273951078,default,mse
0.0,8,gauche,ecfp4,10000,0.28887032129419277,0.192669601529872,0.43894145569753606,0.8129121516350654,0.9018070606519746,default,mse
0.0,9,gauche,ecfp4,10000,0.27780423871565463,0.1637208962858519,0.4046243891386824,0.8497681477905894,0.9226480788885738,default,mse
0.0,0,gauche,ecfp4,10000,0.30391802326141054,0.20986530375650522,0.45811058027129786,0.8147987156259849,0.9034367191378712,default,mse
0.1,0,gauche,ecfp4,10000,0.3112739631616255,0.215650615094708,0.46438197111290613,0.8087522800646311,0.8999853256293958,default,mse
0.0,1,gauche,ecfp4,10000,0.29528561543514475,0.1748853049467583,0.4181929039890064,0.8420993487481843,0.9191812118850784,default,mse
0.1,1,gauche,ecfp4,10000,0.30116848568125226,0.18148694332350263,0.4260128440827842,0.8352740402387485,0.915335086900071,default,mse
0.0,2,gauche,ecfp4,10000,0.3086924004599373,0.22419988569642044,0.47349750336873,0.7965192068952529,0.8934376911302657,default,mse
0.0,3,gauche,ecfp4,10000,0.2952850240336592,0.1814791521712095,0.4260036997154009,0.8332904995509677,0.9151202565878981,default,mse
0.1,2,gauche,ecfp4,10000,0.3192682017547338,0.2321064506414281,0.4817742735362984,0.7903020202460169,0.8900342480047163,default,mse
0.0,4,gauche,ecfp4,10000,0.29074442397307565,0.1932086933185838,0.43955510839777967,0.8256000833655869,0.9098134926708819,default,mse
0.1,3,gauche,ecfp4,10000,0.3007299194471079,0.18690769165851442,0.432328222139747,0.8290405408178743,0.9127651615486383,default,mse
0.0,6,gauche,ecfp4,10000,0.2880215621555145,0.20741757436102143,0.45543119607798216,0.8067947410396829,0.9002061217501252,default,mse
0.1,4,gauche,ecfp4,10000,0.3021843138354484,0.20148682870161852,0.448872842463897,0.8198937590599811,0.9068373362220636,default,mse
0.0,7,gauche,ecfp4,10000,0.3119152973859682,0.2330600949131655,0.48276298005663765,0.8066558262561806,0.8993156273951084,default,mse
0.0,8,gauche,ecfp4,10000,0.2888703212941933,0.1926696015298713,0.4389414556975353,0.812912151635066,0.9018070606519748,default,mse
0.1,5,gauche,ecfp4,10000,0.3006551431380063,0.1924585082874861,0.43870093262664267,0.8335173569190334,0.9135325455167007,default,mse
0.0,9,gauche,ecfp4,10000,0.2778042387156544,0.16372089628585396,0.404624389138685,0.8497681477905875,0.922648078888573,default,mse
0.1,6,gauche,ecfp4,10000,0.29287094640223743,0.20935893379595757,0.4575575742963475,0.805067137589103,0.899412523120972,default,mse
0.1,0,gauche,ecfp4,10000,0.31127396316162514,0.21565061509470926,0.4643819711129075,0.80875228006463,0.8999853256293953,default,mse
0.1,1,gauche,ecfp4,10000,0.3011684856812539,0.181486943323503,0.42601284408278467,0.8352740402387482,0.9153350869000707,default,mse
0.1,7,gauche,ecfp4,10000,0.32234342125771015,0.2400394010146875,0.4899381603985216,0.8013272332537373,0.8963748200949424,default,mse
0.1,2,gauche,ecfp4,10000,0.3192682017547327,0.23210645064142718,0.4817742735362975,0.7903020202460178,0.8900342480047171,default,mse
0.1,8,gauche,ecfp4,10000,0.30037559608352693,0.2006989793648708,0.4479943965775362,0.8043925159231916,0.8971591524187366,default,mse
0.1,3,gauche,ecfp4,10000,0.30072991944710775,0.18690769165851354,0.432328222139746,0.8290405408178751,0.9127651615486384,default,mse
0.1,9,gauche,ecfp4,10000,0.28634558606214794,0.17174550288655524,0.4144218899702998,0.8427499727073311,0.9188720198898617,default,mse
0.1,4,gauche,ecfp4,10000,0.30218431383544897,0.2014868287016193,0.4488728424638979,0.8198937590599804,0.906837336222063,default,mse
0.2,0,gauche,ecfp4,10000,0.3325626478021112,0.2328859038467502,0.4825825357871441,0.7921526582966294,0.8906076035248015,default,mse
0.1,5,gauche,ecfp4,10000,0.30065514313800545,0.1924585082874852,0.43870093262664167,0.8335173569190342,0.9135325455167012,default,mse
0.1,6,gauche,ecfp4,10000,0.29287094640223754,0.20935893379595685,0.45755757429634675,0.8050671375891036,0.8994125231209726,default,mse
0.2,1,gauche,ecfp4,10000,0.32179871458810627,0.19929004702608252,0.44641913828383584,0.8179122425590571,0.9056587037986141,default,mse
0.1,7,gauche,ecfp4,10000,0.32234342125771037,0.2400394010146881,0.4899381603985222,0.8013272332537368,0.8963748200949423,default,mse
0.2,2,gauche,ecfp4,10000,0.3438406759173902,0.2505719385645555,0.5005716118244776,0.7742813394897974,0.8810463642569804,default,mse
0.1,8,gauche,ecfp4,10000,0.3003755960835266,0.20069897936487044,0.4479943965775358,0.8043925159231919,0.8971591524187368,default,mse
0.2,3,gauche,ecfp4,10000,0.3208319552716471,0.20381039840415702,0.4514536503387219,0.8141226288117497,0.9045264345960238,default,mse
0.1,9,gauche,ecfp4,10000,0.28634558606214616,0.17174550288655313,0.4144218899702972,0.8427499727073331,0.9188720198898627,default,mse
0.2,0,gauche,ecfp4,10000,0.33256264780211076,0.2328859038467507,0.4825825357871446,0.792152658296629,0.8906076035248012,default,mse
0.2,4,gauche,ecfp4,10000,0.3280985229796274,0.22126574970281118,0.47038893450294,0.8038549746630066,0.8981303569775345,default,mse
0.2,1,gauche,ecfp4,10000,0.32179871458810644,0.1992900470260825,0.4464191382838358,0.8179122425590573,0.9056587037986141,default,mse
0.2,5,gauche,ecfp4,10000,0.31893949520635806,0.20591728383814964,0.4537810968276991,0.8205723897053764,0.9064893981977666,default,mse
0.2,2,gauche,ecfp4,10000,0.34384067591739187,0.2505719385645567,0.5005716118244787,0.7742813394897964,0.8810463642569798,default,mse
0.2,6,gauche,ecfp4,10000,0.3138502802587534,0.2236825366187929,0.4729508818247333,0.7917078323385746,0.8921022841288617,default,mse
0.2,4,gauche,ecfp4,10000,0.32809852297962716,0.22126574970281118,0.47038893450294,0.8038549746630066,0.8981303569775345,default,mse
0.2,5,gauche,ecfp4,10000,0.3189394952063586,0.20591728383814897,0.4537810968276984,0.8205723897053769,0.9064893981977669,default,mse
0.2,8,gauche,ecfp4,10000,0.3270722995379695,0.22167374718384714,0.4708224157618742,0.7833703764764102,0.885469532413898,default,mse
0.2,6,gauche,ecfp4,10000,0.3138502802587547,0.22368253661879464,0.4729508818247352,0.7917078323385729,0.8921022841288611,default,mse
0.2,9,gauche,ecfp4,10000,0.3069664771398196,0.1912342362699186,0.43730336869262576,0.8250905624726649,0.9092099460539345,default,mse
0.2,7,gauche,ecfp4,10000,0.34398510426632256,0.25705972794273696,0.5070105797147993,0.7872213538923176,0.8884696515036734,default,mse
0.3,0,gauche,ecfp4,10000,0.3620006689567893,0.25971125353571145,0.5096187335015379,0.7664726824053886,0.8759728689114165,default,mse
0.2,8,gauche,ecfp4,10000,0.327072299537971,0.2216737471838485,0.47082241576187567,0.7833703764764088,0.8854695324138975,default,mse
0.2,9,gauche,ecfp4,10000,0.30696647713982006,0.19123423626991778,0.43730336869262487,0.8250905624726657,0.9092099460539351,default,mse
0.3,1,gauche,ecfp4,10000,0.35285554823185045,0.22666109678109866,0.47608937898371423,0.7913064211100241,0.8907112701600854,default,mse
0.3,0,gauche,ecfp4,10000,0.362000668956789,0.2597112535357112,0.5096187335015375,0.7664726824053889,0.8759728689114163,default,mse
0.3,2,gauche,ecfp4,10000,0.37485583615933105,0.2780805853702857,0.5273334669545312,0.7498209581409516,0.8670973554746626,default,mse
0.3,1,gauche,ecfp4,10000,0.3528555482318501,0.22666109678109858,0.4760893789837141,0.7913064211100242,0.8907112701600856,default,mse
