sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,mhggnn,10000,0.8900629646196613,1.1482542595899279,1.0715662646751847,-0.013307868701934122,0.10912366636362283,default,mse
0.0,1,gauche_rbf,mhggnn,10000,0.8880234233365709,1.1360379126157691,1.0658507928484968,-0.025707255983535404,0.0443684584374802,default,mse
0.0,2,gauche_rbf,mhggnn,10000,0.8793110035877655,1.1189343207523004,1.0577969184830802,-0.015529701594467316,0.050171545918076765,default,mse
0.0,3,gauche_rbf,mhggnn,10000,0.8715281072061043,1.1179184833148907,1.0573166428818241,-0.02693686666743922,0.0356321424549204,default,mse
0.0,4,gauche_rbf,mhggnn,10000,0.8834201616052952,1.1262042869637332,1.0612277262509369,-0.016568821962536617,0.025136023453908075,default,mse
0.0,5,gauche_rbf,mhggnn,10000,0.9016036982053193,1.1704039194663556,1.0818520783667034,-0.007159278731652785,0.008782298091773996,default,mse
0.0,6,gauche_rbf,mhggnn,10000,0.8736443244732798,1.0894090248689814,1.0437475867607942,-0.014762386513917702,0.03144141438884859,default,mse
0.0,7,gauche_rbf,mhggnn,10000,0.9264930520372838,1.2215198689883922,1.1052238999353896,-0.013359879859371704,0.07166861899988573,default,mse
0.0,8,gauche_rbf,mhggnn,10000,0.8561086979312822,1.0454621953047252,1.0224784571347825,-0.015174532533181129,nan,default,mse
0.0,9,gauche_rbf,mhggnn,10000,0.881033835403578,1.0997198449717944,1.048675280995883,-0.009113393400324465,0.01880833990316847,default,mse
0.1,0,gauche_rbf,mhggnn,10000,0.8876747261797618,1.1434274463334149,1.0693116694086036,-0.014037877549060163,0.10384383552868412,default,mse
0.1,1,gauche_rbf,mhggnn,10000,0.8841243593530446,1.1294937326353667,1.0627764264582493,-0.02518085183147578,0.04180502516413165,default,mse
0.1,2,gauche_rbf,mhggnn,10000,0.8810858302955195,1.1245187566714,1.060433287232818,-0.015953287027536067,0.05222320830406573,default,mse
0.1,3,gauche_rbf,mhggnn,10000,0.8729947497341782,1.1224637605039651,1.059463902407234,-0.026687536208471974,0.03621858090673287,default,mse
0.1,4,gauche_rbf,mhggnn,10000,0.889858519035739,1.1369728720125993,1.0662893003367329,-0.01632405129676595,0.026488245085131163,default,mse
0.1,5,gauche_rbf,mhggnn,10000,0.9004128096553031,1.16430693199925,1.0790305519304122,-0.007161996221966449,0.009446708931981317,default,mse
0.1,6,gauche_rbf,mhggnn,10000,0.8722620418117146,1.088967267464958,1.043535944500695,-0.013930968551846723,0.0326367215605743,default,mse
0.1,7,gauche_rbf,mhggnn,10000,0.9262123206890722,1.2238187709253001,1.1062634274553689,-0.012914797270565215,0.07058753819756734,default,mse
0.1,8,gauche_rbf,mhggnn,10000,0.8527571143261157,1.0421005696647248,1.0208332722167341,-0.01566371305027725,nan,default,mse
0.1,9,gauche_rbf,mhggnn,10000,0.8804578926159552,1.1024744413979286,1.0499878291665712,-0.009424602598229637,0.016341587245795212,default,mse
0.2,0,gauche_rbf,mhggnn,10000,0.8848121875563475,1.136784897196092,1.0662011523141832,-0.014564278335321701,0.09811467454137955,default,mse
0.2,1,gauche_rbf,mhggnn,10000,0.8796076420613488,1.1211739019192155,1.058854995700174,-0.024396574481527766,0.039017701196641275,default,mse
0.2,2,gauche_rbf,mhggnn,10000,0.8810887538794583,1.1281233610023131,1.0621315177520687,-0.016229093307296383,0.05397054221792278,default,mse
0.2,3,gauche_rbf,mhggnn,10000,0.8720632416451117,1.1251466672048533,1.0607293091099412,-0.026146390659298024,0.036595688699401836,default,mse
0.2,4,gauche_rbf,mhggnn,10000,0.8942546282043904,1.146021846253755,1.0705240988664173,-0.01591179101197726,0.02766458150997086,default,mse
0.2,5,gauche_rbf,mhggnn,10000,0.897812387079437,1.1557701184070956,1.0750674948146723,-0.007089189068349766,0.0100597650035918,default,mse
0.2,6,gauche_rbf,mhggnn,10000,0.8693618891614021,1.087820860613315,1.0429865102738938,-0.012973871405158377,0.03362229678873062,default,mse
0.2,7,gauche_rbf,mhggnn,10000,0.9238136795836184,1.223020623828183,1.105902628547461,-0.012343219152179508,0.06917450220060785,default,mse
0.2,8,gauche_rbf,mhggnn,10000,0.8497794505742495,1.0396010747240498,1.0196082947505134,-0.015945245177868106,nan,default,mse
0.2,9,gauche_rbf,mhggnn,10000,0.8785833061166218,1.1038379709116488,1.050636935821147,-0.009608333629964383,0.01381816701366288,default,mse
0.3,0,gauche_rbf,mhggnn,10000,0.8820264517210021,1.1286800671728938,1.0623935556905895,-0.014887206160854927,0.09209456315076922,default,mse
0.3,1,gauche_rbf,mhggnn,10000,0.8733614167575233,1.1114894472957362,1.0542719987250615,-0.023381223989257682,0.03606674653801333,default,mse
0.3,2,gauche_rbf,mhggnn,10000,0.879725390250836,1.1297035710327292,1.0628751436705675,-0.016353430820682968,0.05540336977406812,default,mse
0.3,3,gauche_rbf,mhggnn,10000,0.8708006095641758,1.1259624117030813,1.0611137600196698,-0.02534758825105765,0.036769991111789815,default,mse
0.3,4,gauche_rbf,mhggnn,10000,0.8963991566657292,1.1531077086334727,1.0738285285060518,-0.015356519131652924,0.028658459776372488,default,mse
0.3,5,gauche_rbf,mhggnn,10000,0.892645732580917,1.1452278019257338,1.070153167507219,-0.006949125141660906,0.010613722563949934,default,mse
0.3,6,gauche_rbf,mhggnn,10000,0.8655400097254894,1.0860457515232693,1.0421351886983135,-0.011931913564201313,0.03439267518397512,default,mse
0.3,7,gauche_rbf,mhggnn,10000,0.9192512593717349,1.219294128848959,1.104216522629941,-0.011659571897139953,0.06746705170673131,default,mse
0.3,8,gauche_rbf,mhggnn,10000,0.8473032034975767,1.038011571050473,1.018828528777278,-0.016008644668736638,nan,default,mse
0.3,9,gauche_rbf,mhggnn,10000,0.8754926481316763,1.10383094809986,1.0506335936471192,-0.00966417989676982,0.011280832096729528,default,mse
0.4,0,gauche_rbf,mhggnn,10000,0.8785158194010538,1.119500758469764,1.0580646286828437,-0.014997518583429459,0.08596055915642081,default,mse
0.4,1,gauche_rbf,mhggnn,10000,0.8657968718747132,1.1008929505429068,1.0492344592811023,-0.022181671484063692,0.03301464632056522,default,mse
0.4,2,gauche_rbf,mhggnn,10000,0.8762138705570003,1.1293796795011013,1.062722767000454,-0.016340677567585393,0.05652607479601843,default,mse
0.4,3,gauche_rbf,mhggnn,10000,0.8688250187302474,1.1250429632500039,1.0606804246567407,-0.024344864318940562,0.036755743990074405,default,mse
0.4,4,gauche_rbf,mhggnn,10000,0.896104885030007,1.1581586066435996,1.0761777765051643,-0.014697692549871633,0.029472265190517263,default,mse
