sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,1,gauche,mol2vec,10000,0.287058284093604,0.14503541399890849,0.3808351533129636,0.8690502536392274,0.932369286415121,default,mse
0.0,2,gauche,mol2vec,10000,0.2834808705785872,0.1426273428956273,0.3776603538837871,0.8705533468017806,0.9333615014492589,default,mse
0.0,3,gauche,mol2vec,10000,0.29438250484898165,0.15339468669181924,0.3916563374845596,0.8590893153071172,0.9279140310957708,default,mse
0.0,5,gauche,mol2vec,10000,0.28079415848574807,0.13955883469439362,0.37357574157644874,0.8799064383212911,0.9382125341460849,default,mse
0.0,6,gauche,mol2vec,10000,0.2764696812672246,0.15048167319658115,0.3879196736395064,0.8598293769064974,0.9288961885291509,default,mse
0.0,7,gauche,mol2vec,10000,0.2892555749928915,0.1466568181419525,0.38295798482594995,0.8783350648762153,0.9372108933120371,default,mse
0.0,8,gauche,mol2vec,10000,0.2765124802916216,0.13940733732069308,0.37337291990809013,0.8646313763120054,0.9310960320266803,default,mse
0.0,9,gauche,mol2vec,10000,0.2818398302420201,0.1403340597647099,0.37461187883556213,0.8712281315043083,0.9342960192496523,default,mse
0.1,0,gauche,mol2vec,10000,0.3083483753663604,0.16493439613575606,0.40612115942875476,0.8537294818935375,0.9245158315563692,default,mse
0.1,1,gauche,mol2vec,10000,0.29742956894122474,0.15287892991687144,0.3909973528259129,0.8612399988855368,0.9282187026713544,default,mse
0.1,2,gauche,mol2vec,10000,0.2962481793176994,0.1503186791369702,0.3877095293347459,0.8641936781713742,0.9299415810254243,default,mse
0.1,3,gauche,mol2vec,10000,0.29990655094048996,0.15806341915325217,0.39757190438114737,0.8554236242760497,0.9257178654637281,default,mse
0.1,4,gauche,mol2vec,10000,0.30433319227267563,0.16518562305040227,0.40643034218719726,0.852342895976585,0.9241604723174281,default,mse
0.1,6,gauche,mol2vec,10000,0.28407405972289596,0.1551997580623313,0.3939540050086194,0.8554944251194256,0.9263691707179881,default,mse
0.1,7,gauche,mol2vec,10000,0.298038818788682,0.15364229392440218,0.3919723127012955,0.8728352949800281,0.9342926418966564,default,mse
0.1,9,gauche,mol2vec,10000,0.29059520791353904,0.1469098886129853,0.3832882578595192,0.8654894387003869,0.9311184801476857,default,mse
0.2,0,gauche,mol2vec,10000,0.3327840440598229,0.18708416614997936,0.43253227180174586,0.8330300547745774,0.9132304193986782,default,mse
0.2,1,gauche,mol2vec,10000,0.3213744080118522,0.17559105496661306,0.4190358635804495,0.8395655884341511,0.9165598659675137,default,mse
0.2,2,gauche,mol2vec,10000,0.3205009988448728,0.17226630237496565,0.4150497589144772,0.844820137299193,0.9195011562026362,default,mse
0.2,3,gauche,mol2vec,10000,0.32198079505182614,0.17774144035188164,0.4215939282673336,0.8378978111886803,0.9160244098504498,default,mse
0.2,4,gauche,mol2vec,10000,0.3318929390075282,0.19062033823914107,0.4366008912486793,0.8310211538664198,0.9126521024480969,default,mse
0.2,5,gauche,mol2vec,10000,0.307335136288933,0.1609353657611485,0.4011675033712832,0.8597677302643973,0.9274469760801846,default,mse
0.2,6,gauche,mol2vec,10000,0.30909575865272654,0.17493588412443137,0.4182533731178164,0.8371004949387524,0.9162685687159786,default,mse
0.2,7,gauche,mol2vec,10000,0.3200643432702018,0.17279974562378797,0.41569188784938776,0.8569667204745037,0.9258088924795652,default,mse
0.2,8,gauche,mol2vec,10000,0.31741203865460194,0.1742904950763017,0.41748113140153015,0.8296754360325508,0.9118560513921896,default,mse
0.2,9,gauche,mol2vec,10000,0.3143695705549958,0.16679277672537185,0.4084027139054929,0.8474455655551137,0.9212745520257903,default,mse
0.3,0,gauche,mol2vec,10000,0.3657708122641361,0.22032955563357381,0.46939275200366465,0.8018839406708798,0.8959956053076807,default,mse
0.3,1,gauche,mol2vec,10000,0.35406408384687804,0.20980849632286247,0.4580485741958624,0.8068231090338842,0.8986661972065889,default,mse
0.3,2,gauche,mol2vec,10000,0.3517552561550183,0.2057640351430834,0.4536122078858586,0.8148815420084021,0.9031360305953541,default,mse
0.3,3,gauche,mol2vec,10000,0.3558758573004634,0.20971789264212493,0.4579496616901523,0.8090222788978839,0.8999815457658453,default,mse
0.3,4,gauche,mol2vec,10000,0.3675113827459463,0.22638591628531685,0.475800290337571,0.8006583303373326,0.8960148836553753,default,mse
0.3,5,gauche,mol2vec,10000,0.3359103458584491,0.18874824116023114,0.4344516557227411,0.8340418596293848,0.9134703685130126,default,mse
0.3,6,gauche,mol2vec,10000,0.34204391719133853,0.20719573910288494,0.45518758671879983,0.8069436941688187,0.8996221204674393,default,mse
0.3,7,gauche,mol2vec,10000,0.3491825109600613,0.20208623188654395,0.44954002256366893,0.8323271916107351,0.9124784381077476,default,mse
0.3,8,gauche,mol2vec,10000,0.3545795551787305,0.21159659428385516,0.4599962981197296,0.7928886584980017,0.8913906655853849,default,mse
0.3,9,gauche,mol2vec,10000,0.3461509858675697,0.19783888239987868,0.44479082994130925,0.8190385644705658,0.9056345681243596,default,mse
0.4,0,gauche,mol2vec,10000,0.4012996381480425,0.26153391187340047,0.5114038637646381,0.762879775142119,0.8739728882239667,default,mse
0.4,1,gauche,mol2vec,10000,0.3907563429688744,0.25195821577061767,0.5019543961064766,0.7660562091767936,0.8758951622721177,default,mse
0.4,2,gauche,mol2vec,10000,0.388626031040978,0.24760723143658947,0.4976014785313539,0.7771756425792395,0.8820948378146515,default,mse
0.4,3,gauche,mol2vec,10000,0.39471765926123953,0.25046200332416263,0.5004617900740901,0.7719558495161865,0.8790311553931396,default,mse
0.4,4,gauche,mol2vec,10000,0.40574689220938126,0.2695127143586328,0.5191461396934709,0.7638717807700811,0.8754421722924651,default,mse
0.4,5,gauche,mol2vec,10000,0.3693462246081469,0.22503976219724933,0.47438356020972033,0.8000725166579845,0.8946924591882475,default,mse
0.4,6,gauche,mol2vec,10000,0.3817265479109328,0.24891703715137692,0.49891586179573094,0.7678309264599015,0.8776395801992034,default,mse
0.4,7,gauche,mol2vec,10000,0.38324836096684656,0.2395218000828127,0.48940964445218355,0.8003900039490115,0.8948879926222868,default,mse
0.4,8,gauche,mol2vec,10000,0.3973387471762562,0.25853994044826073,0.5084682295367733,0.7468021893069945,0.8651740085481099,default,mse
0.4,9,gauche,mol2vec,10000,0.3809147523417203,0.2371000788249748,0.4869292338984945,0.7828899499057689,0.8853765312918094,default,mse
0.5,0,gauche,mol2vec,10000,0.43752081507585444,0.30749386254847744,0.5545212913391852,0.7187639110160421,0.848409757711543,default,mse
0.5,1,gauche,mol2vec,10000,0.42824174367408707,0.2988918674322846,0.5467100396300443,0.7200291377855341,0.8494709098656654,default,mse
0.5,2,gauche,mol2vec,10000,0.42634761170152524,0.2949922848896377,0.5431319221787997,0.7340952079326795,0.8574261089458968,default,mse
0.5,3,gauche,mol2vec,10000,0.4311307610413369,0.2965249513231013,0.5445410464998036,0.7297373706267956,0.8545875459861704,default,mse
0.5,5,gauche,mol2vec,10000,0.4036079675241924,0.26743908529154475,0.5171451298151659,0.759718320756133,0.8718693488418304,default,mse
0.5,6,gauche,mol2vec,10000,0.4213408037046315,0.2962201403311199,0.5442610957354199,0.7233313466232847,0.8519615942183855,default,mse
0.5,7,gauche,mol2vec,10000,0.4191974021438837,0.2830597757496016,0.5320336227623228,0.7626669540782303,0.8736176998521589,default,mse
0.5,8,gauche,mol2vec,10000,0.44113883706033946,0.31220674001582405,0.5587546331045713,0.6943686726024627,0.8344114429109766,default,mse
0.5,9,gauche,mol2vec,10000,0.4166818409169153,0.28173675479546795,0.53078880432378,0.7415068670527097,0.8616297933494115,default,mse
0.6,0,gauche,mol2vec,10000,0.4720196888240289,0.3554252713392781,0.5961755373539559,0.6720283810301153,0.8204765895971127,default,mse
0.6,1,gauche,mol2vec,10000,0.46451979363657164,0.34761961158276583,0.5895927506192438,0.6714883368149243,0.8206805914112922,default,mse
0.6,2,gauche,mol2vec,10000,0.46349430808734177,0.34538437950876055,0.5876941207029049,0.6877998596895278,0.8301039782147086,default,mse
0.6,3,gauche,mol2vec,10000,0.4654912455997628,0.34504738151006425,0.5874073386586725,0.6848732158322615,0.8278519383387823,default,mse
0.6,4,gauche,mol2vec,10000,0.4813524252008046,0.36693412303566,0.6057508753899246,0.6801984269427066,0.8267582768768604,default,mse
0.6,5,gauche,mol2vec,10000,0.4374778822721133,0.3136335544068528,0.5600299584904836,0.7148963941273043,0.8457996364788564,default,mse
0.6,6,gauche,mol2vec,10000,0.4606408002716585,0.3492563176769894,0.5909791178011194,0.6732635474199462,0.8221518932524946,default,mse
0.6,7,gauche,mol2vec,10000,0.45405117629055164,0.33033440704040784,0.574747254922029,0.7209769102534216,0.8494514112735956,default,mse
0.6,8,gauche,mol2vec,10000,0.48361380519097813,0.369602910265471,0.6079497596557392,0.6386211255136907,0.8004536157743165,default,mse
0.6,9,gauche,mol2vec,10000,0.45080463336091403,0.3294630859756919,0.5739887507396743,0.6969049746513685,0.8353020881948601,default,mse
0.7,0,gauche,mol2vec,10000,0.50383943065202,0.4032231196590492,0.6349985194148481,0.6246520445896564,0.7911496237707748,default,mse
0.7,1,gauche,mol2vec,10000,0.4986943648226902,0.39579073527149256,0.6291190151882969,0.6227102725576026,0.7906423050974792,default,mse
0.7,2,gauche,mol2vec,10000,0.4976813394731098,0.3962756361473729,0.6295042781009299,0.6404716963843508,0.8012108006892649,default,mse
0.7,3,gauche,mol2vec,10000,0.49706311803505016,0.39381990075027495,0.6275507156798364,0.6393144807660813,0.7998085992337036,default,mse
0.7,4,gauche,mol2vec,10000,0.5154169658839869,0.41701454732670185,0.6457666353464708,0.6367496200571374,0.8002990941277355,default,mse
0.7,5,gauche,mol2vec,10000,0.4699110220448011,0.361317158158721,0.601096629635137,0.6676590315138562,0.8174206841309646,default,mse
