sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,mol2vec,10000,0.8763693549137704,1.1233914700711012,1.0599016322617403,0.008632968919085937,0.19714632410006916,default,mse
0.0,1,gauche_rbf,mol2vec,10000,0.8737288830904699,1.1122964236145116,1.0546546466092641,-0.00427151227638034,0.16100069368033257,default,mse
0.0,2,gauche_rbf,mol2vec,10000,0.8556962962470159,1.0789367211493803,1.0387187882913163,0.02077158047000538,0.20980785960063106,default,mse
0.0,3,gauche_rbf,mol2vec,10000,0.8587844800848752,1.0996253826311468,1.048630241138957,-0.010132547051851848,0.1379199479567474,default,mse
0.0,4,gauche_rbf,mol2vec,10000,0.8596190572449097,1.0851710213952255,1.0417154224620204,0.020469874234148144,0.21172647945531575,default,mse
0.0,5,gauche_rbf,mol2vec,10000,0.887248791819189,1.1469190635189113,1.0709430720252646,0.013049975683634307,0.15042752523510539,default,mse
0.0,6,gauche_rbf,mol2vec,10000,0.8531465633885832,1.0591781134203568,1.0291637932906292,0.013397093670108218,0.18339615296392192,default,mse
0.0,7,gauche_rbf,mol2vec,10000,0.9130917253021746,1.1951100104290449,1.0932108718948257,0.00854945766042381,0.16683967151134566,default,mse
0.0,8,gauche_rbf,mol2vec,10000,0.8445139063660073,1.024749976843516,1.012299351399336,0.004937640617139749,0.15117176806610527,default,mse
0.0,9,gauche_rbf,mol2vec,10000,0.867994305090421,1.0775842514998277,1.0380675563275388,0.011198437786098525,0.15185317623754552,default,mse
0.1,0,gauche_rbf,mol2vec,10000,0.8738454794745253,1.1183690908335033,1.0575297115606273,0.008184889367617854,0.19420170722736013,default,mse
0.1,1,gauche_rbf,mol2vec,10000,0.8704696683093093,1.1068722813393685,1.0520799785849784,-0.00464857437015187,0.15735521122209017,default,mse
0.1,2,gauche_rbf,mol2vec,10000,0.8584905044456387,1.085470897471539,1.0418593462994605,0.019324738056646362,0.2069280508326988,default,mse
0.1,3,gauche_rbf,mol2vec,10000,0.8602177195456374,1.1041151265758713,1.0507688264199082,-0.00990453222804244,0.13762670943839986,default,mse
0.1,4,gauche_rbf,mol2vec,10000,0.8667449309969625,1.096272332401642,1.0470302442630977,0.020057588340907206,0.21014561516048857,default,mse
0.1,5,gauche_rbf,mol2vec,10000,0.886090795580079,1.1415117214549164,1.0684155191005587,0.012556575509551804,0.14875567135480064,default,mse
0.1,6,gauche_rbf,mol2vec,10000,0.851457160620713,1.0586677233527677,1.028915799933487,0.014280757389071863,0.18300515820991506,default,mse
0.1,7,gauche_rbf,mol2vec,10000,0.9128667603874139,1.1980685298873026,1.0945631685230883,0.008397835612938387,0.16485176035185334,default,mse
0.1,8,gauche_rbf,mol2vec,10000,0.8413516199157626,1.0220118173217236,1.010946001189838,0.003915411449965989,0.14930982094015255,default,mse
0.1,9,gauche_rbf,mol2vec,10000,0.8679083039260463,1.0806886136499296,1.0395617411438003,0.010522481607108114,0.14996664287829925,default,mse
0.2,0,gauche_rbf,mol2vec,10000,0.8709980726727871,1.1119929032050946,1.054510741152073,0.0075622220729884004,0.19016285020115886,default,mse
0.2,1,gauche_rbf,mol2vec,10000,0.8668474959147303,1.1001859413991197,1.048897488508348,-0.005220249715729874,0.15155675039898014,default,mse
0.2,2,gauche_rbf,mol2vec,10000,0.8602517290180369,1.0907673220719867,1.0443980668653052,0.017421742127925022,0.20220642336954892,default,mse
0.2,3,gauche_rbf,mol2vec,10000,0.8599319098150509,1.1071337764060047,1.052204246525362,-0.009718432049691028,0.13600886529577483,default,mse
0.2,4,gauche_rbf,mol2vec,10000,0.8727103521243555,1.1065036434447748,1.0519047691900512,0.01911983454078403,0.20652271291026117,default,mse
0.2,5,gauche_rbf,mol2vec,10000,0.8840488015213537,1.1340609445725625,1.064922975887253,0.011827266655990876,0.14586052983114606,default,mse
0.2,6,gauche_rbf,mol2vec,10000,0.8485450705113945,1.0579968571145417,1.028589741886697,0.014798105929345495,0.18084807337844944,default,mse
0.2,7,gauche_rbf,mol2vec,10000,0.9108353295133913,1.1984875123243095,1.0947545443268594,0.00796382113133709,0.16144089987010235,default,mse
0.2,8,gauche_rbf,mol2vec,10000,0.8388835830927792,1.0205376832186326,1.010216651624112,0.0026843642249826383,0.145792551012404,default,mse
0.2,9,gauche_rbf,mol2vec,10000,0.8673774181241153,1.0829584450034542,1.0406528936218138,0.009488801923133394,0.14630617816198654,default,mse
0.3,0,gauche_rbf,mol2vec,10000,0.8684712585056402,1.104527411134251,1.050964990441761,0.006830393291237913,0.18521535469003586,default,mse
