sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,1,gauche,morgan,10000,0.3444833769763461,0.21151509740974775,0.4599077053167817,0.8090269983475276,0.9043287775218579,default,mse
0.0,2,gauche,morgan,10000,0.340403005596089,0.22612212794836176,0.47552300464684333,0.7947746057472662,0.8948614674401084,default,mse
0.0,3,gauche,morgan,10000,0.35354362723230054,0.23873261291274042,0.4886027148028758,0.78069660253852,0.8890184109799358,default,mse
0.0,4,gauche,morgan,10000,0.336654460803053,0.20081150116169139,0.44811996291360573,0.8187374053398155,0.9097992569291316,default,mse
0.0,5,gauche,morgan,10000,0.3274955060626024,0.20668833386015684,0.4546298866772364,0.8221399725423368,0.9108991269549033,default,mse
0.0,6,gauche,morgan,10000,0.3403329623770619,0.22822676009861026,0.4777308448264674,0.7874114070499294,0.8895881151560086,default,mse
0.0,7,gauche,morgan,10000,0.35830770871409723,0.23796019017465359,0.4878116339066275,0.802590759390266,0.9024086379362555,default,mse
0.0,8,gauche,morgan,10000,0.32595629498792233,0.19821334237050564,0.44521157034662256,0.807529016270008,0.9030039778392511,default,mse
0.0,9,gauche,morgan,10000,0.33328371494305953,0.20623618401775612,0.4541323419640536,0.8107557152417947,0.9029881826705725,default,mse
0.1,0,gauche,morgan,10000,0.360860265713389,0.2329805719520504,0.48268061070655244,0.7933833708032803,0.8952354530523574,default,mse
0.1,1,gauche,morgan,10000,0.35085940093466944,0.21937202107315376,0.46837166980204276,0.8008877881003956,0.8996373092730207,default,mse
0.1,2,gauche,morgan,10000,0.3485898635143667,0.23591943467857093,0.485715384436782,0.786857156705114,0.8908615103173239,default,mse
0.1,3,gauche,morgan,10000,0.3600889752074784,0.24443422705887502,0.49440289952514943,0.7764225597524651,0.886324876454494,default,mse
0.1,4,gauche,morgan,10000,0.34569343312172446,0.20963976366118467,0.45786435072102377,0.8126059652242339,0.9069467305544963,default,mse
0.1,5,gauche,morgan,10000,0.3305394993718524,0.20806035359455777,0.456136332245698,0.8200212716236942,0.9094175450228776,default,mse
0.1,6,gauche,morgan,10000,0.34346829353019687,0.22874617738066927,0.4782741654957638,0.7870157899933591,0.8894624151441313,default,mse
0.1,7,gauche,morgan,10000,0.3665738806655081,0.24682111552190275,0.496810945452999,0.7957142298104014,0.8985591880929372,default,mse
0.1,8,gauche,morgan,10000,0.3369672515601133,0.2045272777981938,0.45224692127000027,0.8006613368847766,0.8993671026223713,default,mse
0.1,9,gauche,morgan,10000,0.33955677587026767,0.21369505371120145,0.4622716233030116,0.8043410018683793,0.8994233011002355,default,mse
0.2,0,gauche,morgan,10000,0.37786557134438414,0.25325442574244983,0.503243902836835,0.7739740435306883,0.8838179005869289,default,mse
0.2,1,gauche,morgan,10000,0.36777893970623254,0.23873521314699736,0.48860537568368745,0.7818718986079977,0.8886418972653496,default,mse
0.2,2,gauche,morgan,10000,0.36723949175629605,0.25715789133285577,0.5071073765316925,0.7683486223405417,0.8806594584089118,default,mse
0.2,3,gauche,morgan,10000,0.3796365586437731,0.2625751721686753,0.5124208935715593,0.7605284954831819,0.8768471252096337,default,mse
0.2,4,gauche,morgan,10000,0.36672067874396475,0.23096820197132972,0.48059151258769617,0.7952540603841558,0.8975493468378086,default,mse
0.2,5,gauche,morgan,10000,0.346155455480293,0.22126944418421288,0.47039286153619814,0.8071951666165214,0.9017882214514061,default,mse
0.2,6,gauche,morgan,10000,0.3598477437098594,0.24156628794414675,0.4914939347989421,0.7750545638904248,0.8827052883146356,default,mse
0.2,7,gauche,morgan,10000,0.384254998903937,0.26629344651865117,0.516036284110576,0.7795782347120155,0.889260007498779,default,mse
0.2,8,gauche,morgan,10000,0.3599270853039404,0.22446604827260028,0.4737784801704276,0.7806416134121965,0.8881101276566442,default,mse
0.2,9,gauche,morgan,10000,0.3575940268083433,0.23294642345484584,0.4826452356077348,0.786939155377061,0.8895444030608126,default,mse
0.3,0,gauche,morgan,10000,0.4041027583026487,0.2839480384137171,0.532867749459204,0.7446794359340723,0.866451157680852,default,mse
0.3,1,gauche,morgan,10000,0.3936080048643027,0.2680870073523128,0.5177711920842186,0.7531643594211932,0.8718763464757734,default,mse
0.3,2,gauche,morgan,10000,0.3956071782221395,0.28853992227887726,0.537159121935835,0.7404110711371966,0.8648256807033703,default,mse
0.3,3,gauche,morgan,10000,0.40754461665180763,0.2915465270799935,0.5399504857669761,0.7345057656478206,0.8613200095010258,default,mse
0.3,4,gauche,morgan,10000,0.3959113194047136,0.2633723544661821,0.5131981629606464,0.7680903222967771,0.882226093747699,default,mse
0.3,5,gauche,morgan,10000,0.3707841187146756,0.24524011777870353,0.49521724301431946,0.7843710031911036,0.8883495995221835,default,mse
0.3,6,gauche,morgan,10000,0.38422825563522817,0.2654394449396236,0.5152081569032304,0.7526746501457884,0.8698491659258107,default,mse
0.3,7,gauche,morgan,10000,0.4103033116972993,0.2951050628644915,0.5432357341564448,0.7551486105784795,0.8749745261425257,default,mse
