sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,pdv,10000,0.2899437073557043,0.1542918264165913,0.39279998270950994,0.8638410260806175,0.9300889254691606,default,mse
0.0,1,gauche,pdv,10000,0.28289100687133223,0.149727984831948,0.3869470051983191,0.8648134197279518,0.9309864567317703,default,mse
0.0,5,gauche,pdv,10000,0.2881871271521703,0.1538761010470182,0.39227044375917264,0.8675861039364805,0.9324541408181938,default,mse
0.0,6,gauche,pdv,10000,0.2721534828039428,0.14739514174419893,0.38392074930146575,0.8627044182832166,0.9306052622365788,default,mse
0.0,7,gauche,pdv,10000,0.27227143077546617,0.14258146663019808,0.37759961153343113,0.8817159331070008,0.9393923985497447,default,mse
0.0,8,gauche,pdv,10000,0.26850268051468956,0.13733210685188266,0.3705834681308418,0.8666464861175389,0.9315876850991358,default,mse
0.0,9,gauche,pdv,10000,0.2792902265318537,0.15460484117891632,0.39319822123061077,0.8581331266944847,0.9289886348544039,default,mse
0.1,0,gauche,pdv,10000,0.299414067293932,0.16146926938586784,0.401832389667468,0.8568024969642903,0.9262843819435296,default,mse
0.1,1,gauche,pdv,10000,0.2917420034740753,0.15591512950050515,0.3948608989258181,0.8584842034476838,0.9277372002553861,default,mse
0.1,2,gauche,pdv,10000,0.282787386893494,0.14971304411897493,0.38692769882624706,0.8647408427994614,0.930375084348386,default,mse
0.1,3,gauche,pdv,10000,0.2975827425409046,0.16289626659557555,0.4036040963562877,0.8510031481698076,0.9233599222419868,default,mse
0.0,0,gauche,pdv,10000,0.2899437073557116,0.1542918264166386,0.3927999827095702,0.8638410260805758,0.9300889254691846,default,mse
0.1,4,gauche,pdv,10000,0.29228118360973016,0.15536562917672678,0.39416446970360836,0.8611208503175156,0.9288892390361485,default,mse
0.0,1,gauche,pdv,10000,0.2828910068713141,0.14972798483182542,0.3869470051981607,0.8648134197280625,0.9309864567317783,default,mse
0.1,5,gauche,pdv,10000,0.29543739651715856,0.1588076075734113,0.39850672211822386,0.86262644096413,0.9297095066477243,default,mse
0.0,2,gauche,pdv,10000,0.27252504608989847,0.1434133618062466,0.3786995666834682,0.8698399666373291,0.9330699817906943,default,mse
0.1,6,gauche,pdv,10000,0.2837745526536702,0.15331079047480992,0.3915492184576671,0.8572532316444714,0.9277148544901095,default,mse
0.1,7,gauche,pdv,10000,0.2824759710403788,0.1499506675252377,0.38723464143234615,0.8758907334931023,0.9363612087642228,default,mse
0.0,3,gauche,pdv,10000,0.2912808393944064,0.15952933748225512,0.3994112385527667,0.8534539320883439,0.9249011870436126,default,mse
0.1,8,gauche,pdv,10000,0.2807628927161,0.1440385403428552,0.37952409718337415,0.8596155467470535,0.9277900903330732,default,mse
0.0,4,gauche,pdv,10000,0.2833868512981068,0.14809645360113366,0.38483302041422285,0.8663206674696471,0.9317022123658628,default,mse
0.1,9,gauche,pdv,10000,0.28721881345296923,0.16204113784443352,0.4025433366041892,0.8516352805732358,0.9253444134375138,default,mse
0.0,5,gauche,pdv,10000,0.2881871281542984,0.1538761017519152,0.3922704446576561,0.8675861033299006,0.9324541386226403,default,mse
0.2,1,gauche,pdv,10000,0.31281785991155153,0.1740565130620251,0.41720080664114867,0.8409676719715644,0.9184049299883577,default,mse
0.2,2,gauche,pdv,10000,0.3063165091319171,0.1683648334458261,0.4103228405119877,0.8483346343564151,0.9215905782751572,default,mse
0.0,6,gauche,pdv,10000,0.27215348280393575,0.14739514174412963,0.3839207493013755,0.8627044182832813,0.9306052622365588,default,mse
0.2,3,gauche,pdv,10000,0.31712848556461204,0.17868752857269005,0.42271447641722665,0.8370349681111288,0.9156372029710567,default,mse
0.0,7,gauche,pdv,10000,0.27227143077550414,0.14258146663016213,0.3775996115333835,0.8817159331070307,0.9393923985497401,default,mse
0.2,4,gauche,pdv,10000,0.5640988284868816,0.5027455174316322,0.7090454974341437,0.5263928327811727,0.7273682218114818,default,mse
0.0,8,gauche,pdv,10000,0.26850268051453735,0.13733210685181674,0.3705834681307529,0.866646486117603,0.9315876850991496,default,mse
0.2,5,gauche,pdv,10000,0.31404774787544193,0.17500738802849009,0.4183388435568589,0.8475059653441374,0.921556441529598,default,mse
0.2,6,gauche,pdv,10000,0.3101597185638356,0.17228635722611188,0.4150739177858709,0.8395677224177968,0.9182043531576509,default,mse
0.0,9,gauche,pdv,10000,0.27929022653188607,0.15460484117894235,0.39319822123064385,0.8581331266944608,0.9289886348544312,default,mse
0.2,8,gauche,pdv,10000,0.30584775399230396,0.1641155181246305,0.4051117353578275,0.8396188842505018,0.916964559246189,default,mse
0.1,0,gauche,pdv,10000,0.2994140672939484,0.16146926938595801,0.4018323896675802,0.8568024969642104,0.9262843819435261,default,mse
0.2,9,gauche,pdv,10000,0.30849938516999315,0.1808103113719375,0.42521795748996477,0.8346246442160596,0.9159673667952026,default,mse
0.1,1,gauche,pdv,10000,0.2917420034740203,0.15591512950047273,0.3948608989257771,0.8584842034477133,0.9277372002554016,default,mse
0.3,2,gauche,pdv,10000,0.33996502658507316,0.19769306905315728,0.44462688746088813,0.8221426981965118,0.9073795744749462,default,mse
0.1,2,gauche,pdv,10000,0.28278738689351857,0.14971304411900735,0.3869276988262889,0.8647408427994321,0.930375084348371,default,mse
0.3,3,gauche,pdv,10000,0.3456904863579599,0.20514860394320295,0.4529333327800052,0.8131832607377448,0.9024625352332304,default,mse
0.3,4,gauche,pdv,10000,0.35055725110119335,0.20740085817584497,0.45541284366588186,0.8173754178853725,0.9052539774085726,default,mse
0.1,3,gauche,pdv,10000,0.2975827425409038,0.16289626659553258,0.40360409635623445,0.8510031481698469,0.9233599222419925,default,mse
0.3,5,gauche,pdv,10000,0.3405530958741749,0.2010276946906908,0.4483611208509172,0.8232450688346431,0.9083829648048674,default,mse
0.1,4,gauche,pdv,10000,0.29228118360971805,0.1553656291766554,0.39416446970351776,0.8611208503175793,0.9288892390361615,default,mse
0.3,6,gauche,pdv,10000,0.3442759949640798,0.20207160829323773,0.4495237572067106,0.8117181444977177,0.9029798153056225,default,mse
0.1,5,gauche,pdv,10000,0.2954373965171629,0.15880760757338233,0.39850672211818755,0.8626264409641551,0.9297095066477372,default,mse
0.3,7,gauche,pdv,10000,0.33858891536350727,0.19960035674662027,0.4467665573278961,0.8343897451163597,0.914208872947156,default,mse
0.3,8,gauche,pdv,10000,0.34125704992695555,0.19572542781300703,0.44240866606906226,0.8084234008699384,0.8998517291111436,default,mse
0.1,6,gauche,pdv,10000,0.28377455265352375,0.15331079047454613,0.39154921845733026,0.857253231644717,0.927714854490082,default,mse
0.3,9,gauche,pdv,10000,0.33906986855490207,0.20920819583592323,0.45739282442548573,0.8086391563491016,0.9015254801541187,default,mse
0.1,7,gauche,pdv,10000,0.2824759710404548,0.14995066752517042,0.3872346414322593,0.875890733493158,0.9363612087642184,default,mse
0.4,1,gauche,pdv,10000,0.37675601649463764,0.2383163616399874,0.48817656809804727,0.7787227025452113,0.8841524251661995,default,mse
0.1,8,gauche,pdv,10000,0.2807628927161519,0.14403854034297467,0.37952409718353153,0.8596155467469371,0.927790090333053,default,mse
0.4,2,gauche,pdv,10000,0.3772042579181614,0.2353632300834012,0.48514248431095086,0.7881941484522467,0.8886184207741308,default,mse
0.1,9,gauche,pdv,10000,0.2872188134530424,0.1620411378445381,0.40254333660431907,0.8516352805731401,0.9253444134374997,default,mse
0.4,3,gauche,pdv,10000,0.37834612042270976,0.2400407641442958,0.48993955152069096,0.7814443252299479,0.8846973088511293,default,mse
0.2,0,gauche,pdv,10000,0.3240940109957577,0.18135163232854376,0.4258540035370617,0.8381462593036162,0.9161621887942042,default,mse
0.4,4,gauche,pdv,10000,0.38869576059940786,0.24744021236304276,0.49743362608798647,0.7832101656124085,0.8863624049450078,default,mse
0.4,5,gauche,pdv,10000,0.3712472909984159,0.2348421951396721,0.4846051951224544,0.7913639412059286,0.8907836927801474,default,mse
0.2,2,gauche,pdv,10000,0.3063165091319058,0.16836483344581246,0.4103228405119711,0.8483346343564273,0.921590578275162,default,mse
0.4,6,gauche,pdv,10000,0.38023157732219315,0.24004466657925497,0.48994353407229996,0.7761063345211877,0.883079364373997,default,mse
0.2,3,gauche,pdv,10000,0.31712848556461076,0.17868752857269107,0.42271447641722787,0.8370349681111279,0.9156372029710718,default,mse
0.4,7,gauche,pdv,10000,0.3754837657069154,0.23803894547753185,0.4878923502961815,0.8016257687178215,0.8962777770577689,default,mse
0.2,4,gauche,pdv,10000,0.3164269074281457,0.17583369740048801,0.4193252882911881,0.844129039049021,0.9197730199505825,default,mse
0.4,8,gauche,pdv,10000,0.38169238242814374,0.23642392000834334,0.48623442906518183,0.7684612333483907,0.877456953635813,default,mse
0.4,9,gauche,pdv,10000,0.37380123993640746,0.2451198201862823,0.4950957687016546,0.7755463570342476,0.8828248257740758,default,mse
0.2,5,gauche,pdv,10000,0.3140477478755639,0.17500738802864457,0.4183388435570436,0.8475059653440027,0.9215564415296265,default,mse
0.5,0,gauche,pdv,10000,0.423221807324786,0.2928341984453853,0.5411415696889172,0.7321717447984877,0.8563736692244126,default,mse
0.2,6,gauche,pdv,10000,0.3101597185622546,0.17228635722582675,0.4150739177855274,0.8395677224180622,0.9182043531587145,default,mse
0.5,1,gauche,pdv,10000,0.4125569042732847,0.27957020110602143,0.5287439844632007,0.7381276682917536,0.860997632456751,default,mse
0.2,7,gauche,pdv,10000,0.3057553073158859,0.16945496570237834,0.41164908077436335,0.8597353289566704,0.92781563853625,default,mse
0.5,2,gauche,pdv,10000,0.41450236862664436,0.27881648120872476,0.5280307578245085,0.7486760086336337,0.8662648866737779,default,mse
0.2,8,gauche,pdv,10000,0.3058477539922783,0.16411551812463943,0.40511173535783856,0.839618884250493,0.9169645592461867,default,mse
0.5,3,gauche,pdv,10000,0.4128993055618144,0.28090853435967067,0.5300080512215551,0.7439706885688201,0.8632823061783588,default,mse
0.5,4,gauche,pdv,10000,0.42668851907934596,0.293248944011876,0.5415246476494638,0.7439417966517292,0.8641253319698965,default,mse
0.2,9,gauche,pdv,10000,0.3084993851699737,0.1808103113719043,0.42521795748992575,0.83462464421609,0.9159673667951505,default,mse
0.5,5,gauche,pdv,10000,0.4034285192951472,0.2741234570387026,0.5235680061259498,0.7537127211395084,0.8695203768440086,default,mse
0.3,0,gauche,pdv,10000,0.3539883041184712,0.21162810738033858,0.4600305504858765,0.8097081140253353,0.9005133801318228,default,mse
0.5,6,gauche,pdv,10000,0.4167822789691871,0.28363343320340345,0.5325724675604283,0.7350872903872022,0.859537314281384,default,mse
0.5,7,gauche,pdv,10000,0.41309813019424096,0.28216887099264354,0.5311956993356061,0.7634139381349905,0.8748606740177899,default,mse
0.3,1,gauche,pdv,10000,0.342284065315455,0.20232358203755105,0.4498039373299783,0.8137146911009865,0.9035949646089732,default,mse
0.5,8,gauche,pdv,10000,0.4223502037774242,0.2835476263422287,0.5324919026071934,0.7224241942534492,0.8509275159975361,default,mse
0.3,2,gauche,pdv,10000,0.33996502658506716,0.19769306905318865,0.4446268874609234,0.8221426981964834,0.9073795744749527,default,mse
0.5,9,gauche,pdv,10000,0.4101617414078863,0.28637031573393573,0.5351357918640237,0.7372555804765004,0.8606992826059767,default,mse
0.3,3,gauche,pdv,10000,0.345690486358032,0.20514860394325563,0.45293333278006337,0.8131832607376969,0.9024625352332281,default,mse
0.6,0,gauche,pdv,10000,0.45768301980560677,0.3389723600700197,0.582213328660569,0.6872104414542757,0.8296989099983918,default,mse
0.6,1,gauche,pdv,10000,0.4479086338591502,0.3238282907662434,0.5690591276539226,0.6939718967476315,0.8350419482941406,default,mse
0.3,4,gauche,pdv,10000,0.35055725110107605,0.2074008581756861,0.45541284366570745,0.8173754178855124,0.9052539774085842,default,mse
0.6,2,gauche,pdv,10000,0.45018107129176776,0.32560537172205184,0.5706184116570826,0.7056785171290887,0.84126423119012,default,mse
0.3,5,gauche,pdv,10000,0.3405530957528098,0.201027697244742,0.44836112369912495,0.8232450665889768,0.908382964058917,default,mse
0.6,3,gauche,pdv,10000,0.4469612762656629,0.3253438069587469,0.570389171494995,0.7028682055574185,0.839175318559826,default,mse
0.3,6,gauche,pdv,10000,0.344275994964098,0.2020716082932738,0.44952375720675075,0.8117181444976841,0.9029798153056273,default,mse
0.6,4,gauche,pdv,10000,0.4637739994059044,0.342323405149404,0.5850841009200336,0.7016479073807225,0.8395016176709676,default,mse
0.3,7,gauche,pdv,10000,0.33858891536343744,0.19960035674657553,0.44676655732784604,0.8343897451163969,0.9142088729471753,default,mse
0.6,5,gauche,pdv,10000,0.4354599109338699,0.31660804242281576,0.5626793424525338,0.7121924829957931,0.8454173462600663,default,mse
0.6,6,gauche,pdv,10000,0.4530573485710554,0.3304917973978866,0.5748841599817189,0.6908181412241186,0.8333412167528804,default,mse
0.3,8,gauche,pdv,10000,0.341257049926921,0.19572542781305202,0.4424086660691131,0.8084234008698944,0.8998517291111231,default,mse
0.6,7,gauche,pdv,10000,0.4491417286193246,0.32950679716532144,0.5740268261721934,0.7216759662994457,0.8508069986423079,default,mse
0.3,9,gauche,pdv,10000,0.33906986855482113,0.20920819583578137,0.4573928244253307,0.8086391563492313,0.9015254801541246,default,mse
0.6,8,gauche,pdv,10000,0.46107240273202105,0.3345434362835396,0.5783972996855532,0.6729004910050831,0.8214252017063858,default,mse
0.4,0,gauche,pdv,10000,0.38805699876512695,0.249632640573232,0.49963250552103994,0.7736700856856964,0.8802755449299839,default,mse
0.7,0,gauche,pdv,10000,0.48972365807536344,0.3861131021008667,0.621379998149978,0.640579231783013,0.8010971440369896,default,mse
0.7,1,gauche,pdv,10000,0.4809417968594736,0.36918651767132654,0.6076072067309,0.6480708914722916,0.8071401587066437,default,mse
0.4,1,gauche,pdv,10000,0.3767560164946678,0.23831636164000006,0.48817656809806026,0.7787227025451995,0.8841524251661474,default,mse
0.7,2,gauche,pdv,10000,0.48354864897588934,0.3736028705335509,0.6112306197611103,0.6610419768049748,0.8144904149762553,default,mse
0.4,2,gauche,pdv,10000,0.3772042579182,0.23536323008344248,0.4851424843109934,0.7881941484522095,0.888618420774107,default,mse
0.7,3,gauche,pdv,10000,0.4786897961329849,0.3712389177702806,0.6092937860919645,0.6599955930091015,0.8132696231803296,default,mse
0.4,3,gauche,pdv,10000,0.37834612042271043,0.2400407641442971,0.4899395515206923,0.7814443252299468,0.8846973088511465,default,mse
0.7,4,gauche,pdv,10000,0.4986860114508711,0.3925174743354504,0.6265121501898031,0.6580883746128358,0.81334762623076,default,mse
0.7,6,gauche,pdv,10000,0.48697949544419694,0.3786134816054286,0.6153157576443404,0.6451630553015681,0.8053969834539445,default,mse
0.4,4,gauche,pdv,10000,0.38869576059936345,0.24744021236297592,0.4974336260879193,0.783210165612467,0.8863624049450067,default,mse
0.7,7,gauche,pdv,10000,0.4838713976291032,0.3779416079647498,0.6147695567973009,0.6781048592503955,0.8249074742497089,default,mse
0.4,5,gauche,pdv,10000,0.3712472909985063,0.2348421951397431,0.48460519512252764,0.7913639412058655,0.8907836927801375,default,mse
0.7,8,gauche,pdv,10000,0.4972763972523779,0.3871652151874622,0.6222260161608981,0.6221533155683949,0.7900409578846064,default,mse
