sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,randomized_smiles,10000,0.43538557511790843,0.3233794937141538,0.5686646584008486,0.7146250642480316,0.845597761371297,default,mse
0.0,1,gauche,randomized_smiles,10000,0.4313063171792988,0.3087141802525076,0.5556205362047983,0.7212677753149039,0.8493919440601998,default,mse
0.0,2,gauche,randomized_smiles,10000,0.4167716106059629,0.3225399666064825,0.5679260221247856,0.7072670754973827,0.8418621181309824,default,mse
0.0,3,gauche,randomized_smiles,10000,0.42585945488331833,0.3127548537231476,0.5592448960188618,0.7126986499363442,0.8449538052404034,default,mse
0.0,4,gauche,randomized_smiles,10000,0.41367693959283336,0.2939573086258736,0.5421782996633797,0.7346592990311489,0.8580107671811327,default,mse
0.0,5,gauche,randomized_smiles,10000,0.41957812830145563,0.2948613310545695,0.5430113544435047,0.7462650965436107,0.8640751610183879,default,mse
0.0,6,gauche,randomized_smiles,10000,0.4314760967589939,0.3323489480172315,0.5764971361743538,0.6904237031762095,0.8341448322965914,default,mse
0.0,7,gauche,randomized_smiles,10000,0.4395426169810516,0.31919091067657696,0.5649698316517237,0.7352026183877871,0.8581922931280601,default,mse
0.0,8,gauche,randomized_smiles,10000,0.4036109311242734,0.2870050627131774,0.5357285345332815,0.7213096449751756,0.8500815091178193,default,mse
0.0,9,gauche,randomized_smiles,10000,0.40671210772148164,0.2883405945315413,0.5369735510539987,0.735415926944327,0.8579967665453447,default,mse
0.1,0,gauche,randomized_smiles,10000,0.44769702621376806,0.33520602359832563,0.5789697950656196,0.7027256903782676,0.8388273626493747,default,mse
0.1,1,gauche,randomized_smiles,10000,0.4309875795795614,0.31666941958780587,0.5627338799004427,0.7125761605028665,0.8442670466326795,default,mse
0.1,2,gauche,randomized_smiles,10000,0.42061424601869674,0.3252207644250976,0.5702813028892826,0.7061773290422437,0.8414092671941937,default,mse
0.1,3,gauche,randomized_smiles,10000,0.4380923960351096,0.326888907190885,0.571741993552061,0.7010034724087612,0.8379568232239771,default,mse
0.1,4,gauche,randomized_smiles,10000,0.4233993573984873,0.3121158315943701,0.5586732780385778,0.7210040500980974,0.8496554043680407,default,mse
0.1,5,gauche,randomized_smiles,10000,0.4345985739087144,0.31446948879888864,0.5607757919158857,0.7279740338350971,0.8533801600918686,default,mse
0.1,6,gauche,randomized_smiles,10000,0.42347292129844527,0.3271813346108163,0.5719976701096048,0.6953633985103176,0.8357967694159747,default,mse
0.1,7,gauche,randomized_smiles,10000,0.4393277693785077,0.3343333143150959,0.578215629601186,0.723283243127391,0.8505978508247272,default,mse
0.1,8,gauche,randomized_smiles,10000,0.41476832756788495,0.29661921680039804,0.5446275946005656,0.7109056612506377,0.8445110768601427,default,mse
0.2,0,gauche,randomized_smiles,10000,0.4575656022372782,0.3506850643866113,0.5921866803522444,0.6870185906322743,0.8289461795860275,default,mse
0.2,1,gauche,randomized_smiles,10000,0.4409516813149231,0.32088539274804395,0.5664674683934144,0.7068127463816574,0.8411593912860196,default,mse
0.2,2,gauche,randomized_smiles,10000,0.4414909880256609,0.3358766683679031,0.5795486764439232,0.6974376615556233,0.8360345642437179,default,mse
0.2,3,gauche,randomized_smiles,10000,0.4387048731410811,0.32639636870757555,0.5713110962580505,0.7023228478242474,0.8381876027952061,default,mse
0.2,4,gauche,randomized_smiles,10000,0.43975558618040306,0.32509572453888647,0.5701716623429179,0.7118130157411435,0.8440359068593231,default,mse
0.2,5,gauche,randomized_smiles,10000,0.44083388573898746,0.32970461346318386,0.5741991061149293,0.7127093471992872,0.8443651997894734,default,mse
0.2,6,gauche,randomized_smiles,10000,0.43380956121685355,0.3462129258674487,0.5883986113745074,0.6776080873750401,0.8246574240568321,default,mse
0.2,7,gauche,randomized_smiles,10000,0.4426293844147805,0.3439594836958405,0.5864805910649051,0.7152909409715018,0.846030445276791,default,mse
0.2,9,gauche,randomized_smiles,10000,0.42338517497542877,0.31246226516889447,0.5589832422970249,0.7142112201495727,0.8457524508080538,default,mse
0.3,0,gauche,randomized_smiles,10000,0.4672807518518433,0.36524298008569245,0.6043533569739581,0.6715806025019031,0.8196414720329188,default,mse
0.3,1,gauche,randomized_smiles,10000,0.5283432912525688,0.44772453108182686,0.669122209377201,0.5877667757050471,0.767306008172344,default,mse
0.3,2,gauche,randomized_smiles,10000,0.46464782718212283,0.366124588810701,0.6050822992045801,0.6706109536279521,0.8197633055101585,default,mse
0.3,3,gauche,randomized_smiles,10000,0.4585032063288602,0.355848863471142,0.5965306894629496,0.6759494187819903,0.8230551309297491,default,mse
0.3,4,gauche,randomized_smiles,10000,0.4576266940670717,0.34477600611774556,0.5871762990088629,0.6964112174163766,0.8346504889868414,default,mse
0.3,5,gauche,randomized_smiles,10000,0.44687069865207846,0.3347911777978454,0.5786114221114593,0.7056326409280201,0.8401520233885651,default,mse
0.3,6,gauche,randomized_smiles,10000,0.4595897284085577,0.3611062995688778,0.6009212091188643,0.6635362845347008,0.8159597621150019,default,mse
0.3,7,gauche,randomized_smiles,10000,0.46912616367119747,0.38281839263523276,0.6187231954882836,0.6823720527767048,0.8262813093626196,default,mse
0.3,8,gauche,randomized_smiles,10000,0.4537002825996666,0.3412841907472812,0.5841953361225004,0.6659500743935818,0.8169129581592689,default,mse
0.3,9,gauche,randomized_smiles,10000,0.4449772705826408,0.3444689749150066,0.5869147935731444,0.6849173456713256,0.8282363282916432,default,mse
0.4,0,gauche,randomized_smiles,10000,0.48647501296299267,0.393857509614648,0.6275806797652776,0.6429083304233296,0.801874440713779,default,mse
0.4,1,gauche,randomized_smiles,10000,0.4768604548778035,0.3716597814990171,0.6096390583771819,0.6549130262949572,0.8094479004424607,default,mse
0.4,2,gauche,randomized_smiles,10000,0.4943512319305252,0.41587894525223223,0.6448867693263929,0.625746153684595,0.7912447784357965,default,mse
0.4,3,gauche,randomized_smiles,10000,0.48258519489453605,0.3835140154363456,0.6192850841384326,0.6508127912095946,0.8072098906026853,default,mse
0.4,4,gauche,randomized_smiles,10000,0.4999350384511004,0.4078082538387315,0.6385986641379165,0.642706886777648,0.8020830524584988,default,mse
0.4,5,gauche,randomized_smiles,10000,0.4612521252195089,0.3566575493562971,0.5972081290105629,0.683142012053696,0.8266744397183481,default,mse
0.4,6,gauche,randomized_smiles,10000,0.46914248903471156,0.38010247715914136,0.6165245146457206,0.645472077836653,0.8047919799669195,default,mse
0.4,7,gauche,randomized_smiles,10000,0.5040868572449523,0.4346051520309029,0.6592458964839317,0.6378136242687131,0.7988667296875113,default,mse
0.4,8,gauche,randomized_smiles,10000,0.47945351215517396,0.3810745296132076,0.6173123436423474,0.6267994939519212,0.792371585311399,default,mse
0.4,9,gauche,randomized_smiles,10000,0.4643412623529085,0.3768388853227488,0.6138720431187177,0.6549325935472519,0.8101748307519598,default,mse
0.5,0,gauche,randomized_smiles,10000,0.5248925410924798,0.44925030265475646,0.6702613689112303,0.5891124556231937,0.7676633866816761,default,mse
0.5,1,gauche,randomized_smiles,10000,0.5221607326741657,0.42696455920771664,0.6534252514310391,0.6000639401689789,0.7747389661079336,default,mse
0.5,2,gauche,randomized_smiles,10000,0.5069102077809381,0.4394413013974548,0.6629036893828958,0.6038894782702584,0.7772682520167707,default,mse
0.5,3,gauche,randomized_smiles,10000,0.5101334414063133,0.42732300365251397,0.6536994750284828,0.6105237078921443,0.7819316564489848,default,mse
0.5,4,gauche,randomized_smiles,10000,0.538435090471017,0.46900077109095956,0.6848363097054357,0.5904793614205094,0.7691177836250319,default,mse
0.5,5,gauche,randomized_smiles,10000,0.49311178134416456,0.40566474152697957,0.6369181592064868,0.6355289459733521,0.7973425278439301,default,mse
0.5,6,gauche,randomized_smiles,10000,0.5012994163923034,0.4223052656031099,0.6498501870455297,0.60556824725792,0.7790839613049751,default,mse
0.5,7,gauche,randomized_smiles,10000,0.5204160340833871,0.4656134590977795,0.682358746626567,0.6096038012564458,0.7809061373485653,default,mse
0.5,8,gauche,randomized_smiles,10000,0.52014533258891,0.4378605393535644,0.6617103137730017,0.5713612785846689,0.7583481235161809,default,mse
0.5,9,gauche,randomized_smiles,10000,0.4832546900551981,0.39973964808243756,0.6322496722675605,0.6332393546909033,0.7961325684304894,default,mse
0.6,0,gauche,randomized_smiles,10000,0.5360007601735426,0.4648990227399711,0.6818350407099734,0.571010568350952,0.7558002352233424,default,mse
0.6,1,gauche,randomized_smiles,10000,0.5263716373223113,0.4432849743118966,0.6657964961697355,0.5810815059797552,0.7624796461187521,default,mse
0.6,2,gauche,randomized_smiles,10000,0.5415225333085006,0.4849595789911615,0.696390392661445,0.5616349273777514,0.7503056473237923,default,mse
0.6,3,gauche,randomized_smiles,10000,0.5214160293227257,0.43991179984481177,0.6632584713705598,0.5982349143012005,0.7738304678033653,default,mse
0.6,4,gauche,randomized_smiles,10000,0.5552084520423607,0.49758688042067456,0.705398384191993,0.5663279670619832,0.7529290175748438,default,mse
0.6,5,gauche,randomized_smiles,10000,0.513873293322146,0.43075777011566657,0.6563213923952704,0.60842648437308,0.7801538693760646,default,mse
0.6,6,gauche,randomized_smiles,10000,0.5313272410059625,0.46581523146868153,0.6825065797988189,0.564220291560781,0.7518205000652501,default,mse
0.6,7,gauche,randomized_smiles,10000,0.5501792559938937,0.49636848024029867,0.7045342292893219,0.5807331478112727,0.7625264057702692,default,mse
0.6,8,gauche,randomized_smiles,10000,0.5305352195423978,0.45791113925118637,0.6766913175526832,0.5522778432710929,0.7437602938043582,default,mse
0.6,9,gauche,randomized_smiles,10000,0.5279124386237738,0.46449946616991816,0.6815419768216174,0.5726760190560936,0.7572115180426684,default,mse
0.7,0,gauche,randomized_smiles,10000,0.5644558932369849,0.5152370785597996,0.717800166174263,0.5203817078927777,0.7215306296200172,default,mse
0.7,1,gauche,randomized_smiles,10000,0.5601574018522473,0.4908661894875429,0.700618433591026,0.5320790651771922,0.7296005141654132,default,mse
0.7,2,gauche,randomized_smiles,10000,0.5585462509377164,0.5094079080722296,0.7137281751985343,0.5378303778194075,0.7336255871801846,default,mse
0.7,3,gauche,randomized_smiles,10000,0.5497788676779737,0.4849201697096336,0.696362096692255,0.555879012549883,0.745638064677024,default,mse
0.7,4,gauche,randomized_smiles,10000,0.5787615507823135,0.5364978053132815,0.7324601049294641,0.5326709035263364,0.730222777784149,default,mse
0.7,5,gauche,randomized_smiles,10000,0.5388461820002659,0.47561438526041605,0.6896480154835625,0.5625279844752001,0.7500937844547166,default,mse
