sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,smiles,10000,0.3718933935850892,0.24934865064486156,0.4993482258352998,0.7799555737429775,0.8833666316050335,default,mse
0.0,2,gauche,smiles,10000,0.33010708747619816,0.2082878914859647,0.45638568282316294,0.8109607182803471,0.9011937409962814,default,mse
0.0,3,gauche,smiles,10000,0.3497082965251328,0.23221795747045604,0.48188998482066014,0.7866810637914369,0.8880549103238884,default,mse
0.0,4,gauche,smiles,10000,0.3361479907870905,0.21038242387543216,0.45867463836082345,0.8100982075132536,0.9003957364365702,default,mse
0.0,5,gauche,smiles,10000,0.33196047538950374,0.2041576573793029,0.45183808757042926,0.8243176773985561,0.907926904030065,default,mse
0.0,6,gauche,smiles,10000,0.3436820495165124,0.23587502691088805,0.48566966851028287,0.7802872018102532,0.885046113749335,default,mse
0.0,7,gauche,smiles,10000,0.33953042876926504,0.21573764897485725,0.4644756710257893,0.8210263430038549,0.9062766420993283,default,mse
0.0,8,gauche,smiles,10000,0.3178070688577858,0.18297239186451936,0.42775272280199383,0.8223284273580065,0.9072905729987252,default,mse
0.0,9,gauche,smiles,10000,0.34469257746143267,0.21486452512235324,0.4635348154371506,0.8028382673469641,0.8975568206308775,default,mse
0.1,1,gauche,smiles,10000,0.34750892023924074,0.20404456118366177,0.45171291899132326,0.814799700961797,0.9026657969129561,default,mse
0.1,2,gauche,smiles,10000,0.3383846412006258,0.21599136939492292,0.4647487163994355,0.8048612880803434,0.8978357327877714,default,mse
0.1,4,gauche,smiles,10000,0.3481575540562922,0.22029548621759887,0.46935645965257455,0.8030809647738193,0.8964514778967934,default,mse
0.1,5,gauche,smiles,10000,0.3343814012885311,0.20606453937236366,0.45394332176204955,0.8217477134929886,0.9065084679359264,default,mse
0.1,6,gauche,smiles,10000,0.348806628659324,0.23810821328205622,0.4879633319031833,0.7782988538532966,0.8839281589732898,default,mse
0.1,7,gauche,smiles,10000,0.3480694999436812,0.22500340279684236,0.4743452358745077,0.8137720375404651,0.9022913013896963,default,mse
0.1,8,gauche,smiles,10000,0.3284450631709871,0.1903239234058239,0.4362613017513975,0.8145043690064888,0.9028849158142136,default,mse
0.1,9,gauche,smiles,10000,0.35337018105102486,0.22167186313659754,0.4708204149530875,0.7970374423645215,0.8940030055255834,default,mse
0.2,0,gauche,smiles,10000,0.39588009562800186,0.27848222029297326,0.5277141463832226,0.7514585973497311,0.8673040081669967,default,mse
0.2,1,gauche,smiles,10000,0.36717271938763996,0.22490910131847966,0.47424582372276053,0.7945045701064042,0.8913521072645557,default,mse
0.2,2,gauche,smiles,10000,0.36084597123015055,0.23641826590594386,0.4862286148571923,0.7870311631616075,0.8878513339935064,default,mse
0.2,3,gauche,smiles,10000,0.37360298192748964,0.251697970659576,0.5016950973047036,0.7704486253599065,0.8786637458449466,default,mse
0.2,4,gauche,smiles,10000,0.37172738738375977,0.24436288747804347,0.4943307470490213,0.7833800991785727,0.8853872228245384,default,mse
0.2,5,gauche,smiles,10000,0.34811253421230487,0.22078936138770938,0.4698822846072295,0.8076134904566313,0.8986772902958251,default,mse
0.2,6,gauche,smiles,10000,0.3663401689440913,0.2531020739892639,0.5030925103688823,0.7643124920356568,0.875974595548376,default,mse
0.2,7,gauche,smiles,10000,0.3689171356680493,0.24767227096375252,0.4976668272687587,0.7949917285144653,0.8918371248491531,default,mse
0.2,8,gauche,smiles,10000,0.35209939755960556,0.2131117436468603,0.4616402751568155,0.7917375540352702,0.8901242684471474,default,mse
0.2,9,gauche,smiles,10000,0.37012446695548096,0.24037285947366283,0.49027834897501116,0.780146680492749,0.8841727312713018,default,mse
0.3,0,gauche,smiles,10000,0.42202112994538643,0.3092378477703227,0.5560915821789812,0.7219393302931931,0.8502578005357496,default,mse
0.3,1,gauche,smiles,10000,0.3939766616211161,0.25565026221696535,0.5056186925114274,0.7646152386805694,0.8744266702057464,default,mse
0.3,2,gauche,smiles,10000,0.3896835952618617,0.2670870919811219,0.5168046942328619,0.7597114064047974,0.87230517144643,default,mse
0.3,3,gauche,smiles,10000,0.40024270937668405,0.2790180032265465,0.5282215474841466,0.7459147537134587,0.8644966382480471,default,mse
0.3,4,gauche,smiles,10000,0.4029713004202754,0.27988242581325823,0.5290391533839989,0.753552557569275,0.8683912148270949,default,mse
0.3,5,gauche,smiles,10000,0.3726749416380441,0.24648435007232755,0.4964719026010712,0.7832770037113225,0.8850338180975694,default,mse
0.3,6,gauche,smiles,10000,0.391855136438883,0.2785104747696162,0.5277409163307467,0.7404956123754484,0.8622022681627151,default,mse
0.3,7,gauche,smiles,10000,0.39683715540127734,0.2808546126869496,0.5299571800503788,0.7669723403782475,0.8760102371460572,default,mse
0.3,8,gauche,smiles,10000,0.38284130627043106,0.24776511428030587,0.49776009711537333,0.7574868094183433,0.8706247317900715,default,mse
0.3,9,gauche,smiles,10000,0.3944151718815149,0.2696725282452113,0.5193000368238109,0.7533329786231382,0.8686111654811459,default,mse
0.4,0,gauche,smiles,10000,0.4526850429610748,0.3469335144699015,0.5890106233930773,0.6854520609868001,0.8286741726528082,default,mse
0.4,1,gauche,smiles,10000,0.42468753765843326,0.29327959908583795,0.5415529513222488,0.7276892084213107,0.853055006441906,default,mse
0.4,2,gauche,smiles,10000,0.4219601645365816,0.30516571474110876,0.5524180615630782,0.7253781567706412,0.8523613500954285,default,mse
0.4,3,gauche,smiles,10000,0.4317057737190332,0.3142844464508252,0.5606107798203894,0.7138458981804375,0.8456511330742105,default,mse
0.4,4,gauche,smiles,10000,0.4374420550890361,0.3236705188031478,0.568920485483822,0.7164224945599,0.8467660263475338,default,mse
0.4,5,gauche,smiles,10000,0.4024391166353525,0.2806432246609476,0.529757703729684,0.7506738672507496,0.8664215774538888,default,mse
0.4,6,gauche,smiles,10000,0.4221713371143903,0.31163867179105975,0.5582460674210431,0.7093294113693136,0.8437994341811572,default,mse
0.4,7,gauche,smiles,10000,0.42917384637143524,0.3210940400468304,0.5666516037626915,0.7324102438960298,0.8560929100147021,default,mse
0.4,8,gauche,smiles,10000,0.4170377745947787,0.29061903295602975,0.5390909319920246,0.7153859370331569,0.8460615136275003,default,mse
0.4,9,gauche,smiles,10000,0.42428231410984757,0.30709024572556176,0.5541572391709431,0.7188006897199584,0.848308691688763,default,mse
0.5,0,gauche,smiles,10000,0.48451507213513084,0.38884120074340933,0.6235713277111202,0.6443630528864226,0.8036461479029894,default,mse
0.5,1,gauche,smiles,10000,0.45679799632444384,0.33505653703169536,0.5788406836355712,0.6861538309181026,0.8283579101786578,default,mse
0.5,2,gauche,smiles,10000,0.4565003443116206,0.34803585113720314,0.5899456340521584,0.6862819627190129,0.829072447566416,default,mse
0.5,3,gauche,smiles,10000,0.4631548534690571,0.35472015683930996,0.5955838789283252,0.6766963392075307,0.8232928819702674,default,mse
0.5,4,gauche,smiles,10000,0.47343724805897736,0.372669547036554,0.6104666633294189,0.6745935608452543,0.8217280514557814,default,mse
