sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,smiles,10000,0.3791641311172551,0.25625077500872373,0.50621218378139,0.7738646083751168,0.8802401251819028,default,mse
0.0,1,gauche_rbf,smiles,10000,0.34276075560155744,0.19848349080569233,0.4455148603646037,0.820792990751888,0.906149330600952,default,mse
0.0,2,gauche_rbf,smiles,10000,0.3327510415449152,0.21090360874205627,0.45924242916139213,0.8085867285695407,0.9001519951176271,default,mse
0.0,3,gauche_rbf,smiles,10000,0.355457967932893,0.23767984078354293,0.4875241950750167,0.781663694976662,0.885331688050708,default,mse
0.0,4,gauche_rbf,smiles,10000,0.3420957110854164,0.2126344236519541,0.4611230027356628,0.8080654388704962,0.899402895197519,default,mse
0.0,5,gauche_rbf,smiles,10000,0.3377333376766144,0.21103685643773862,0.459387479626664,0.8183979696406527,0.9048687176782675,default,mse
0.0,6,gauche_rbf,smiles,10000,0.3495390667272154,0.24035867685999995,0.4902638849232115,0.7761107729219383,0.8835013274804613,default,mse
0.0,7,gauche_rbf,smiles,10000,0.34421710961376145,0.21915246274748615,0.46813722640640976,0.8181934498498211,0.9047188653414,default,mse
0.0,8,gauche_rbf,smiles,10000,0.3239051990241623,0.18602964048548484,0.4313115353030624,0.8193597490513541,0.9061263354297705,default,mse
0.0,9,gauche_rbf,smiles,10000,0.3485239287319773,0.21788387716410976,0.4667803307382497,0.8000676811848081,0.8964888335234056,default,mse
0.1,0,gauche_rbf,smiles,10000,0.3854478040210015,0.26442921163263444,0.5142268095234188,0.7654934404576642,0.8756756527980463,default,mse
0.1,1,gauche_rbf,smiles,10000,0.3506257339438115,0.20661324112562057,0.454547292507194,0.8124682480153202,0.9015914265380718,default,mse
0.1,2,gauche_rbf,smiles,10000,0.34109849100150424,0.2192738325292299,0.46826683902368094,0.80189572686488,0.8964761013203468,default,mse
0.1,3,gauche_rbf,smiles,10000,0.3617795766672572,0.24011538041438643,0.49001569404906453,0.7803728930965914,0.8845291961391193,default,mse
0.1,4,gauche_rbf,smiles,10000,0.35165036700580937,0.22150156331955725,0.47063952587894403,0.8020028694237791,0.895897120475247,default,mse
0.1,5,gauche_rbf,smiles,10000,0.34102024934696273,0.21286775620605283,0.46137593804407795,0.8158627176567242,0.9034999674819495,default,mse
