sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,sns,10000,0.304807828164511,0.1716326028040662,0.4142856536305188,0.8485381913503511,0.9223145413018505,default,mse
0.0,1,gauche,sns,10000,0.2990474150962468,0.1762985701888731,0.41987923286210893,0.8408233381526147,0.9186226182190611,default,mse
0.0,2,gauche,sns,10000,0.2901545532321295,0.15379713113155327,0.3921697733527576,0.8604157976143745,0.9279834998180653,default,mse
0.0,3,gauche,sns,10000,0.2990601429554446,0.17579692039463674,0.41928143340080865,0.8385102838048328,0.9171995441293199,default,mse
0.0,4,gauche,sns,10000,0.28248108560296964,0.14450097983546248,0.38013284498377997,0.8695661235318146,0.9340848453153159,default,mse
0.0,5,gauche,sns,10000,0.29087284884990544,0.1696884367769636,0.41193256338503226,0.8539792282383064,0.9250206891622192,default,mse
0.0,6,gauche,sns,10000,0.2755038503317261,0.1556440417723282,0.3945174796790735,0.8550207353986674,0.9263928593265516,default,mse
0.0,7,gauche,sns,10000,0.29628598538133294,0.16812111409607483,0.4100257480891594,0.8605285134466846,0.9290114497465009,default,mse
0.0,9,gauche,sns,10000,0.28518223033012624,0.1520410046833221,0.3899243576430204,0.8604857274573263,0.9288467807556273,default,mse
0.1,0,gauche,sns,10000,0.3125875049832335,0.17938360588595764,0.4235370183183019,0.8409153361125001,0.9180700714175338,default,mse
0.1,1,gauche,sns,10000,0.3062003354620368,0.18291759900993534,0.42768867065885124,0.8339755108419784,0.9149885811565464,default,mse
0.1,3,gauche,sns,10000,0.3097047075524195,0.18072919931736214,0.42512256975766666,0.8346918422695777,0.9149778955021612,default,mse
0.1,4,gauche,sns,10000,0.29225031543164004,0.15175833726574312,0.3895617245902671,0.864345357796477,0.9317194969871294,default,mse
0.1,5,gauche,sns,10000,0.2962900053898571,0.17324912011587776,0.41623205080324815,0.8501340798856301,0.9229215730487155,default,mse
0.1,6,gauche,sns,10000,0.28323280866562417,0.1599345474508419,0.39991817594458234,0.8510858907823401,0.9245139185978655,default,mse
0.1,7,gauche,sns,10000,0.3039918643776781,0.1749984089385615,0.4183281115805648,0.855159536588368,0.926197291351863,default,mse
0.1,9,gauche,sns,10000,0.29416382630825333,0.1618276818060057,0.4022781149975794,0.8518307207291899,0.9242998496639654,default,mse
