sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,1,gauche_rbf,continuous_pdv,10000,0.2585463454875967,0.13774766794205143,0.3711437294931054,0.875630222430121,0.9360599914922465,default,mse
0.0,2,gauche_rbf,continuous_pdv,10000,0.2446460312295595,0.11792160401307111,0.34339715201654064,0.8929759422747702,0.9450469669892425,default,mse
0.0,3,gauche_rbf,continuous_pdv,10000,0.26079295046395823,0.14000477368859768,0.3741721177327323,0.8713894923859541,0.9339126292508846,default,mse
0.0,4,gauche_rbf,continuous_pdv,10000,0.2561934998577215,0.12426406952196098,0.3525110913460185,0.8878329800121969,0.9426449935187482,default,mse
0.0,5,gauche_rbf,continuous_pdv,10000,0.24115583661223777,0.11052622246453819,0.332454842744903,0.9048896636051308,0.9513890881346804,default,mse
0.0,6,gauche_rbf,continuous_pdv,10000,0.25004250945002326,0.13337729257710007,0.365208560383105,0.8757617601537855,0.9366624841986633,default,mse
0.0,7,gauche_rbf,continuous_pdv,10000,0.24597915733104475,0.11445434465806667,0.3383110176421493,0.9050498940732468,0.9515041401612327,default,mse
0.0,8,gauche_rbf,continuous_pdv,10000,0.2518220877505343,0.11836536647048655,0.3440426811755869,0.8850637487281203,0.943019520255943,default,mse
0.0,9,gauche_rbf,continuous_pdv,10000,0.24335914201156836,0.11517420633739937,0.3393732551887367,0.894315052401093,0.9462794540575994,default,mse
0.1,0,gauche_rbf,continuous_pdv,10000,0.255186581337636,0.11816035065739167,0.3437446009138059,0.8954925158000994,0.9464525674438169,default,mse
0.1,1,gauche_rbf,continuous_pdv,10000,0.26134519566576714,0.1393479293456477,0.3732933556141171,0.87317420148965,0.9348007554215993,default,mse
0.1,2,gauche_rbf,continuous_pdv,10000,0.2468596645758307,0.11998781357652115,0.3463925714799917,0.8913773579946977,0.94420418648521,default,mse
0.1,3,gauche_rbf,continuous_pdv,10000,0.26145801403014807,0.14016177707104355,0.37438185996525464,0.870931285929143,0.9336181317843453,default,mse
0.1,4,gauche_rbf,continuous_pdv,10000,0.25686772521921913,0.12474928408535618,0.35319864677735696,0.8875401222713439,0.9424143010320558,default,mse
0.1,5,gauche_rbf,continuous_pdv,10000,0.24175243824743084,0.111667480215119,0.3341668448771048,0.9038733195442635,0.9508700370818337,default,mse
0.1,6,gauche_rbf,continuous_pdv,10000,0.25388163639946076,0.13673510985700435,0.36977710834637173,0.8732621301733264,0.9353255153067057,default,mse
0.1,7,gauche_rbf,continuous_pdv,10000,0.25058291309282543,0.11822459608200522,0.34383803757293235,0.9020236088733403,0.9499344142420797,default,mse
0.1,8,gauche_rbf,continuous_pdv,10000,0.25519679894452785,0.12080176279246779,0.34756547986310116,0.8825296977905505,0.9417285347722176,default,mse
0.1,9,gauche_rbf,continuous_pdv,10000,0.24868909593159105,0.12033008170333609,0.3468862662362638,0.8903416382730541,0.9441548512994178,default,mse
0.2,0,gauche_rbf,continuous_pdv,10000,0.2602158767248862,0.12268615307059472,0.35026583200562783,0.8912238580622758,0.944181619273561,default,mse
0.2,1,gauche_rbf,continuous_pdv,10000,0.26573651149562016,0.14316687377736378,0.37837398665521893,0.8684573739095081,0.9323287774476534,default,mse
0.2,2,gauche_rbf,continuous_pdv,10000,0.25150423666559674,0.12502310165373826,0.35358605975595003,0.8870144035691748,0.9418974354251217,default,mse
0.2,3,gauche_rbf,continuous_pdv,10000,0.26528654769475013,0.14354170746404932,0.3788689845633307,0.8673976376064414,0.9316840526900432,default,mse
0.2,4,gauche_rbf,continuous_pdv,10000,0.2611544957309636,0.12881620334979466,0.3589097426231206,0.8840116955089286,0.9404753632562878,default,mse
0.2,5,gauche_rbf,continuous_pdv,10000,0.24527159428047413,0.11510737872379616,0.3392747835071097,0.9006722269214495,0.9492105164232848,default,mse
0.2,6,gauche_rbf,continuous_pdv,10000,0.25984101665227066,0.14375938824846743,0.37915615285587473,0.8674562949700988,0.9322182776364218,default,mse
0.2,7,gauche_rbf,continuous_pdv,10000,0.2572254467033487,0.12612176167050393,0.3551362578933668,0.8955720870604021,0.9465440116245798,default,mse
0.2,8,gauche_rbf,continuous_pdv,10000,0.2621250995276912,0.1277177057729338,0.3573761404639848,0.8757157426209661,0.938168904129203,default,mse
0.2,9,gauche_rbf,continuous_pdv,10000,0.256431982573019,0.13033941428441712,0.3610255036481732,0.88207891661303,0.9397577682519225,default,mse
0.3,0,gauche_rbf,continuous_pdv,10000,0.26564980285908085,0.13067895113255587,0.3614954372223194,0.8838328380775013,0.940252683013145,default,mse
0.3,1,gauche_rbf,continuous_pdv,10000,0.2710272000101942,0.14912428776728018,0.3861661401097721,0.861488778885082,0.9286404808886813,default,mse
0.3,2,gauche_rbf,continuous_pdv,10000,0.25691416331058475,0.132827877827926,0.3644555910230024,0.8800700288630792,0.9382137728976607,default,mse
0.3,3,gauche_rbf,continuous_pdv,10000,0.2706681888708202,0.1500001228363202,0.3872984932017167,0.860890051631552,0.9281548516374202,default,mse
0.3,4,gauche_rbf,continuous_pdv,10000,0.26645630727317665,0.1363531563188315,0.36926028261760224,0.8773567175892034,0.9368799661761662,default,mse
0.3,5,gauche_rbf,continuous_pdv,10000,0.2500346110748119,0.1206433245838555,0.3473374793825963,0.8954307951404443,0.9464792245990377,default,mse
0.3,6,gauche_rbf,continuous_pdv,10000,0.2666679171586114,0.1543118790059735,0.39282550707149033,0.8585236877885032,0.9274177347200503,default,mse
0.3,7,gauche_rbf,continuous_pdv,10000,0.2649011730022296,0.13785112735367153,0.3712830825039993,0.8859449466519693,0.9414470601761921,default,mse
0.3,8,gauche_rbf,continuous_pdv,10000,0.269685678933221,0.13890511144273843,0.3726997604543615,0.8648295451568083,0.9324307461944812,default,mse
0.3,9,gauche_rbf,continuous_pdv,10000,0.26528692002354476,0.1449764345794593,0.38075771112278123,0.8698252898001042,0.9332181946379672,default,mse
0.4,0,gauche_rbf,continuous_pdv,10000,0.2712831769432445,0.14193335226884085,0.37674043089220044,0.8734757958902377,0.9347294464971747,default,mse
0.4,1,gauche_rbf,continuous_pdv,10000,0.2762207493631428,0.15705499758388983,0.3963016497365231,0.8523481284026834,0.9237660560401983,default,mse
0.4,2,gauche_rbf,continuous_pdv,10000,0.26248734628665504,0.14312153049258275,0.37831406330267814,0.8707881062538052,0.9332677148700123,default,mse
0.4,3,gauche_rbf,continuous_pdv,10000,0.2764928086478368,0.15929664439267066,0.39911983713249666,0.8515922347719809,0.9231114249778845,default,mse
0.4,4,gauche_rbf,continuous_pdv,10000,0.27206968346481947,0.14717849742839348,0.3836384983658359,0.8677453148239282,0.9317027516418628,default,mse
0.4,5,gauche_rbf,continuous_pdv,10000,0.25591862782575747,0.12798798871238276,0.35775408972139333,0.8883508302747376,0.942772858759771,default,mse
0.4,6,gauche_rbf,continuous_pdv,10000,0.27371420822824544,0.16820586188837358,0.4101290795449325,0.8466891751858326,0.9210184758346611,default,mse
0.4,7,gauche_rbf,continuous_pdv,10000,0.2726142658852202,0.15304957391750315,0.3912155082783697,0.8734448313568992,0.9347787087810082,default,mse
0.4,8,gauche_rbf,continuous_pdv,10000,0.27752942803195035,0.15406561259332463,0.39251192668927226,0.8501845116750527,0.9246504237001298,default,mse
0.4,9,gauche_rbf,continuous_pdv,10000,0.27420539514219494,0.1638810803211169,0.40482228239206014,0.8539921027793157,0.9247160602580269,default,mse
0.5,0,gauche_rbf,continuous_pdv,10000,0.2774247972007095,0.15617714528914536,0.3951925420464629,0.8603700445749951,0.9277008462621561,default,mse
0.5,1,gauche_rbf,continuous_pdv,10000,0.2816718530557952,0.16676311247587136,0.4083663948905093,0.8411396108568944,0.9177451724015131,default,mse
0.5,2,gauche_rbf,continuous_pdv,10000,0.26855755756884253,0.15560452464616525,0.39446739364130623,0.8594213582119772,0.9271758154137704,default,mse
0.5,3,gauche_rbf,continuous_pdv,10000,0.28282024297622277,0.17111858712703645,0.4136648246189618,0.8397509364257381,0.9166629645954074,default,mse
0.5,4,gauche_rbf,continuous_pdv,10000,0.2781586111691102,0.16101565377945076,0.40126755884253934,0.8554309292339569,0.9250523839769235,default,mse
