sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,ecfp4,10000,0.30391802326141054,0.20986530375650522,0.45811058027129786,0.8147987156259849,0.9034367191378712,default,mse
0.0,2,gauche,ecfp4,10000,0.3086924004599373,0.22419988569642044,0.47349750336873,0.7965192068952529,0.8934376911302657,default,mse
0.0,2,gauche,ecfp4,10000,0.3086924004599373,0.22419988569642044,0.47349750336873,0.7965192068952529,0.8934376911302657,default,mse
0.0,4,gauche,ecfp4,10000,0.29074442397307565,0.1932086933185838,0.43955510839777967,0.8256000833655869,0.9098134926708819,default,mse
0.0,3,gauche,ecfp4,10000,0.2952850240336592,0.1814791521712095,0.4260036997154009,0.8332904995509677,0.9151202565878981,default,mse
0.0,6,gauche,ecfp4,10000,0.2880215621555145,0.20741757436102143,0.45543119607798216,0.8067947410396829,0.9002061217501252,default,mse
0.0,4,gauche,ecfp4,10000,0.29074442397307565,0.1932086933185838,0.43955510839777967,0.8256000833655869,0.9098134926708819,default,mse
0.0,7,gauche,ecfp4,10000,0.3119152973859682,0.2330600949131655,0.48276298005663765,0.8066558262561806,0.8993156273951084,default,mse
0.0,5,gauche,ecfp4,10000,0.2922964008238476,0.19013004927739627,0.43603904558811735,0.8363887542492627,0.9150197124301672,default,mse
0.0,8,gauche,ecfp4,10000,0.2888703212941933,0.1926696015298713,0.4389414556975353,0.812912151635066,0.9018070606519748,default,mse
0.0,6,gauche,ecfp4,10000,0.2880215621555145,0.20741757436102143,0.45543119607798216,0.8067947410396829,0.9002061217501252,default,mse
0.0,9,gauche,ecfp4,10000,0.2778042387156544,0.16372089628585396,0.404624389138685,0.8497681477905875,0.922648078888573,default,mse
0.0,7,gauche,ecfp4,10000,0.3119152973859682,0.2330600949131655,0.48276298005663765,0.8066558262561806,0.8993156273951084,default,mse
0.1,0,gauche,ecfp4,10000,0.3036545164435756,0.20918410696190232,0.4573664908603409,0.814986121557995,0.903509154231221,default,mse
0.0,8,gauche,ecfp4,10000,0.2888703212941933,0.1926696015298713,0.4389414556975353,0.812912151635066,0.9018070606519748,default,mse
0.1,1,gauche,ecfp4,10000,0.29777503538667155,0.17628445997863912,0.4198624298251025,0.8395568738857974,0.9176337198404131,default,mse
0.0,9,gauche,ecfp4,10000,0.2778042387156544,0.16372089628585396,0.404624389138685,0.8497681477905875,0.922648078888573,default,mse
0.1,2,gauche,ecfp4,10000,0.3109177073366065,0.22626870752434036,0.47567710426752763,0.795163324659262,0.8927007721269503,default,mse
0.1,0,gauche,ecfp4,10000,0.3036545164435756,0.20918410696190232,0.4573664908603409,0.814986121557995,0.903509154231221,default,mse
0.1,3,gauche,ecfp4,10000,0.29529710474351717,0.18242724470329058,0.4271150251434508,0.8320109064156006,0.9144378553451016,default,mse
0.1,1,gauche,ecfp4,10000,0.29777503538667155,0.17628445997863912,0.4198624298251025,0.8395568738857974,0.9176337198404131,default,mse
0.1,4,gauche,ecfp4,10000,0.2917495067243382,0.19458083558871903,0.44111317775455205,0.8245878752805141,0.9092764092706727,default,mse
0.1,2,gauche,ecfp4,10000,0.3109177073366065,0.22626870752434036,0.47567710426752763,0.795163324659262,0.8927007721269503,default,mse
0.1,5,gauche,ecfp4,10000,0.2953382321642953,0.192011703742681,0.43819140080868885,0.8347106278938385,0.9141754602552401,default,mse
0.1,3,gauche,ecfp4,10000,0.29529710474351717,0.18242724470329058,0.4271150251434508,0.8320109064156006,0.9144378553451016,default,mse
0.1,6,gauche,ecfp4,10000,0.2913632364716015,0.2096838147640226,0.4579124531654742,0.8056469911194377,0.8995260941594589,default,mse
0.1,4,gauche,ecfp4,10000,0.2917495067243382,0.19458083558871903,0.44111317775455205,0.8245878752805141,0.9092764092706727,default,mse
0.1,7,gauche,ecfp4,10000,0.3166343947000311,0.2373412582662238,0.48717682443464383,0.8033079348881401,0.8974827816929675,default,mse
0.1,5,gauche,ecfp4,10000,0.2953382321642953,0.192011703742681,0.43819140080868885,0.8347106278938385,0.9141754602552401,default,mse
