sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,mhggnn,10000,0.29699330091715365,0.15297093557600125,0.39111499022154755,0.8650066817455433,0.9303298424476805,default,mse
0.0,1,gauche,mhggnn,10000,0.2855390553428683,0.1483031261509228,0.3851014491675185,0.8660998978213752,0.931253161306909,default,mse
0.0,2,gauche,mhggnn,10000,0.2738095491528252,0.13398331566647864,0.36603731458210464,0.878398549357271,0.9373841077845261,default,mse
0.0,3,gauche,mhggnn,10000,0.2877658117681691,0.15617129794907442,0.3951851438871082,0.8565386781121546,0.9273789036495147,default,mse
0.0,4,gauche,mhggnn,10000,0.27766336948834625,0.13857196248578124,0.37225255202050833,0.8749179537923888,0.9361496051333464,default,mse
0.0,5,gauche,mhggnn,10000,0.2704185512144443,0.1297836282370802,0.3602549489418295,0.8883182265264175,0.9429673145245688,default,mse
0.0,6,gauche,mhggnn,10000,0.27806820676006716,0.14788263305196114,0.38455511055239033,0.8622503300284134,0.9307201386193305,default,mse
0.0,7,gauche,mhggnn,10000,0.2858631871455284,0.14736726808436654,0.38388444626523555,0.877745683166946,0.9370320509411201,default,mse
0.0,8,gauche,mhggnn,10000,0.2646286676536111,0.12973858313533868,0.3601924251498616,0.8740200209271599,0.9355714830804424,default,mse
0.0,9,gauche,mhggnn,10000,0.2766016895329125,0.1298969686672883,0.3604122204744011,0.8808053056025147,0.9391818659142765,default,mse
0.1,0,gauche,mhggnn,10000,0.29823385375546035,0.1539581883103764,0.39237506076504963,0.8638309480060309,0.9296837315093572,default,mse
0.1,1,gauche,mhggnn,10000,0.28836954707131685,0.1495878766478217,0.3867659197083188,0.8638544398010441,0.9300243475702132,default,mse
0.1,2,gauche,mhggnn,10000,0.27664655981820774,0.13621929143528252,0.3690789772328987,0.8766833156906031,0.936481398262375,default,mse
0.1,3,gauche,mhggnn,10000,0.28809744598194653,0.15666676384070247,0.39581152565419625,0.8557325815274672,0.9269288656045347,default,mse
0.1,4,gauche,mhggnn,10000,0.27854144185177004,0.13986491487776925,0.3739851800242481,0.8739135752080103,0.935603518049566,default,mse
0.1,5,gauche,mhggnn,10000,0.26974356079278233,0.12862807709883714,0.35864756669861453,0.889273134478397,0.9435036030940854,default,mse
0.1,6,gauche,mhggnn,10000,0.28213055397113274,0.15210702542735458,0.3900090068541425,0.8590141156247656,0.9289807623405502,default,mse
0.1,7,gauche,mhggnn,10000,0.2894130730215712,0.15036577047008057,0.3877702547515482,0.8753872203596343,0.9358859102589758,default,mse
0.1,8,gauche,mhggnn,10000,0.2661180044231144,0.13109042384482672,0.3620641156547093,0.8725247765442642,0.9347635444890656,default,mse
0.1,9,gauche,mhggnn,10000,0.2788197033129367,0.13287140056626195,0.36451529538040234,0.8789125719835931,0.93811117083273,default,mse
0.2,0,gauche,mhggnn,10000,0.30231922046269777,0.15816908301698276,0.3977047686626133,0.859763940804998,0.9274789350553699,default,mse
0.2,1,gauche,mhggnn,10000,0.29239029322096544,0.15334527255632902,0.3915932488645955,0.8591053969510433,0.9274427305636861,default,mse
0.2,2,gauche,mhggnn,10000,0.28088434116857786,0.14108984996144677,0.37561928859078414,0.8724945978993551,0.9342591361157992,default,mse
0.2,3,gauche,mhggnn,10000,0.2912431270756228,0.16051129930345245,0.4006386143439652,0.8517213020903485,0.9247537842179223,default,mse
0.2,4,gauche,mhggnn,10000,0.2828397974881682,0.14506279345094233,0.38087109820901655,0.8693829889441457,0.9331753466736422,default,mse
0.2,5,gauche,mhggnn,10000,0.27075058128333296,0.1292515441055231,0.35951570773127994,0.8884670280454262,0.9431100644904065,default,mse
0.2,6,gauche,mhggnn,10000,0.2880869608260095,0.16008008714145405,0.4001000964027053,0.8524088888402461,0.9254183848423212,default,mse
0.2,7,gauche,mhggnn,10000,0.29587346147316246,0.15771457966828734,0.39713294961295686,0.8694134606370871,0.9328182607616157,default,mse
0.2,8,gauche,mhggnn,10000,0.2711691693160102,0.13654316680583245,0.36951747834958015,0.8671275373767261,0.9318603223816271,default,mse
0.2,9,gauche,mhggnn,10000,0.2836291862918642,0.14012732425170848,0.37433584419837285,0.8732235680312225,0.9350130385994108,default,mse
0.3,0,gauche,mhggnn,10000,0.30732732007063396,0.16545666968765443,0.40676365335124826,0.8529171563424439,0.9237664818949004,default,mse
