sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,mhggnn,10000,0.8900629645834747,1.148254259365253,1.0715662645703499,-0.013307868503663611,0.10912365988320992,default,mse
0.0,1,gauche_rbf,mhggnn,10000,0.8880239179985515,1.136038852696547,1.065851233848583,-0.02570810476478158,0.04436844554607796,default,mse
0.0,2,gauche_rbf,mhggnn,10000,0.8793110005825268,1.1189343163433596,1.05779691639906,-0.01552969759297218,0.05017154593692549,default,mse
0.0,3,gauche_rbf,mhggnn,10000,0.8715282835911494,1.1179188226898107,1.0573168033705937,-0.026937178422385744,0.035632142649821355,default,mse
0.0,4,gauche_rbf,mhggnn,10000,0.8834201464001403,1.1262042647669466,1.0612277157928671,-0.01656880192659682,0.02513602345390808,default,mse
0.0,5,gauche_rbf,mhggnn,10000,0.901605602037278,1.1704059868912662,1.0818530338688643,-0.007161057797962389,0.008782298091773996,default,mse
0.0,6,gauche_rbf,mhggnn,10000,0.8736443244732798,1.0894090248689814,1.0437475867607942,-0.014762386513917702,0.03144141438884859,default,mse
0.0,7,gauche_rbf,mhggnn,10000,0.9264930452307906,1.2215208247293017,1.1052243323096456,-0.01336067273185626,0.07166861899988572,default,mse
0.0,8,gauche_rbf,mhggnn,10000,0.8561095591289922,1.045463418709479,1.0224790553891454,-0.01517572049517013,nan,default,mse
0.0,9,gauche_rbf,mhggnn,10000,0.8810345527096957,1.0997207923776569,1.0486757327113356,-0.009114262748958213,0.018808339881836722,default,mse
0.1,0,gauche_rbf,mhggnn,10000,0.8890393747023595,1.1458503143657999,1.0704439800222147,-0.01345276108101956,0.10866277278016245,default,mse
0.1,1,gauche_rbf,mhggnn,10000,0.8843582446201289,1.127093013652434,1.0616463693963418,-0.025809799421834034,0.04415279794934253,default,mse
0.1,2,gauche_rbf,mhggnn,10000,0.8804774772714101,1.1219140907883167,1.0592044612766303,-0.01564708124867198,0.050328426877842364,default,mse
0.1,3,gauche_rbf,mhggnn,10000,0.8697193780080416,1.1152502617778963,1.0560540998348031,-0.0269841048169579,0.035719413823242556,default,mse
0.1,4,gauche_rbf,mhggnn,10000,0.8845629079826076,1.1278196967974692,1.0619885577526103,-0.016714974612843658,0.025267899502038057,default,mse
0.1,5,gauche_rbf,mhggnn,10000,0.901574950901675,1.169993089103233,1.0816621880713189,-0.007164768068431249,0.00885085848467376,default,mse
0.1,6,gauche_rbf,mhggnn,10000,0.8762107862201517,1.0945437041619512,1.0462044275197613,-0.014517322162201252,0.031570728081103304,default,mse
0.1,7,gauche_rbf,mhggnn,10000,0.9277958163166146,1.222654154665915,1.1057369283269485,-0.013251435319696858,0.07143495099432691,default,mse
0.1,8,gauche_rbf,mhggnn,10000,0.8555294318846427,1.0440871552128137,1.02180583048484,-0.015293409803627922,nan,default,mse
0.1,9,gauche_rbf,mhggnn,10000,0.883080371648693,1.1072282627078762,1.0522491447883795,-0.009031454376149384,0.01852317617692888,default,mse
0.2,0,gauche_rbf,mhggnn,10000,0.8877897439915606,1.143177818464592,1.0691949394121691,-0.01356566759257638,0.10807054383135309,default,mse
0.2,1,gauche_rbf,mhggnn,10000,0.8794103724636502,1.1165150578291425,1.0566527612367,-0.025861073175466265,0.0438885254833345,default,mse
0.2,2,gauche_rbf,mhggnn,10000,0.881073913274186,1.123975570047016,1.0601771408811906,-0.015756675971425382,0.050430896980906414,default,mse
0.2,3,gauche_rbf,mhggnn,10000,0.8684218084745516,1.1116823603810413,1.054363485891389,-0.026960803393629273,0.03576000343854924,default,mse
0.2,4,gauche_rbf,mhggnn,10000,0.8854529438589223,1.12926783371077,1.062670143417406,-0.016811999906114705,0.025360971994844436,default,mse
0.2,5,gauche_rbf,mhggnn,10000,0.9000703553678467,1.1671583873921367,1.0803510482209644,-0.007157358068189845,0.008913438219963219,default,mse
0.2,6,gauche_rbf,mhggnn,10000,0.878660872476117,1.1000517422368943,1.0488335150236638,-0.01422895170277827,0.03165140315771819,default,mse
0.2,7,gauche_rbf,mhggnn,10000,0.9288175676065615,1.2235347615704018,1.1061350557551288,-0.013077995957991417,0.07109952125168677,default,mse
0.2,8,gauche_rbf,mhggnn,10000,0.8549731387770735,1.0434016053379283,1.0214703154462828,-0.015351731247571054,nan,default,mse
0.2,9,gauche_rbf,mhggnn,10000,0.8841622470485253,1.1151682957000786,1.0560152914139447,-0.00891855552458276,0.01820763978938936,default,mse
0.3,0,gauche_rbf,mhggnn,10000,0.8865893767519256,1.1402631310332554,1.067831040489672,-0.013637855438798585,0.10734547999535664,default,mse
0.3,1,gauche_rbf,mhggnn,10000,0.8745423044928586,1.104459489091399,1.0509326758129651,-0.025855913858546575,0.04357662412218542,default,mse
0.3,2,gauche_rbf,mhggnn,10000,0.8804926829181322,1.1251140276004385,1.0607139235441565,-0.015862747055771287,0.05047947673165247,default,mse
0.3,3,gauche_rbf,mhggnn,10000,0.866893899549963,1.1072588006513082,1.0522636554834097,-0.026870589680723977,0.035754829624067494,default,mse
0.3,4,gauche_rbf,mhggnn,10000,0.885131920677238,1.1305254400101599,1.0632616987412646,-0.016854721628525082,0.02541573140482592,default,mse
0.3,5,gauche_rbf,mhggnn,10000,0.8972369899290498,1.1619596798983916,1.077942336072942,-0.007143994290244482,0.008969927849333493,default,mse
0.3,6,gauche_rbf,mhggnn,10000,0.8799746974381266,1.1058962100511431,1.0516159993320486,-0.013908446287857812,0.03168397571222482,default,mse
0.3,7,gauche_rbf,mhggnn,10000,0.9288219500549504,1.2241915420579326,1.1064318967102913,-0.012869711826166697,0.07066560956817594,default,mse
0.3,8,gauche_rbf,mhggnn,10000,0.8542539973685053,1.0434142562304944,1.0214765079190486,-0.01536061660832111,nan,default,mse
0.3,9,gauche_rbf,mhggnn,10000,0.8848342851406857,1.1234829890520563,1.0599448047195932,-0.008778239984977176,0.017864180317844734,default,mse
0.4,0,gauche_rbf,mhggnn,10000,0.8851626604440441,1.137126818827318,1.0663614860014956,-0.013673413782796962,0.10649138390031623,default,mse
0.4,1,gauche_rbf,mhggnn,10000,0.8695333837879261,1.0911167581735122,1.0445653441377003,-0.025789907700724424,0.043218591586608075,default,mse
0.4,2,gauche_rbf,mhggnn,10000,0.8794824817011981,1.1253303177527403,1.0608158736334692,-0.015962175267363765,0.05047513495518818,default,mse
0.4,3,gauche_rbf,mhggnn,10000,0.8645759581527672,1.1020423211682537,1.0497820350759741,-0.026711131893777162,0.03570404455105828,default,mse
0.4,4,gauche_rbf,mhggnn,10000,0.8836777644037529,1.1315886488869997,1.0637615564058516,-0.016846231768192554,0.02543310671612392,default,mse
0.4,5,gauche_rbf,mhggnn,10000,0.8933784170196158,1.1545014720288513,1.0744773017746123,-0.007118965579490988,0.00902027210749811,default,mse
0.4,6,gauche_rbf,mhggnn,10000,0.8809615315849658,1.1120201373853429,1.0545236542559597,-0.013548056878358583,0.03166910231057868,default,mse
0.4,7,gauche_rbf,mhggnn,10000,0.9279429215795085,1.2246314828462759,1.106630689456187,-0.012635578592333774,0.07013777531993826,default,mse
