sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,mol2vec,10000,0.2982534453862827,0.15639971465190197,0.39547403789869945,0.8619808633881252,0.9289525047175009,default,mse
0.0,1,gauche,mol2vec,10000,0.287058284093604,0.14503541399890849,0.3808351533129636,0.8690502536392274,0.932369286415121,default,mse
0.0,2,gauche,mol2vec,10000,0.2834808705785872,0.1426273428956273,0.3776603538837871,0.8705533468017806,0.9333615014492589,default,mse
0.0,3,gauche,mol2vec,10000,0.29438250484898165,0.15339468669181924,0.3916563374845596,0.8590893153071172,0.9279140310957708,default,mse
0.0,4,gauche,mol2vec,10000,0.2912595150501511,0.15271278358311832,0.3907848302878687,0.86215373507035,0.9293903499525091,default,mse
0.0,5,gauche,mol2vec,10000,0.28079415848574807,0.13955883469439362,0.37357574157644874,0.8799064383212911,0.9382125341460849,default,mse
0.0,6,gauche,mol2vec,10000,0.2764696812672246,0.15048167319658115,0.3879196736395064,0.8598293769064974,0.9288961885291509,default,mse
0.0,7,gauche,mol2vec,10000,0.2892555749928915,0.1466568181419525,0.38295798482594995,0.8783350648762153,0.9372108933120371,default,mse
0.0,8,gauche,mol2vec,10000,0.2765124802916216,0.13940733732069308,0.37337291990809013,0.8646313763120054,0.9310960320266803,default,mse
0.0,9,gauche,mol2vec,10000,0.2818398302420201,0.1403340597647099,0.37461187883556213,0.8712281315043083,0.9342960192496523,default,mse
0.1,0,gauche,mol2vec,10000,0.2989059471259134,0.1562955575347338,0.3953423295509017,0.8617636506772328,0.9288344129427035,default,mse
0.1,1,gauche,mol2vec,10000,0.28817099661373324,0.14479880008224683,0.38052437514861887,0.8682131587458348,0.9319159551323687,default,mse
0.1,2,gauche,mol2vec,10000,0.2864720065346228,0.1434707276548465,0.37877529968946827,0.8701187310296813,0.933076967614294,default,mse
0.1,3,gauche,mol2vec,10000,0.2942359399819834,0.1536187690742919,0.39194230324665374,0.8585393436363402,0.9275723888615268,default,mse
0.1,4,gauche,mol2vec,10000,0.292572235450878,0.1534407244410333,0.3917151062201116,0.8616751572102961,0.9290527329899869,default,mse
0.1,5,gauche,mol2vec,10000,0.28225568932775424,0.13973057947419357,0.37380553697637164,0.8797157709913821,0.9381398049056269,default,mse
