sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,mol2vec,10000,0.8763693549137704,1.1233914700711012,1.0599016322617403,0.008632968919085937,0.19714632410006916,default,mse
0.0,1,gauche_rbf,mol2vec,10000,0.8737288830904699,1.1122964236145116,1.0546546466092641,-0.00427151227638034,0.16100069368033257,default,mse
0.0,2,gauche_rbf,mol2vec,10000,0.8556962962470159,1.0789367211493803,1.0387187882913163,0.02077158047000538,0.20980785960063106,default,mse
0.0,3,gauche_rbf,mol2vec,10000,0.8587844800848752,1.0996253826311468,1.048630241138957,-0.010132547051851848,0.1379199479567474,default,mse
0.0,4,gauche_rbf,mol2vec,10000,0.8596190572449097,1.0851710213952255,1.0417154224620204,0.020469874234148144,0.21172647945531575,default,mse
0.0,5,gauche_rbf,mol2vec,10000,0.887248791819189,1.1469190635189113,1.0709430720252646,0.013049975683634307,0.15042752523510539,default,mse
0.0,6,gauche_rbf,mol2vec,10000,0.8531465633885832,1.0591781134203568,1.0291637932906292,0.013397093670108218,0.18339615296392192,default,mse
0.0,7,gauche_rbf,mol2vec,10000,0.9130917253021746,1.1951100104290449,1.0932108718948257,0.00854945766042381,0.16683967151134566,default,mse
0.0,8,gauche_rbf,mol2vec,10000,0.8445139063660073,1.024749976843516,1.012299351399336,0.004937640617139749,0.15117176806610527,default,mse
0.0,9,gauche_rbf,mol2vec,10000,0.867994305090421,1.0775842514998277,1.0380675563275388,0.011198437786098525,0.15185317623754552,default,mse
0.1,0,gauche_rbf,mol2vec,10000,0.8753856075173687,1.1210191995129635,1.0587819414369342,0.008509236566339062,0.19696886377218145,default,mse
0.1,1,gauche_rbf,mol2vec,10000,0.8704672725400585,1.1039018801061844,1.050667349881105,-0.004702675375034326,0.16062965983521837,default,mse
0.1,2,gauche_rbf,mol2vec,10000,0.8569609559800473,1.081988600073551,1.0401868101805325,0.020496691652317378,0.20934749907503675,default,mse
0.1,3,gauche_rbf,mol2vec,10000,0.8572354301210288,1.0976444119008115,1.0476852637604537,-0.010771664797678548,0.1353711184486068,default,mse
0.1,4,gauche_rbf,mol2vec,10000,0.8609444324612783,1.086941961612846,1.0425650874707277,0.020135778755341227,0.21140896895976183,default,mse
0.1,5,gauche_rbf,mol2vec,10000,0.8872939952840727,1.146583641314277,1.0707864592505254,0.01298677921211333,0.1502228326093877,default,mse
0.1,6,gauche_rbf,mol2vec,10000,0.855534216717945,1.0641689454787284,1.0315856462159254,0.013636618811970092,0.18321869727882018,default,mse
0.1,7,gauche_rbf,mol2vec,10000,0.9143491180977089,1.1961555331303884,1.0936889562989964,0.008708794564118771,0.16738639615668718,default,mse
0.1,8,gauche_rbf,mol2vec,10000,0.844541336062411,1.0241967462251305,1.0120260600523736,0.00404846320253649,0.14830652314954845,default,mse
0.1,9,gauche_rbf,mol2vec,10000,0.8699821088838469,1.0850018054907113,1.0416341994628975,0.011223803917760344,0.1514145465747555,default,mse
0.2,0,gauche_rbf,mol2vec,10000,0.8742004943283819,1.1184627873880921,1.0575740103596023,0.008347202450921354,0.19655629978907138,default,mse
0.2,1,gauche_rbf,mol2vec,10000,0.8661334437129881,1.0940942836024374,1.0459896192613183,-0.005260724484824397,0.15988829585811132,default,mse
0.2,2,gauche_rbf,mol2vec,10000,0.8576670922883807,1.0842405345972512,1.041268713924149,0.020152580958750943,0.20865482448691547,default,mse
0.2,3,gauche_rbf,mol2vec,10000,0.856613628455699,1.0950290557672113,1.0464363601133186,-0.011576650784141496,0.13159497957896227,default,mse
0.2,4,gauche_rbf,mol2vec,10000,0.8621040485084553,1.0887359508547483,1.0434251055321355,0.0196835980702883,0.21073686480895443,default,mse
0.2,5,gauche_rbf,mol2vec,10000,0.8858748797072956,1.1439125832563632,1.0695384907783185,0.012901772665444233,0.1499005764212292,default,mse
0.2,6,gauche_rbf,mol2vec,10000,0.8580845118298643,1.069663603831069,1.0342454272710462,0.013788393823958023,0.1826228985229899,default,mse
0.2,7,gauche_rbf,mol2vec,10000,0.9157005217954254,1.1972438705675308,1.0941863966288061,0.008690672988490356,0.1672216057078747,default,mse
0.2,8,gauche_rbf,mol2vec,10000,0.8449106901140422,1.0244855258279266,1.0121687239921646,0.003055825325697148,0.14494243120400405,default,mse
0.2,9,gauche_rbf,mol2vec,10000,0.8710858791376881,1.0929587280257629,1.0454466643620626,0.011174954148528093,0.15067967735431437,default,mse
0.3,0,gauche_rbf,mol2vec,10000,0.873102119668557,1.1157530469097565,1.0562921219576318,0.00815040415796231,0.19591057361417671,default,mse
