sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,morgan,10000,0.35331470338364557,0.22483793839444383,0.4741707903218458,0.8015857113047637,0.9000898916321012,default,mse
0.0,1,gauche,morgan,10000,0.3444833769763461,0.21151509740974775,0.4599077053167817,0.8090269983475276,0.9043287775218579,default,mse
0.0,2,gauche,morgan,10000,0.340403005596089,0.22612212794836176,0.47552300464684333,0.7947746057472662,0.8948614674401084,default,mse
0.0,3,gauche,morgan,10000,0.35354362723230054,0.23873261291274042,0.4886027148028758,0.78069660253852,0.8890184109799358,default,mse
0.0,4,gauche,morgan,10000,0.336654460803053,0.20081150116169139,0.44811996291360573,0.8187374053398155,0.9097992569291316,default,mse
0.0,5,gauche,morgan,10000,0.3274955060626024,0.20668833386015684,0.4546298866772364,0.8221399725423368,0.9108991269549033,default,mse
0.0,6,gauche,morgan,10000,0.3403329623770619,0.22822676009861026,0.4777308448264674,0.7874114070499294,0.8895881151560086,default,mse
0.0,7,gauche,morgan,10000,0.35830770871409723,0.23796019017465359,0.4878116339066275,0.802590759390266,0.9024086379362555,default,mse
0.0,8,gauche,morgan,10000,0.32595629498792233,0.19821334237050564,0.44521157034662256,0.807529016270008,0.9030039778392511,default,mse
0.0,9,gauche,morgan,10000,0.33328371494305953,0.20623618401775612,0.4541323419640536,0.8107557152417947,0.9029881826705725,default,mse
0.1,0,gauche,morgan,10000,0.3536799349283942,0.22442394588605458,0.4737340455213817,0.8015071735292026,0.9002640620926272,default,mse
0.1,1,gauche,morgan,10000,0.3439913757136391,0.2102637547005065,0.45854525916261146,0.8086310380577679,0.9039571415625317,default,mse
0.1,2,gauche,morgan,10000,0.3424030512463439,0.22838913479374448,0.4779007583104932,0.7932437429507756,0.894154646710936,default,mse
0.1,3,gauche,morgan,10000,0.35266992553830173,0.23831884217165514,0.48817910870054154,0.7805428331408781,0.8889405548532626,default,mse
0.1,5,gauche,morgan,10000,0.3282766926465207,0.20686365641035018,0.4548226647940384,0.8219256263385204,0.910827973033136,default,mse
0.1,6,gauche,morgan,10000,0.3421077804523375,0.23019986478947782,0.47979148053032145,0.786630949956324,0.889159454273809,default,mse
0.1,7,gauche,morgan,10000,0.36229736659055917,0.24177760512232432,0.49170886215556897,0.7996313965944899,0.9010603122226412,default,mse
