sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,pdv,10000,0.2899437073557043,0.1542918264165913,0.39279998270950994,0.8638410260806175,0.9300889254691606,default,mse
0.0,1,gauche,pdv,10000,0.28289100687133223,0.149727984831948,0.3869470051983191,0.8648134197279518,0.9309864567317703,default,mse
0.0,1,gauche,pdv,10000,0.28289100687133223,0.149727984831948,0.3869470051983191,0.8648134197279518,0.9309864567317703,default,mse
0.0,5,gauche,pdv,10000,0.2881871271521703,0.1538761010470182,0.39227044375917264,0.8675861039364805,0.9324541408181938,default,mse
0.0,2,gauche,pdv,10000,0.2725250460898751,0.143413361806297,0.37869956668353477,0.8698399666372834,0.9330699817906816,default,mse
0.0,6,gauche,pdv,10000,0.2721534828039428,0.14739514174419893,0.38392074930146575,0.8627044182832166,0.9306052622365788,default,mse
0.0,3,gauche,pdv,10000,0.2912808393943982,0.15952933748223105,0.3994112385527366,0.8534539320883661,0.9249011870436269,default,mse
0.0,8,gauche,pdv,10000,0.26850268051468956,0.13733210685188266,0.3705834681308418,0.8666464861175389,0.9315876850991358,default,mse
0.0,4,gauche,pdv,10000,0.2833868505946693,0.1480964528678008,0.3848330194614293,0.8663206681315903,0.9317022127021337,default,mse
0.0,9,gauche,pdv,10000,0.2792902265318537,0.15460484117891632,0.39319822123061077,0.8581331266944847,0.9289886348544039,default,mse
0.0,5,gauche,pdv,10000,0.2881871271521703,0.1538761010470182,0.39227044375917264,0.8675861039364805,0.9324541408181938,default,mse
0.1,0,gauche,pdv,10000,0.290645729225259,0.1548338097761904,0.3934892753000905,0.8630565004354664,0.9296512949120015,default,mse
0.0,6,gauche,pdv,10000,0.2721534828039428,0.14739514174419893,0.38392074930146575,0.8627044182832166,0.9306052622365788,default,mse
0.1,1,gauche,pdv,10000,0.2845404749596923,0.15098133157518395,0.38856316291586873,0.8625862039924406,0.9297970598447929,default,mse
0.0,7,gauche,pdv,10000,0.27227143077546617,0.14258146663019808,0.37759961153343113,0.8817159331070008,0.9393923985497447,default,mse
0.1,2,gauche,pdv,10000,0.2739053864316244,0.14480229958532237,0.38052897338484276,0.8689132847697897,0.9325762809339971,default,mse
0.0,8,gauche,pdv,10000,0.26850268051468956,0.13733210685188266,0.3705834681308418,0.8666464861175389,0.9315876850991358,default,mse
0.1,3,gauche,pdv,10000,0.2920171609283161,0.16132397254860076,0.40165155613865205,0.8514439662455465,0.9237583972125973,default,mse
0.0,9,gauche,pdv,10000,0.2792902265318537,0.15460484117891632,0.39319822123061077,0.8581331266944847,0.9289886348544039,default,mse
0.1,4,gauche,pdv,10000,0.28273449263321365,0.14673236086233388,0.38305660268729724,0.8677226608360781,0.9324322910547242,default,mse
0.1,0,gauche,pdv,10000,0.290645729225259,0.1548338097761904,0.3934892753000905,0.8630565004354664,0.9296512949120015,default,mse
0.1,5,gauche,pdv,10000,0.28929014871005604,0.1548309082508772,0.3934855883649072,0.8667169599114102,0.9320267697314489,default,mse
0.1,1,gauche,pdv,10000,0.2845404749596923,0.15098133157518395,0.38856316291586873,0.8625862039924406,0.9297970598447929,default,mse
0.1,2,gauche,pdv,10000,0.2739053864316244,0.14480229958532237,0.38052897338484276,0.8689132847697897,0.9325762809339971,default,mse
0.1,6,gauche,pdv,10000,0.2760308315621822,0.15031434897582635,0.3877039450093671,0.860675722471703,0.92954510134968,default,mse
0.1,3,gauche,pdv,10000,0.2920171609283161,0.16132397254860076,0.40165155613865205,0.8514439662455465,0.9237583972125973,default,mse
0.1,7,gauche,pdv,10000,0.2769466733686373,0.14598780838193365,0.3820835096964192,0.879015373384479,0.9379943391651623,default,mse
0.1,8,gauche,pdv,10000,0.2726932965317105,0.1398479957845375,0.37396255933520606,0.8640087201672876,0.9302343512460927,default,mse
0.1,4,gauche,pdv,10000,0.28273449263321365,0.14673236086233388,0.38305660268729724,0.8677226608360781,0.9324322910547242,default,mse
0.1,9,gauche,pdv,10000,0.28288106806514407,0.16005823857041346,0.4000727915897474,0.8541368544417303,0.9267078238360258,default,mse
0.1,5,gauche,pdv,10000,0.28929014871005604,0.1548309082508772,0.3934855883649072,0.8667169599114102,0.9320267697314489,default,mse
0.2,0,gauche,pdv,10000,0.29378320836461846,0.15857375601856358,0.3982132042242743,0.8594051491503849,0.9276728915470865,default,mse
0.1,6,gauche,pdv,10000,0.2760308315621822,0.15031434897582635,0.3877039450093671,0.860675722471703,0.92954510134968,default,mse
0.2,1,gauche,pdv,10000,0.2881971848810457,0.15462669340535298,0.39322600804798374,0.857928019397421,0.9272969121690252,default,mse
0.1,7,gauche,pdv,10000,0.2769466733686373,0.14598780838193365,0.3820835096964192,0.879015373384479,0.9379943391651623,default,mse
0.2,2,gauche,pdv,10000,0.2774394178165958,0.14880557286398097,0.38575325386052284,0.8655217621393512,0.930760634675867,default,mse
0.2,0,gauche,pdv,10000,0.29378320836461846,0.15857375601856358,0.3982132042242743,0.8594051491503849,0.9276728915470865,default,mse
0.2,3,gauche,pdv,10000,0.2962064914314965,0.16585282628497322,0.40725032386110294,0.8467868540539407,0.9211872359651543,default,mse
0.2,1,gauche,pdv,10000,0.2881971848810457,0.15462669340535298,0.39322600804798374,0.857928019397421,0.9272969121690252,default,mse
0.2,4,gauche,pdv,10000,0.2857078123305341,0.14897535953406668,0.3859732627191509,0.8658600477737826,0.9314330722701256,default,mse
0.2,2,gauche,pdv,10000,0.2774394178165958,0.14880557286398097,0.38575325386052284,0.8655217621393512,0.930760634675867,default,mse
0.2,5,gauche,pdv,10000,0.29175280930552333,0.15710325819037918,0.3963625337874144,0.8644333929549475,0.9308592062567634,default,mse
0.2,3,gauche,pdv,10000,0.2962064914314965,0.16585282628497322,0.40725032386110294,0.8467868540539407,0.9211872359651543,default,mse
0.2,7,gauche,pdv,10000,0.28299092124403075,0.15311888250069933,0.3913040793305116,0.8732186648885741,0.9349568308492708,default,mse
0.2,4,gauche,pdv,10000,0.2857078123305341,0.14897535953406668,0.3859732627191509,0.8658600477737826,0.9314330722701256,default,mse
0.2,8,gauche,pdv,10000,0.2782158690110038,0.14612886943244993,0.3822680596550671,0.8577995281927568,0.9269645110324665,default,mse
0.2,5,gauche,pdv,10000,0.29175280930552333,0.15710325819037918,0.3963625337874144,0.8644333929549475,0.9308592062567634,default,mse
0.2,9,gauche,pdv,10000,0.28881232219439235,0.1696784414150777,0.4119204309269907,0.8464879886952917,0.9224558675533848,default,mse
0.2,6,gauche,pdv,10000,0.28162421316193675,0.1567841553060592,0.3959597900116364,0.8554476818005654,0.9267681745050942,default,mse
0.2,7,gauche,pdv,10000,0.28299092124403075,0.15311888250069933,0.3913040793305116,0.8732186648885741,0.9349568308492708,default,mse
0.3,0,gauche,pdv,10000,0.29771153774715126,0.16538130977210208,0.406671009259453,0.8529841476018363,0.9241953618272574,default,mse
0.2,8,gauche,pdv,10000,0.2782158690110038,0.14612886943244993,0.3822680596550671,0.8577995281927568,0.9269645110324665,default,mse
0.3,1,gauche,pdv,10000,0.29235150147828143,0.1605026515009908,0.4006278216761672,0.8509202049884846,0.9235197406695483,default,mse
0.2,9,gauche,pdv,10000,0.28881232219439235,0.1696784414150777,0.4119204309269907,0.8464879886952917,0.9224558675533848,default,mse
0.3,2,gauche,pdv,10000,0.28139297962048354,0.15531693905587168,0.39410270115272195,0.8597647096178378,0.9276689043074076,default,mse
0.3,1,gauche,pdv,10000,0.29235150147828143,0.1605026515009908,0.4006278216761672,0.8509202049884846,0.9235197406695483,default,mse
0.3,3,gauche,pdv,10000,0.3010809479141978,0.1729379377403918,0.41585807403535135,0.8396175474051901,0.9172489805539169,default,mse
0.3,2,gauche,pdv,10000,0.28139297962048354,0.15531693905587168,0.39410270115272195,0.8597647096178378,0.9276689043074076,default,mse
0.3,4,gauche,pdv,10000,0.2893467285513366,0.15469240160582504,0.39330954934481954,0.8608614247800337,0.9287640294308507,default,mse
0.3,3,gauche,pdv,10000,0.3010809479141978,0.1729379377403918,0.41585807403535135,0.8396175474051901,0.9172489805539169,default,mse
0.3,5,gauche,pdv,10000,0.2949691773258983,0.1606309260063031,0.40078788156118583,0.8607710101966054,0.9289674689890894,default,mse
0.3,4,gauche,pdv,10000,0.2893467285513366,0.15469240160582504,0.39330954934481954,0.8608614247800337,0.9287640294308507,default,mse
0.3,6,gauche,pdv,10000,0.28829113973604203,0.16670250937185715,0.4082921862733319,0.8471637024041431,0.9223359935447439,default,mse
0.3,5,gauche,pdv,10000,0.2949691773258983,0.1606309260063031,0.40078788156118583,0.8607710101966054,0.9289674689890894,default,mse
0.3,7,gauche,pdv,10000,0.2893818672025824,0.16379369542805727,0.4047143380559395,0.8644806246510497,0.9303438562582854,default,mse
0.3,6,gauche,pdv,10000,0.28829113973604203,0.16670250937185715,0.4082921862733319,0.8471637024041431,0.9223359935447439,default,mse
0.3,8,gauche,pdv,10000,0.2842074749849132,0.15603222491228166,0.39500914535271414,0.8481629178902986,0.9218365050654809,default,mse
0.3,7,gauche,pdv,10000,0.2893818672025824,0.16379369542805727,0.4047143380559395,0.8644806246510497,0.9303438562582854,default,mse
0.3,9,gauche,pdv,10000,0.29582250879579713,0.18328351628448358,0.4281162415565235,0.8354292634802392,0.9163369750842684,default,mse
0.3,8,gauche,pdv,10000,0.2842074749849132,0.15603222491228166,0.39500914535271414,0.8481629178902986,0.9218365050654809,default,mse
0.4,0,gauche,pdv,10000,0.3019989914482393,0.17505520622099602,0.41839599211870565,0.8439498518964791,0.9192856121467893,default,mse
0.4,0,gauche,pdv,10000,0.3019989914482393,0.17505520622099602,0.41839599211870565,0.8439498518964791,0.9192856121467893,default,mse
0.4,1,gauche,pdv,10000,0.29685025781576313,0.16839096817062146,0.41035468581535833,0.8416908599346168,0.9185204711545547,default,mse
0.4,1,gauche,pdv,10000,0.29685025781576313,0.16839096817062146,0.41035468581535833,0.8416908599346168,0.9185204711545547,default,mse
0.4,2,gauche,pdv,10000,0.28589780866210274,0.16415811457547053,0.4051643056532381,0.851796017097507,0.9233711847522741,default,mse
0.4,3,gauche,pdv,10000,0.3060487028685407,0.1823533881617968,0.4270285566116121,0.8301115574529017,0.9120211957409209,default,mse
0.4,3,gauche,pdv,10000,0.3060487028685407,0.1823533881617968,0.4270285566116121,0.8301115574529017,0.9120211957409209,default,mse
0.4,4,gauche,pdv,10000,0.29389737262894006,0.16367469819204672,0.40456729748219483,0.8529218190231256,0.9245117071170262,default,mse
0.4,4,gauche,pdv,10000,0.29389737262894006,0.16367469819204672,0.40456729748219483,0.8529218190231256,0.9245117071170262,default,mse
0.4,5,gauche,pdv,10000,0.2983779701571974,0.16532806110918877,0.40660553502035457,0.8557775542780874,0.9263712020141239,default,mse
0.4,5,gauche,pdv,10000,0.2983779701571974,0.16532806110918877,0.40660553502035457,0.8557775542780874,0.9263712020141239,default,mse
0.4,6,gauche,pdv,10000,0.2955499676296703,0.17987895369243453,0.42412139027928614,0.8360497639755402,0.9163455223226465,default,mse
0.4,6,gauche,pdv,10000,0.2955499676296703,0.17987895369243453,0.42412139027928614,0.8360497639755402,0.9163455223226465,default,mse
0.4,7,gauche,pdv,10000,0.2960053170236639,0.17775571976535193,0.4216108629593786,0.8530155653729188,0.9242452992269408,default,mse
0.4,8,gauche,pdv,10000,0.29017127275072313,0.16935444560031482,0.4115269682539831,0.8353174433896275,0.9149379643545801,default,mse
0.4,7,gauche,pdv,10000,0.2960053170236639,0.17775571976535193,0.4216108629593786,0.8530155653729188,0.9242452992269408,default,mse
0.4,9,gauche,pdv,10000,0.302915706680213,0.20058552721932718,0.4478677563961567,0.8212907128461093,0.9084938916988238,default,mse
0.4,8,gauche,pdv,10000,0.29017127275072313,0.16935444560031482,0.4115269682539831,0.8353174433896275,0.9149379643545801,default,mse
0.5,0,gauche,pdv,10000,0.3065449898924161,0.18734721962013956,0.43283625035357143,0.8325024837909056,0.913030380142749,default,mse
0.4,9,gauche,pdv,10000,0.302915706680213,0.20058552721932718,0.4478677563961567,0.8212907128461093,0.9084938916988238,default,mse
0.5,1,gauche,pdv,10000,0.3012209994602035,0.1780331230080302,0.42193971489779225,0.8304036739209326,0.9123696943241236,default,mse
0.5,0,gauche,pdv,10000,0.3065449898924161,0.18734721962013956,0.43283625035357143,0.8325024837909056,0.913030380142749,default,mse
0.5,2,gauche,pdv,10000,0.290334686353835,0.1751124344679051,0.4184643765816931,0.8417972211690509,0.9179497348963728,default,mse
0.5,1,gauche,pdv,10000,0.3012209994602035,0.1780331230080302,0.42193971489779225,0.8304036739209326,0.9123696943241236,default,mse
0.5,3,gauche,pdv,10000,0.31103046259491196,0.1938445622447574,0.44027782393025133,0.818468524663402,0.9055902259372297,default,mse
0.5,2,gauche,pdv,10000,0.290334686353835,0.1751124344679051,0.4184643765816931,0.8417972211690509,0.9179497348963728,default,mse
0.5,4,gauche,pdv,10000,0.2983011819444803,0.17566109329485063,0.4191194260528264,0.8422814153078031,0.918780921963691,default,mse
0.5,3,gauche,pdv,10000,0.31103046259491196,0.1938445622447574,0.44027782393025133,0.818468524663402,0.9055902259372297,default,mse
0.5,6,gauche,pdv,10000,0.302833195865632,0.19607095945550884,0.44279900570745284,0.8223750065943954,0.9089113919289115,default,mse
0.5,4,gauche,pdv,10000,0.2983011819444803,0.17566109329485063,0.4191194260528264,0.8422814153078031,0.918780921963691,default,mse
0.5,7,gauche,pdv,10000,0.30278755098643284,0.19469056575119792,0.44123753891888884,0.8390837296295905,0.9167688064760513,default,mse
0.5,5,gauche,pdv,10000,0.30145314818211255,0.17108325965606125,0.4136221218165939,0.8495145852249282,0.923096386070025,default,mse
0.5,8,gauche,pdv,10000,0.29607330848077373,0.18583542586871174,0.43108633226850485,0.819544875118938,0.9063818782130119,default,mse
0.5,6,gauche,pdv,10000,0.302833195865632,0.19607095945550884,0.44279900570745284,0.8223750065943954,0.9089113919289115,default,mse
0.5,9,gauche,pdv,10000,0.31007084216806813,0.22122790856553054,0.47034870953956126,0.8044554732226312,0.899093390191149,default,mse
0.5,7,gauche,pdv,10000,0.30278755098643284,0.19469056575119792,0.44123753891888884,0.8390837296295905,0.9167688064760513,default,mse
0.6,0,gauche,pdv,10000,0.31147555357534235,0.20198357684416818,0.44942583019244475,0.8188682403840911,0.9055264240509145,default,mse
0.5,8,gauche,pdv,10000,0.29607330848077373,0.18583542586871174,0.43108633226850485,0.819544875118938,0.9063818782130119,default,mse
0.6,1,gauche,pdv,10000,0.3053414301503255,0.1891534642019942,0.4349177671721336,0.8172443592364428,0.9051474561342987,default,mse
0.5,9,gauche,pdv,10000,0.31007084216806813,0.22122790856553054,0.47034870953956126,0.8044554732226312,0.899093390191149,default,mse
0.6,2,gauche,pdv,10000,0.29470606319232834,0.1879321675718291,0.43351143880159504,0.8299686261447292,0.911494353493406,default,mse
0.6,0,gauche,pdv,10000,0.31147555357534235,0.20198357684416818,0.44942583019244475,0.8188682403840911,0.9055264240509145,default,mse
0.6,3,gauche,pdv,10000,0.31617497722657123,0.2071463204012785,0.4551332995961496,0.8048983224785189,0.8980457473276077,default,mse
0.6,1,gauche,pdv,10000,0.3053414301503255,0.1891534642019942,0.4349177671721336,0.8172443592364428,0.9051474561342987,default,mse
