sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,randomized_smiles,10000,0.43538557511790843,0.3233794937141538,0.5686646584008486,0.7146250642480316,0.845597761371297,default,mse
0.0,1,gauche,randomized_smiles,10000,0.4313063171792988,0.3087141802525076,0.5556205362047983,0.7212677753149039,0.8493919440601998,default,mse
0.0,2,gauche,randomized_smiles,10000,0.4167716106059629,0.3225399666064825,0.5679260221247856,0.7072670754973827,0.8418621181309824,default,mse
0.0,3,gauche,randomized_smiles,10000,0.42585945488331833,0.3127548537231476,0.5592448960188618,0.7126986499363442,0.8449538052404034,default,mse
0.0,4,gauche,randomized_smiles,10000,0.41367693959283336,0.2939573086258736,0.5421782996633797,0.7346592990311489,0.8580107671811327,default,mse
0.0,5,gauche,randomized_smiles,10000,0.41957812830145563,0.2948613310545695,0.5430113544435047,0.7462650965436107,0.8640751610183879,default,mse
0.0,6,gauche,randomized_smiles,10000,0.4314760967589939,0.3323489480172315,0.5764971361743538,0.6904237031762095,0.8341448322965914,default,mse
0.0,7,gauche,randomized_smiles,10000,0.4395426169810516,0.31919091067657696,0.5649698316517237,0.7352026183877871,0.8581922931280601,default,mse
0.0,8,gauche,randomized_smiles,10000,0.4036109311242734,0.2870050627131774,0.5357285345332815,0.7213096449751756,0.8500815091178193,default,mse
0.0,9,gauche,randomized_smiles,10000,0.40671210772148164,0.2883405945315413,0.5369735510539987,0.735415926944327,0.8579967665453447,default,mse
0.1,0,gauche,randomized_smiles,10000,0.4453650725442553,0.3300297532395266,0.5744821609410745,0.7081036148734605,0.8419726765097122,default,mse
0.1,1,gauche,randomized_smiles,10000,0.42787580667386477,0.3104743463632515,0.557202249065141,0.717425604532471,0.8471430283927908,default,mse
0.1,3,gauche,randomized_smiles,10000,0.434751770995267,0.323061238147932,0.5683847624170901,0.7025073493984204,0.8389582703953341,default,mse
0.1,4,gauche,randomized_smiles,10000,0.4169148250154334,0.30486740890578323,0.5521479954738433,0.7251659455974289,0.8521167518476458,default,mse
0.1,5,gauche,randomized_smiles,10000,0.4313916776917616,0.3102392642457848,0.5569912604752294,0.7329368356702688,0.8562923720269282,default,mse
0.1,6,gauche,randomized_smiles,10000,0.42335456724083703,0.3292609159908193,0.5738126140046237,0.6948126406341706,0.835759820123232,default,mse
0.1,7,gauche,randomized_smiles,10000,0.4379637793576327,0.3304230747823159,0.5748243860365667,0.7261681453350868,0.8522659574760499,default,mse
0.1,8,gauche,randomized_smiles,10000,0.41078093465016857,0.2935737438781401,0.5418244585455146,0.7145224074803408,0.8467262571329042,default,mse
0.1,9,gauche,randomized_smiles,10000,0.4093844316046717,0.3108859964203032,0.5575715168660458,0.7166855654985029,0.8474196980533748,default,mse
0.2,0,gauche,randomized_smiles,10000,0.4426879005319508,0.3333815426001989,0.5773920181299694,0.7044168629492354,0.8393310751949183,default,mse
0.2,1,gauche,randomized_smiles,10000,0.4279300154294394,0.3011634890765709,0.5487836450520104,0.7232890878282835,0.8507868229690447,default,mse
0.2,2,gauche,randomized_smiles,10000,0.4242242439360893,0.3189375864854842,0.5647455944808106,0.7117704411695593,0.8447789519605956,default,mse
0.2,3,gauche,randomized_smiles,10000,0.42698868794545686,0.3138812376934498,0.5602510488106647,0.7100397204095555,0.8430490167472493,default,mse
0.2,4,gauche,randomized_smiles,10000,0.4185294268704315,0.29799023004546404,0.5458848138989251,0.7316845191903196,0.8557765889290858,default,mse
0.2,5,gauche,randomized_smiles,10000,0.4304493910473607,0.31375943111707566,0.5601423311240418,0.7292525820604996,0.8540835031871794,default,mse
0.2,6,gauche,randomized_smiles,10000,0.42723614461766113,0.3391711790092512,0.5823840476946902,0.6872899554389607,0.8308051589742055,default,mse
0.2,7,gauche,randomized_smiles,10000,0.4370649760574712,0.33351782694662035,0.5775100232434242,0.7238496343939756,0.8510259014139085,default,mse
0.2,8,gauche,randomized_smiles,10000,0.41187657426204394,0.3081478484695678,0.5551106632641529,0.7001361222532744,0.8387440243435516,default,mse
0.2,9,gauche,randomized_smiles,10000,0.41218087703897677,0.30241485126451484,0.54992258661062,0.7263982879683347,0.8532135838904893,default,mse
0.3,0,gauche,randomized_smiles,10000,0.4392537871786559,0.32143303267756473,0.5669506439519799,0.7142618391815971,0.845158164347072,default,mse
0.3,1,gauche,randomized_smiles,10000,0.4426461667058775,0.3236519173187946,0.568904137196061,0.6993821532682158,0.8365678015174726,default,mse
0.3,2,gauche,randomized_smiles,10000,0.4378131031421502,0.3336545824458208,0.5776284120832534,0.6987440807097216,0.836971150137007,default,mse
0.3,3,gauche,randomized_smiles,10000,0.4369254120178881,0.3298500620100118,0.5743257455573552,0.6940974165360372,0.8346337194542883,default,mse
0.3,4,gauche,randomized_smiles,10000,0.41782171367887655,0.30246422489721997,0.5499674762176577,0.7279475858520387,0.8533020815784207,default,mse
0.3,5,gauche,randomized_smiles,10000,0.4189941665590539,0.2988346443053957,0.5466577030513662,0.7409811007174025,0.8609373581008346,default,mse
0.3,6,gauche,randomized_smiles,10000,0.44218952194964184,0.33907242260926607,0.5822992552023968,0.6891314120961476,0.8321523756374748,default,mse
0.3,7,gauche,randomized_smiles,10000,0.4487417704422637,0.35528561450167195,0.5960583985665096,0.7060443356998284,0.8404665911962367,default,mse
0.3,8,gauche,randomized_smiles,10000,0.42332066017430825,0.3098472579861615,0.556639253005177,0.698483415340907,0.837140578549576,default,mse
0.3,9,gauche,randomized_smiles,10000,0.4180117606731455,0.32560324184743217,0.5706165453677559,0.7076400190790639,0.8421113918842572,default,mse
0.4,0,gauche,randomized_smiles,10000,0.4414308115909963,0.3355526059521327,0.5792690272681017,0.7008770262493781,0.837254926678348,default,mse
0.4,1,gauche,randomized_smiles,10000,0.4400686891336503,0.3194641894750925,0.5652116324661873,0.699662626404983,0.836901697971085,default,mse
0.4,2,gauche,randomized_smiles,10000,0.4470595429701897,0.3639142165452103,0.6032530286249794,0.6714537294344658,0.820249890348046,default,mse
0.4,4,gauche,randomized_smiles,10000,0.4389991482062047,0.333975624334773,0.5779062418202221,0.6998893056754619,0.837015041003795,default,mse
0.4,5,gauche,randomized_smiles,10000,0.4198314273771655,0.2982186029512552,0.5460939506634872,0.7398516864659974,0.8601605415593822,default,mse
0.4,6,gauche,randomized_smiles,10000,0.43113978918350143,0.34463601586442316,0.587057080584523,0.6858823392973843,0.829915459192843,default,mse
0.4,7,gauche,randomized_smiles,10000,0.45610651052509005,0.3825140372008768,0.6184771921428281,0.6837029516174689,0.8271083502138791,default,mse
0.4,8,gauche,randomized_smiles,10000,0.42177625951439107,0.3155659065939458,0.5617525314530819,0.6931394384555538,0.8333404478444132,default,mse
0.4,9,gauche,randomized_smiles,10000,0.41959080220351413,0.3395814710873392,0.5827361933905764,0.6974539316471654,0.8361887806346915,default,mse
0.5,0,gauche,randomized_smiles,10000,0.4571005653134229,0.3614436557143115,0.6012018427402825,0.6768518118153373,0.8227610001080652,default,mse
0.5,1,gauche,randomized_smiles,10000,0.44337084303803,0.3279258119438275,0.5726480698857087,0.6876142372132641,0.8292301711261532,default,mse
0.5,2,gauche,randomized_smiles,10000,0.4362735124218886,0.3531965108413882,0.5943033828284913,0.6809097557332844,0.8254732895211174,default,mse
0.5,3,gauche,randomized_smiles,10000,0.44255744490186183,0.34541074146663164,0.5877165485730614,0.6765298919431427,0.8243209639726647,default,mse
0.5,4,gauche,randomized_smiles,10000,0.44775013881904024,0.35157524280247116,0.5929378068587557,0.6843356222624244,0.8278284565533489,default,mse
0.5,5,gauche,randomized_smiles,10000,0.42539385880128794,0.31245277802141797,0.5589747561575727,0.7251654779508949,0.8515930846122277,default,mse
0.5,6,gauche,randomized_smiles,10000,0.4559990713363892,0.3797221289539907,0.6162159758996765,0.6560013739988884,0.8120827772731889,default,mse
0.5,7,gauche,randomized_smiles,10000,0.4563712729353537,0.3879944228163301,0.6228919832654215,0.6793136061666647,0.8242881197577432,default,mse
0.5,8,gauche,randomized_smiles,10000,0.44014439832179264,0.347619852635385,0.5895929550421927,0.6624444256243595,0.8160887977485842,default,mse
0.5,9,gauche,randomized_smiles,10000,0.4200888332977288,0.3383630443529915,0.581689817989787,0.7009191027661112,0.8376383753193003,default,mse
0.6,0,gauche,randomized_smiles,10000,0.446954439613891,0.3452460851240493,0.5875764504505344,0.6903954674133275,0.830945148168599,default,mse
0.6,1,gauche,randomized_smiles,10000,0.4327006055371187,0.3247135972388053,0.5698364653466863,0.6862693380828293,0.8284868200894362,default,mse
0.6,2,gauche,randomized_smiles,10000,0.4510511046372223,0.3785751361434496,0.6152845976809834,0.6574846587595795,0.8124085406876049,default,mse
0.6,3,gauche,randomized_smiles,10000,0.4447169959902705,0.3394976645678305,0.5826642811841399,0.6802426239409076,0.825599453752049,default,mse
0.6,4,gauche,randomized_smiles,10000,0.45476811266588213,0.37588946554691416,0.6130982511367278,0.6627414226534758,0.8151350241820925,default,mse
0.6,5,gauche,randomized_smiles,10000,0.42178391440921553,0.30400877802765447,0.5513699103393787,0.7298916049901575,0.8544050211301585,default,mse
0.6,6,gauche,randomized_smiles,10000,0.4458958285170321,0.3810437969056158,0.6172874507922673,0.6569468295754801,0.8119148463145973,default,mse
0.6,7,gauche,randomized_smiles,10000,0.46587004295483775,0.4002074880300367,0.6326195444578334,0.6693168339919283,0.8186243865291217,default,mse
0.6,8,gauche,randomized_smiles,10000,0.42790713660201446,0.3479083494889538,0.5898375619515545,0.6628567507306364,0.8148098001824344,default,mse
0.6,9,gauche,randomized_smiles,10000,0.43951552607391664,0.3880953943260133,0.622973028570269,0.6596899386141164,0.8129826514756939,default,mse
0.7,0,gauche,randomized_smiles,10000,0.45911077314695237,0.3705602390119159,0.6087365924699417,0.6666554631419483,0.8165580194349945,default,mse
0.7,2,gauche,randomized_smiles,10000,0.44257381250889116,0.3663345283888759,0.6052557545276839,0.6678404111867968,0.8173285082742687,default,mse
0.7,3,gauche,randomized_smiles,10000,0.4477908241714639,0.3588895937757901,0.5990739468344373,0.6598769535818911,0.812671478531353,default,mse
0.7,4,gauche,randomized_smiles,10000,0.4521372832615716,0.38510499022635036,0.6205682800678346,0.6546716574643459,0.8095741345618349,default,mse
0.7,5,gauche,randomized_smiles,10000,0.41742705591987067,0.3012051176073851,0.5488215717402015,0.7292360443359228,0.8540462004985832,default,mse
0.7,6,gauche,randomized_smiles,10000,0.44691116492100613,0.3956809224856527,0.6290317340847381,0.6460129520513651,0.8054289437502953,default,mse
