sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche,smiles,10000,0.3718933935850892,0.24934865064486156,0.4993482258352998,0.7799555737429775,0.8833666316050335,default,mse
0.0,2,gauche,smiles,10000,0.33010708747619816,0.2082878914859647,0.45638568282316294,0.8109607182803471,0.9011937409962814,default,mse
0.0,3,gauche,smiles,10000,0.3497082965251328,0.23221795747045604,0.48188998482066014,0.7866810637914369,0.8880549103238884,default,mse
0.0,4,gauche,smiles,10000,0.3361479907870905,0.21038242387543216,0.45867463836082345,0.8100982075132536,0.9003957364365702,default,mse
0.0,5,gauche,smiles,10000,0.33196047538950374,0.2041576573793029,0.45183808757042926,0.8243176773985561,0.907926904030065,default,mse
0.0,6,gauche,smiles,10000,0.3436820495165124,0.23587502691088805,0.48566966851028287,0.7802872018102532,0.885046113749335,default,mse
0.0,7,gauche,smiles,10000,0.33953042876926504,0.21573764897485725,0.4644756710257893,0.8210263430038549,0.9062766420993283,default,mse
0.0,9,gauche,smiles,10000,0.34469257746143267,0.21486452512235324,0.4635348154371506,0.8028382673469641,0.8975568206308775,default,mse
0.1,0,gauche,smiles,10000,0.37075886291767773,0.24806293609826166,0.49805916927435606,0.7805995561909047,0.8836900495116606,default,mse
0.1,1,gauche,smiles,10000,0.3391135372953241,0.19673728770945695,0.44355077241445195,0.820941985089557,0.9060591463754126,default,mse
0.0,2,gauche,smiles,10000,0.33010708747619816,0.2082878914859647,0.45638568282316294,0.8109607182803471,0.9011937409962814,default,mse
0.1,2,gauche,smiles,10000,0.33225482395412825,0.20985968813816566,0.4581044511224112,0.8100180918669819,0.900682267677258,default,mse
0.0,3,gauche,smiles,10000,0.3497082965251328,0.23221795747045604,0.48188998482066014,0.7866810637914369,0.8880549103238884,default,mse
0.1,3,gauche,smiles,10000,0.35144219467359666,0.23336786063310788,0.4830816293682755,0.7851019706883776,0.8871748019339597,default,mse
0.0,4,gauche,smiles,10000,0.3361479907870905,0.21038242387543216,0.45867463836082345,0.8100982075132536,0.9003957364365702,default,mse
0.1,4,gauche,smiles,10000,0.33828267884079377,0.21173025139852772,0.460141555826604,0.8091278971393221,0.8998045196563182,default,mse
0.0,5,gauche,smiles,10000,0.33196047538950374,0.2041576573793029,0.45183808757042926,0.8243176773985561,0.907926904030065,default,mse
0.1,5,gauche,smiles,10000,0.3325113887472992,0.2042852897603844,0.4519793023583983,0.8241451608581631,0.9078278198965382,default,mse
0.0,7,gauche,smiles,10000,0.33953042876926504,0.21573764897485725,0.4644756710257893,0.8210263430038549,0.9062766420993283,default,mse
0.1,6,gauche,smiles,10000,0.3457843090178571,0.23763879755684086,0.4874820997296628,0.7797359067321997,0.8846747668431265,default,mse
0.0,8,gauche,smiles,10000,0.3178070688577858,0.18297239186451936,0.42775272280199383,0.8223284273580065,0.9072905729987252,default,mse
0.1,7,gauche,smiles,10000,0.3446436382945724,0.22108138907596936,0.47019292750526287,0.8167829930084289,0.9039867043781769,default,mse
0.0,9,gauche,smiles,10000,0.34469257746143267,0.21486452512235324,0.4635348154371506,0.8028382673469641,0.8975568206308775,default,mse
0.1,8,gauche,smiles,10000,0.3198660364760698,0.18496520842069653,0.4300758170610114,0.8201357461253223,0.9061078318621839,default,mse
0.1,0,gauche,smiles,10000,0.37075886291767773,0.24806293609826166,0.49805916927435606,0.7805995561909047,0.8836900495116606,default,mse
0.1,9,gauche,smiles,10000,0.34783367880505395,0.22037371603499856,0.46943978957369875,0.7991705787447568,0.8954007532209243,default,mse
0.1,1,gauche,smiles,10000,0.3391135372953241,0.19673728770945695,0.44355077241445195,0.820941985089557,0.9060591463754126,default,mse
0.2,0,gauche,smiles,10000,0.37183973623559,0.24943246522450296,0.49943214276266096,0.7788478930827278,0.8826601921371697,default,mse
0.1,2,gauche,smiles,10000,0.33225482395412825,0.20985968813816566,0.4581044511224112,0.8100180918669819,0.900682267677258,default,mse
0.2,1,gauche,smiles,10000,0.34254835370177794,0.20029243731589585,0.4475404309287551,0.8159700460347418,0.9033113066146599,default,mse
0.1,3,gauche,smiles,10000,0.35144219467359666,0.23336786063310788,0.4830816293682755,0.7851019706883776,0.8871748019339597,default,mse
0.2,2,gauche,smiles,10000,0.33599842836565164,0.21419611755296256,0.46281326423619557,0.8064271660615534,0.8986923430451532,default,mse
0.1,4,gauche,smiles,10000,0.33828267884079377,0.21173025139852772,0.460141555826604,0.8091278971393221,0.8998045196563182,default,mse
0.2,3,gauche,smiles,10000,0.3551518135967018,0.23720897081281972,0.4870410360665924,0.7808687769817528,0.8847877017819638,default,mse
0.1,5,gauche,smiles,10000,0.3325113887472992,0.2042852897603844,0.4519793023583983,0.8241451608581631,0.9078278198965382,default,mse
0.2,4,gauche,smiles,10000,0.3434170224517753,0.2171332349507557,0.46597557334130263,0.8044895353559591,0.8971841586262994,default,mse
0.1,6,gauche,smiles,10000,0.3457843090178571,0.23763879755684086,0.4874820997296628,0.7797359067321997,0.8846747668431265,default,mse
0.2,5,gauche,smiles,10000,0.3342917573665521,0.20605720650130296,0.4539352448326776,0.8221903436992241,0.9067501374554844,default,mse
0.1,7,gauche,smiles,10000,0.3446436382945724,0.22108138907596936,0.47019292750526287,0.8167829930084289,0.9039867043781769,default,mse
0.2,6,gauche,smiles,10000,0.3497466331619151,0.24310594247498327,0.49305774760669085,0.7758604657197836,0.8824472777177759,default,mse
0.2,7,gauche,smiles,10000,0.3514283334608324,0.2304982778219399,0.480102361816665,0.8091490812505346,0.8998100032862459,default,mse
0.1,8,gauche,smiles,10000,0.3198660364760698,0.18496520842069653,0.4300758170610114,0.8201357461253223,0.9061078318621839,default,mse
0.2,8,gauche,smiles,10000,0.32544462635882865,0.19116073405531545,0.43721932031340455,0.8139782598793692,0.9027334872751658,default,mse
0.1,9,gauche,smiles,10000,0.34783367880505395,0.22037371603499856,0.46943978957369875,0.7991705787447568,0.8954007532209243,default,mse
0.2,9,gauche,smiles,10000,0.35318257394466956,0.22968837027657948,0.4792581457592343,0.7921956177791418,0.8913687561986414,default,mse
0.2,0,gauche,smiles,10000,0.37183973623559,0.24943246522450296,0.49943214276266096,0.7788478930827278,0.8826601921371697,default,mse
0.3,0,gauche,smiles,10000,0.37509131907968796,0.2533403458617019,0.5033292618770558,0.7747928895651632,0.8803261239741949,default,mse
0.2,1,gauche,smiles,10000,0.34254835370177794,0.20029243731589585,0.4475404309287551,0.8159700460347418,0.9033113066146599,default,mse
0.3,1,gauche,smiles,10000,0.346823786366014,0.20604424491950216,0.4539209677019802,0.8086197735137589,0.899238465611786,default,mse
0.2,2,gauche,smiles,10000,0.33599842836565164,0.21419611755296256,0.46281326423619557,0.8064271660615534,0.8986923430451532,default,mse
0.3,2,gauche,smiles,10000,0.34036789971891457,0.22115439118092048,0.4702705510458001,0.8003202325833227,0.8952924711861814,default,mse
0.2,3,gauche,smiles,10000,0.3551518135967018,0.23720897081281972,0.4870410360665924,0.7808687769817528,0.8847877017819638,default,mse
