sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,gauche_rbf,smiles,10000,0.37916413111726344,0.25625077500873344,0.5062121837813995,0.7738646083751082,0.8802401251818979,default,mse
0.0,1,gauche_rbf,smiles,10000,0.34276075560155406,0.19848349080572023,0.445514860364635,0.8207929907518628,0.9061493306009327,default,mse
0.0,2,gauche_rbf,smiles,10000,0.33275104154490776,0.21090360874205458,0.4592424291613903,0.8085867285695422,0.900151995117626,default,mse
0.0,3,gauche_rbf,smiles,10000,0.355457967932893,0.23767984078354293,0.4875241950750167,0.781663694976662,0.885331688050708,default,mse
0.0,4,gauche_rbf,smiles,10000,0.34209571108539355,0.21263442365195576,0.4611230027356646,0.8080654388704946,0.8994028951975203,default,mse
0.0,5,gauche_rbf,smiles,10000,0.33773333767661573,0.21103685643773418,0.45938747962665916,0.8183979696406565,0.9048687176782674,default,mse
0.0,6,gauche_rbf,smiles,10000,0.34953906672719026,0.24035867685999346,0.4902638849232049,0.7761107729219443,0.8835013274804686,default,mse
0.0,7,gauche_rbf,smiles,10000,0.34421710961376145,0.21915246274748615,0.46813722640640976,0.8181934498498211,0.9047188653414,default,mse
0.0,8,gauche_rbf,smiles,10000,0.3239051990241623,0.18602964048548484,0.4313115353030624,0.8193597490513541,0.9061263354297705,default,mse
0.0,9,gauche_rbf,smiles,10000,0.3485239287319773,0.21788387716410976,0.4667803307382497,0.8000676811848081,0.8964888335234056,default,mse
0.1,0,gauche_rbf,smiles,10000,0.3778550623367773,0.25468919933999146,0.5046674145811194,0.7747389261471825,0.8806768163257788,default,mse
0.1,1,gauche_rbf,smiles,10000,0.344827071943026,0.1999590974466866,0.44716786271677283,0.8180096947104223,0.9046667371565299,default,mse
0.1,2,gauche_rbf,smiles,10000,0.3348154296173281,0.21261050304424908,0.46109706466670236,0.807527832449297,0.8995928163076191,default,mse
0.1,3,gauche_rbf,smiles,10000,0.3571083364139632,0.23874785634686574,0.4886183135606623,0.7801477731675408,0.8845095119509858,default,mse
0.1,4,gauche_rbf,smiles,10000,0.3443147727919458,0.2138689635560617,0.4624596885741088,0.807199875591972,0.898852201125849,default,mse
0.1,5,gauche_rbf,smiles,10000,0.3384760088499534,0.21114193150239072,0.45950182970516096,0.8182427601909001,0.9047575751502984,default,mse
0.1,6,gauche_rbf,smiles,10000,0.3513533909872647,0.24232243504899964,0.49226256718239264,0.7753947083419888,0.8830396878583098,default,mse
0.1,7,gauche_rbf,smiles,10000,0.3497674430362301,0.22447336322430458,0.47378619990909887,0.8139719587832134,0.9024247531592925,default,mse
0.1,8,gauche_rbf,smiles,10000,0.3262750396904067,0.18773632953924368,0.4332855058033256,0.8174410467456951,0.9051263875450345,default,mse
0.1,9,gauche_rbf,smiles,10000,0.35127593513834143,0.2236960291469548,0.47296514580564475,0.7961429117819829,0.8941876147329781,default,mse
0.2,0,gauche_rbf,smiles,10000,0.3787559146070371,0.2557425276805051,0.5057099244433563,0.7732532580552929,0.8797864683922182,default,mse
0.2,1,gauche_rbf,smiles,10000,0.34923428188483113,0.20404923998528385,0.4517180979164814,0.8125182720608017,0.9017109019550951,default,mse
0.2,2,gauche_rbf,smiles,10000,0.338430642051565,0.21706227097602515,0.46589942152360003,0.8038369723318868,0.8975940235875561,default,mse
0.2,3,gauche_rbf,smiles,10000,0.3607422501438864,0.24259754218309398,0.49254191921408474,0.775890869819797,0.8821642765521499,default,mse
0.2,4,gauche_rbf,smiles,10000,0.3484562884394694,0.2188476404944239,0.4678115437806381,0.8029458553914115,0.8964438834967565,default,mse
0.2,5,gauche_rbf,smiles,10000,0.34055144540905896,0.21305513849089505,0.46157896235735774,0.8161517299423318,0.9035909057134004,default,mse
0.2,6,gauche_rbf,smiles,10000,0.35517468550201176,0.2478621639737506,0.4978575739845188,0.7714753105861243,0.8808152141589027,default,mse
0.2,7,gauche_rbf,smiles,10000,0.35696684361529585,0.23384372858138738,0.4835739122216865,0.8063790720465402,0.8982788605532006,default,mse
0.2,8,gauche_rbf,smiles,10000,0.3316268519627291,0.19350495473182866,0.4398919807541718,0.8116970591315966,0.9020307330124415,default,mse
0.2,9,gauche_rbf,smiles,10000,0.35685102627131376,0.23329044132795454,0.4830014920556194,0.7889367407683237,0.8900511374040943,default,mse
0.3,0,gauche_rbf,smiles,10000,0.3813400616995801,0.25931905461999666,0.5092337917106412,0.769478111459026,0.8776038845963944,default,mse
0.3,1,gauche_rbf,smiles,10000,0.35465449221734013,0.2105716010460794,0.4588808135519281,0.8044146260163041,0.8973267087633225,default,mse
0.3,2,gauche_rbf,smiles,10000,0.3427615531375504,0.22407255782896351,0.47336302963894794,0.7976854269416493,0.8942331402801929,default,mse
0.3,3,gauche_rbf,smiles,10000,0.36532088426652215,0.24899499097277658,0.49899397889431146,0.7690823201790196,0.8783809124700356,default,mse
0.3,4,gauche_rbf,smiles,10000,0.35366469234992515,0.2272586750410275,0.4767165562900323,0.7955914581237246,0.892313921309174,default,mse
0.3,5,gauche_rbf,smiles,10000,0.3444777763999081,0.2167050414627277,0.46551588744394934,0.8121680254338172,0.9013871927829293,default,mse
0.3,6,gauche_rbf,smiles,10000,0.36079495007860124,0.2567808431021738,0.5067354764590435,0.7645780288421722,0.8769230518188351,default,mse
0.3,7,gauche_rbf,smiles,10000,0.36483199948591954,0.24694785816689155,0.49693848529460016,0.7956806616086294,0.8924011554629159,default,mse
0.3,8,gauche_rbf,smiles,10000,0.33797836272702664,0.20312920469249537,0.4506985740963636,0.8023322057407575,0.8969294066848,default,mse
0.3,9,gauche_rbf,smiles,10000,0.3632216005959571,0.24661230783340118,0.49660075295291406,0.7785661801032532,0.8841221877599652,default,mse
0.4,0,gauche_rbf,smiles,10000,0.3848592030707887,0.2652951381745952,0.5150680908138217,0.7635069159209947,0.8741694527500146,default,mse
0.4,1,gauche_rbf,smiles,10000,0.36006847977456885,0.21927492461085757,0.4682680051112371,0.7938534047866892,0.8915847364957659,default,mse
0.4,2,gauche_rbf,smiles,10000,0.3472104144280478,0.23338514402087993,0.48309951771956877,0.7892969958651389,0.8896158094245873,default,mse
0.4,3,gauche_rbf,smiles,10000,0.37121056475545894,0.2576369270151192,0.5075794785204768,0.7599740991136199,0.8732737283451366,default,mse
0.4,4,gauche_rbf,smiles,10000,0.35916481616933466,0.238696462494282,0.48856571972896545,0.7855072170771252,0.8866379848022794,default,mse
0.4,5,gauche_rbf,smiles,10000,0.34950935893934854,0.22194425571356666,0.471109600532155,0.8063889266093796,0.8981921779349884,default,mse
0.4,6,gauche_rbf,smiles,10000,0.3670905697351833,0.2688091107384103,0.5184680421572869,0.754994588047011,0.8714895441310155,default,mse
0.4,7,gauche_rbf,smiles,10000,0.37241962186853167,0.2633563699922576,0.5131825893307932,0.7822332400901026,0.8849553019420768,default,mse
0.4,8,gauche_rbf,smiles,10000,0.3445547911561655,0.21632302714711893,0.4651053935906559,0.7896445585588081,0.8899532639898218,default,mse
0.4,9,gauche_rbf,smiles,10000,0.37039213376899904,0.26350285594705203,0.5133252925261447,0.7652352679571855,0.8764828115360098,default,mse
0.5,0,gauche_rbf,smiles,10000,0.3883784277786766,0.2735187583685074,0.5229902086736494,0.7554609416877863,0.8695360698648922,default,mse
0.5,1,gauche_rbf,smiles,10000,0.36552794708342673,0.22982554884079712,0.479401239924134,0.78106563506867,0.8845881453671935,default,mse
0.5,2,gauche_rbf,smiles,10000,0.3518063052400007,0.24471728678874405,0.4946890809273478,0.7789137309661162,0.8838575303905942,default,mse
0.5,3,gauche_rbf,smiles,10000,0.37712117825207553,0.26820107307662905,0.5178813310755941,0.7488351702072265,0.8669645351917994,default,mse
0.5,4,gauche_rbf,smiles,10000,0.36436032060216683,0.252738123281106,0.5027306667402597,0.7730772457692171,0.8795975365470783,default,mse
0.5,5,gauche_rbf,smiles,10000,0.3545450665792018,0.22855589667360493,0.4780751998102442,0.7989614590032897,0.894077222130726,default,mse
0.5,6,gauche_rbf,smiles,10000,0.3737433450195943,0.2836496049108266,0.5325876499796316,0.7430355859852844,0.8646489485792632,default,mse
0.5,7,gauche_rbf,smiles,10000,0.37967091322589547,0.2825959389230274,0.5315975347224886,0.7664278988668058,0.8761210635707972,default,mse
0.5,8,gauche_rbf,smiles,10000,0.3508468291741625,0.23274864263013365,0.48244029955024864,0.7739898882283569,0.8812570848483106,default,mse
0.5,9,gauche_rbf,smiles,10000,0.37741680076718,0.2836741721523239,0.5326107135162829,0.7492588882109472,0.867266818478355,default,mse
0.6,0,gauche_rbf,smiles,10000,0.39184190436018984,0.28383346878259474,0.5327602357370478,0.7454681393322256,0.8637565791370134,default,mse
0.6,1,gauche_rbf,smiles,10000,0.370690707930484,0.2418405717040735,0.4917728863043117,0.766339311675493,0.8764655987658663,default,mse
0.6,2,gauche_rbf,smiles,10000,0.35663900410533267,0.2577837439440949,0.507724082493725,0.7667705071106725,0.8770731614615787,default,mse
0.6,3,gauche_rbf,smiles,10000,0.3826578856738896,0.2803773155281835,0.5295066718448254,0.7359253860143363,0.8595694531793214,default,mse
0.6,4,gauche_rbf,smiles,10000,0.36968033614316476,0.2689877943620072,0.5186403323711021,0.7586566020994607,0.8713584731290833,default,mse
0.6,5,gauche_rbf,smiles,10000,0.3593092685477169,0.23627826769574728,0.48608463017847753,0.7900694049788303,0.8891312281105931,default,mse
0.6,6,gauche_rbf,smiles,10000,0.3803416329907496,0.3009949188420612,0.5486300382243586,0.7290147168672664,0.8565403838656191,default,mse
0.6,7,gauche_rbf,smiles,10000,0.3866128512770047,0.3041888133353596,0.5515331479932639,0.74865507801187,0.8660762429649884,default,mse
0.6,8,gauche_rbf,smiles,10000,0.35687244891179837,0.2520426289095102,0.5020384735351566,0.7557561610988509,0.8710085465610642,default,mse
0.6,9,gauche_rbf,smiles,10000,0.3839583809205347,0.3067717232291301,0.5538697710013881,0.7310004048235081,0.8566346141853095,default,mse
0.7,0,gauche_rbf,smiles,10000,0.3951149350912794,0.2960574752978781,0.5441116386348285,0.7336758464705067,0.8568921848268816,default,mse
0.7,1,gauche_rbf,smiles,10000,0.3756940872590235,0.2549003245091344,0.5048765438294142,0.7500170027774019,0.8673688573392137,default,mse
0.7,2,gauche_rbf,smiles,10000,0.3615189247814123,0.27231992193862864,0.5218428134396684,0.7530844998570296,0.8693656522160124,default,mse
0.7,3,gauche_rbf,smiles,10000,0.3874682128017678,0.2938958850702888,0.5421216515416893,0.7214721031384885,0.8511904594490483,default,mse
0.7,4,gauche_rbf,smiles,10000,0.3744863958969428,0.2870820615113568,0.5358003933475196,0.7425700134003296,0.8620710631922457,default,mse
0.7,5,gauche_rbf,smiles,10000,0.36354944084350443,0.24483035941899794,0.4948033542923875,0.7799133125309147,0.8834511193387334,default,mse
0.7,6,gauche_rbf,smiles,10000,0.3866470766771661,0.3205448429417801,0.5661667978094266,0.7132317576108718,0.8472966066420041,default,mse
0.7,7,gauche_rbf,smiles,10000,0.3931520225890121,0.3276840802805731,0.5724369662072613,0.729281984165036,0.8549875932932258,default,mse
0.7,8,gauche_rbf,smiles,10000,0.36262961140984623,0.2738330473360633,0.5232905954974381,0.7353436771703662,0.8593810214699791,default,mse
0.7,9,gauche_rbf,smiles,10000,0.38996519416899705,0.3323726438613089,0.576517687379415,0.7108644396291892,0.8447589278356908,default,mse
0.8,0,gauche_rbf,smiles,10000,0.39813820346437445,0.3099901796115025,0.5567676172439472,0.7202529019695876,0.8490146609176159,default,mse
0.8,1,gauche_rbf,smiles,10000,0.3802055564513825,0.26861882750064403,0.5182845043995084,0.7324330965020336,0.8574470329938908,default,mse
0.8,2,gauche_rbf,smiles,10000,0.36611827261468033,0.2880771448796709,0.5367281852853182,0.7380553452136801,0.8608264829305137,default,mse
0.8,3,gauche_rbf,smiles,10000,0.39170122125919365,0.3085059639718419,0.5554331318636312,0.7056906750948053,0.8419212839481982,default,mse
0.8,4,gauche_rbf,smiles,10000,0.37870572415496556,0.30669479832565044,0.5538003235152995,0.7251064261749092,0.8518681307001894,default,mse
0.8,5,gauche_rbf,smiles,10000,0.3672855911879344,0.2539772315672062,0.5039615377855796,0.768662235966793,0.8771178060676122,default,mse
0.8,6,gauche_rbf,smiles,10000,0.39253931455170255,0.3420017407006546,0.5848091489543017,0.6959755189980429,0.8370488824620219,default,mse
0.8,7,gauche_rbf,smiles,10000,0.39906082278038213,0.35266855076689685,0.5938590327400072,0.7086454139334166,0.8430072903741742,default,mse
0.8,8,gauche_rbf,smiles,10000,0.3682691477422164,0.297747711789601,0.5456626355080592,0.713150840872977,0.8465494450320993,default,mse
0.8,9,gauche_rbf,smiles,10000,0.3954637915396967,0.3600617002386418,0.6000514146626452,0.6892372841940182,0.8318258658796852,default,mse
0.9,0,gauche_rbf,smiles,10000,0.4008853242885099,0.3254197929394872,0.5704557764976065,0.7053821989353515,0.8402039356449635,default,mse
0.9,1,gauche_rbf,smiles,10000,0.3838433772902443,0.28268074859957976,0.5316772974272832,0.7138776871846493,0.8468282635527015,default,mse
0.9,2,gauche_rbf,smiles,10000,0.3701449963392732,0.30480822125814955,0.5520943952424708,0.7218851019682018,0.8515392790833657,default,mse
0.9,3,gauche_rbf,smiles,10000,0.39539321529723226,0.32398194122657403,0.56919411559377,0.688780698251761,0.8318509142120639,default,mse
0.9,4,gauche_rbf,smiles,10000,0.38272621534635176,0.32752893483594814,0.5723014370381645,0.7065315416170392,0.8408745704766755,default,mse
0.9,5,gauche_rbf,smiles,10000,0.37068847054149817,0.2634961672767605,0.5133187774441537,0.7564834130126161,0.8702101933796238,default,mse
0.9,6,gauche_rbf,smiles,10000,0.39830109691216603,0.36508042273687613,0.6042188533444451,0.6775113719659707,0.8259202024026999,default,mse
0.9,7,gauche_rbf,smiles,10000,0.4043633710334071,0.3787670828900908,0.6154405599975442,0.6870486469340014,0.8302743224024115,default,mse
0.9,8,gauche_rbf,smiles,10000,0.3736296862309595,0.32342550384843255,0.5687051115019387,0.6895631376844125,0.8326852422794555,default,mse
0.9,9,gauche_rbf,smiles,10000,0.40059560048158005,0.38940663293493843,0.6240245451382008,0.6664987869392267,0.8180106577264036,default,mse
1.0,0,gauche_rbf,smiles,10000,0.4034263232822536,0.3421179913684935,0.5849085324805012,0.6892629021499227,0.8305482948008333,default,mse
1.0,1,gauche_rbf,smiles,10000,0.386844638409872,0.29685632585119776,0.5448452310988853,0.6945773095472806,0.8356135624669203,default,mse
1.0,2,gauche_rbf,smiles,10000,0.3740055510163373,0.32226420986189797,0.567683194979293,0.704779268052591,0.8415913430845952,default,mse
1.0,3,gauche_rbf,smiles,10000,0.3984677277145325,0.34011488857128797,0.5831936973007236,0.6709310240059829,0.8210666230712074,default,mse
1.0,4,gauche_rbf,smiles,10000,0.386645484883266,0.3493073655861499,0.5910223054895221,0.6870875346219362,0.8292052456322762,default,mse
